Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
UBC_342,273.914,-14.925,15.624,0.932,0.204,66,-0.171,0.103,-1.043,0.137,0.605,0.032,NN,7.15,1.56,11,1585,1526,426,25,6827
NGC_6645,278.158,-16.918,15.754,-3.606,0.121,312,1.34,0.129,-0.633,0.114,0.543,0.064,NN,8.71,0.97,11.29,1810,1739,490,-113,6618
ASCC_99,282.17,-18.488,16.07,-7.727,0.643,63,5.188,0.349,-1.311,0.455,3.367,0.106,NN,8.55,0.47,7.28,285,271,78,-38,8068
UPK_13,282.007,-18.281,16.194,-7.497,0.102,86,-1.131,0.151,-4.104,0.155,1.063,0.056,NN,8.25,0.67,9.89,950,905,262,-124,7439
Ruprecht_135,269.511,-11.646,16.405,6.269,0.072,48,1.42,0.121,-1.415,0.073,0.901,0.047,NN,8.81,1.87,10.12,1054,1005,296,115,7340
Ruprecht_171,278.012,-16.062,16.452,-3.089,0.113,719,7.677,0.187,1.091,0.165,0.62,0.066,NN,9.44,0.68,10.91,1522,1458,430,-82,6895
Ruprecht_145,282.636,-18.27,16.464,-8.027,0.33,219,8.329,0.321,-4.08,0.282,1.651,0.069,NN,8.91,0.55,9,629,597,176,-87,7744
Kronberger_25,275.667,-14.727,16.584,-0.467,0.007,19,-0.343,0.186,-1.827,0.149,0.268,0.036,tooRed,---,---,---,---,---,---,---,---
NGC_6611,274.688,-13.792,16.962,0.811,0.063,348,0.178,0.272,-1.576,0.3,0.566,0.114,tooRed,---,---,---,---,---,---,---,---
Trumpler_32,274.294,-13.349,17.17,1.358,0.057,123,-1.052,0.117,1.158,0.122,0.578,0.062,NN,9.13,1.32,11.03,1608,1536,474,38,6819
UBC_343,276.989,-14.72,17.185,-1.599,0.118,124,-0.711,0.109,-2.685,0.109,0.472,0.041,NN,7.3,1.68,11.74,2229,2128,658,-62,6245
UPK_16,287.36,-19.11,17.659,-12.447,0.15,8,-0.428,0.117,-5.166,0.131,1.196,0.03,notEnoughStars,---,---,---,---,---,---,---,---
UPK_17,279.741,-15.034,18.127,-4.114,0.256,87,0.894,0.167,-7.856,0.233,1.479,0.048,NN,8.73,1.38,9.31,726,688,225,-52,7654
UPK_18,280.763,-15.325,18.325,-5.119,0.165,42,3.112,0.211,0.98,0.244,1.28,0.095,NN,8.86,1.04,9.47,782,739,244,-69,7604
UBC_344,274.475,-12.083,18.354,1.82,0.161,314,-0.331,0.215,-2.168,0.24,0.466,0.043,NN,6.54,3.02,11.42,1919,1821,604,60,6546
Bica_3,276.519,-13.058,18.446,-0.417,0.016,70,-0.588,0.169,-1.598,0.222,0.391,0.094,tooRed,---,---,---,---,---,---,---,---
