Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
UBC_172,343.401,54.336,106.219,-4.673,0.095,45,-1.632,0.079,-1.415,0.073,0.378,0.016,NN,8.31,0.78,11.96,2467,-686,2361,-201,9330
UBC_391,338.939,59.051,106.253,0.661,0.083,31,-2.859,0.103,-2.004,0.091,0.393,0.017,NN,7.7,2.38,11.83,2326,-650,2233,26,9264
UBC_173,341.704,56.408,106.296,-2.386,0.161,187,-3.405,0.124,-2.739,0.1,0.265,0.028,NN,7.12,1.55,12.78,3599,-1009,3451,-149,9965
UBC_174,341.388,57.382,106.577,-1.435,0.109,223,-3.367,0.129,-2.781,0.106,0.282,0.038,NN,7,1.7,12.66,3396,-968,3254,-85,9861
Berkeley_97,339.853,59.005,106.641,0.374,0.035,76,-2.736,0.164,-1.808,0.133,0.314,0.067,NN,7.18,2.58,12.55,3241,-928,3105,21,9774
Pismis_Moreno_1,334.695,63.251,106.713,5.293,0.075,62,-2.301,0.335,-2.251,0.3,1.051,0.079,NN,6.95,2.06,9.96,981,-281,936,90,8671
FSR_0384,342.911,56.109,106.747,-2.951,0.035,47,-3.552,0.121,-1.711,0.082,0.468,0.049,NN,8.63,1.01,11.42,1920,-552,1836,-98,9080
UBC_175,344.451,54.401,106.784,-4.873,0.153,59,1.432,0.074,-0.726,0.108,0.721,0.028,NN,8.67,0.88,10.63,1334,-383,1273,-113,8816
FSR_0385,340.628,58.941,106.96,0.126,0.052,58,-5.939,0.097,-3.974,0.105,0.436,0.039,NN,8.85,2.19,11.68,2165,-631,2071,4,9207
Czernik_42,339.896,59.908,107.097,1.153,0.027,43,-3.383,0.155,-2.527,0.15,0.182,0.07,NN,7.85,3.35,13.23,4422,-1299,4226,88,10525
NGC_7380,341.817,58.125,107.128,-0.885,0.09,93,-2.517,0.131,-2.144,0.131,0.333,0.045,NN,6.62,1.59,12.86,3739,-1101,3573,-57,10094
NGC_7423,343.789,57.096,107.615,-2.277,0.032,124,-1.247,0.151,-1.25,0.13,0.239,0.071,manual,9.2,1.2,13,3981,-1203,3791,-158,10269
King_18,343.055,58.289,107.785,-1.032,0.049,47,-2.639,0.101,-2.068,0.077,0.31,0.046,NN,7.63,1.96,12.49,3153,-963,3002,-56,9775
Teutsch_54,341.858,59.781,107.907,0.577,0.027,15,-2.878,0.198,-1.762,0.071,0.212,0.056,notEnoughStars,---,---,---,---,---,---,---,---
UBC_593,346.355,55.082,108.094,-4.694,0.057,11,-2.438,0.057,-3.693,0.046,0.513,0.007,notEnoughStars,---,---,---,---,---,---,---,---
UBC_392,336.125,64.926,108.154,6.355,0.073,33,-0.642,0.109,-3.287,0.112,1.056,0.032,NN,7.85,1.47,9.92,965,-298,911,106,8686
UPK_194,336.446,65.004,108.291,6.35,0.289,115,-0.642,0.173,-3.126,0.312,1.047,0.054,NN,8.18,1.67,10.01,1003,-312,946,110,8704
UBC_393,345.615,56.953,108.458,-2.808,0.126,120,-2.87,0.148,-2.558,0.113,0.261,0.024,NN,6.93,2.03,12.9,3805,-1203,3604,-186,10201
UBC_176,345.532,57.063,108.462,-2.709,0.062,100,-3.597,0.096,-2.191,0.076,0.261,0.035,NN,6.84,2.04,13.13,4224,-1336,4003,-199,10471
King_10,343.748,59.17,108.493,-0.398,0.039,201,-2.722,0.164,-2.088,0.146,0.259,0.065,NN,7.24,3.43,12.97,3931,-1247,3728,-27,10286
UBC_394,343.738,59.247,108.518,-0.321,0.087,31,2.152,0.092,0.068,0.07,1.092,0.023,manual,8.2,1.85,9.91,958,-304,908,-5,8692
UBC_395,345.63,57.199,108.561,-2.598,0.048,31,-2.877,0.098,-2.594,0.043,0.408,0.027,NN,8.91,1.31,11.67,2160,-686,2045,-97,9255
RSG_7,344.19,59.363,108.781,-0.32,0.826,124,4.927,0.428,-1.865,0.699,2.337,0.095,NN,7.59,0.57,8.1,416,-133,393,-2,8483
FSR_0398,339.135,64.153,108.869,5.029,0.084,55,-3.218,0.192,-1.109,0.123,1.043,0.038,NN,7.26,2.01,9.81,917,-295,864,80,8678
NGC_7419,343.579,60.814,109.131,1.12,0.042,317,-2.759,0.14,-1.601,0.159,0.28,0.062,tooRed,---,---,---,---,---,---,---,---
RSG_8,344.983,59.371,109.15,-0.484,1.015,170,5.343,0.483,-1.654,0.539,2.21,0.204,NN,7.43,0.53,8.17,431,-141,407,-3,8491
FSR_0401,345.245,59.698,109.407,-0.241,0.013,12,-3.837,0.069,-2.652,0.078,0.23,0.04,NN,8.43,3.22,12.96,3908,-1298,3685,-16,10319
UBC_396,337.301,66.526,109.422,7.446,0.124,20,-2.281,0.074,-2.792,0.077,0.943,0.03,NN,8.27,1.85,10.05,1021,-336,955,132,8729
Gulliver_19,344.19,61.106,109.525,1.255,0.157,132,0.893,0.128,-2.258,0.148,0.634,0.059,NN,7.99,3.01,11.19,1732,-578,1632,37,9067
ASCC_128,349.949,54.435,109.77,-6.078,0.513,68,1.236,0.139,0.186,0.114,1.509,0.058,NN,8.4,0.41,9.13,669,-225,626,-70,8587
UPK_201,344.732,61.648,110.01,1.645,0.143,32,-3.995,0.113,-3.376,0.16,1.061,0.049,NN,7.2,3.39,9.82,919,-314,863,26,8697
UBC_397,347.721,58.627,110.152,-1.727,0.034,42,-3.512,0.096,-2.675,0.056,0.258,0.061,NN,7.84,2.44,12.76,3571,-1229,3351,-107,10139
Aveni_Hunter_1,354.175,48.205,110.284,-12.823,0.496,82,-0.184,0.324,-2.087,0.451,2.348,0.107,NN,7.02,0.75,8.03,402,-136,368,-89,8484
UBC_177,339.659,67.044,110.485,7.447,0.143,43,-1.973,0.118,-0.973,0.094,0.855,0.028,NN,7.44,1.99,10.3,1149,-398,1067,148,8803
King_19,347.053,60.523,110.563,0.155,0.061,133,-4.838,0.099,-2.651,0.102,0.343,0.045,NN,8.69,1.94,12.07,2598,-912,2432,7,9567
Pfleiderer_3,346.995,60.874,110.673,0.489,0.054,30,-1.826,0.22,-1.168,0.249,0.074,0.102,tooRed,---,---,---,---,---,---,---,---
NGC_7510,347.767,60.579,110.908,0.072,0.055,297,-3.664,0.126,-2.193,0.127,0.286,0.048,NN,7.29,2.86,12.34,2931,-1046,2738,3,9777
UBC_178,346.201,63.36,111.303,2.92,0.16,58,-1.235,0.224,-1.823,0.139,1.148,0.027,NN,7.01,1.58,9.88,947,-343,881,48,8728
Markarian_50,348.806,60.448,111.335,-0.239,0.035,38,-3.465,0.09,-2.56,0.125,0.323,0.058,NN,7.06,2.35,12.53,3198,-1163,2979,-13,9959
Stock_12,353.923,52.685,111.459,-8.491,0.403,107,8.527,0.203,-1.846,0.151,2.261,0.055,NN,8.05,0.29,8.29,454,-164,418,-67,8514
UBC_179,350.98,59.522,112.033,-1.495,0.136,55,-2.851,0.091,-3.014,0.085,0.814,0.026,NN,8.31,1.39,10.36,1182,-443,1095,-30,8851
ASCC_127,347.205,64.974,112.349,4.232,0.627,117,7.474,0.26,-1.745,0.263,2.633,0.081,NN,7.26,0.43,7.88,376,-142,347,27,8490
FSR_0430,348.835,64.162,112.695,3.217,0.061,31,-1.878,0.144,-0.704,0.103,0.376,0.042,NN,7.91,2.44,12.1,2636,-1015,2428,147,9665
Gulliver_49,350.704,61.988,112.729,0.885,0.156,153,-4.022,0.112,-3.05,0.105,0.587,0.039,NN,8.58,2.18,11.04,1613,-623,1488,24,9086
UBC_398,351.907,60.416,112.765,-0.785,0.08,95,-1.593,0.098,-1.353,0.091,0.312,0.041,tooRed,---,---,---,---,---,---,---,---
UBC_399,351.341,61.335,112.792,0.163,0.166,216,-4.023,0.122,-2.093,0.095,0.352,0.04,NN,7.58,1.65,12.35,2954,-1144,2723,8,9867
NGC_7654,351.195,61.59,112.815,0.432,0.133,962,-1.938,0.147,-1.131,0.154,0.596,0.046,NN,8.19,1.85,11.09,1653,-641,1524,12,9109
King_20,353.305,58.469,112.839,-2.861,0.061,69,-2.686,0.072,-2.585,0.084,0.496,0.05,NN,8.41,2.06,11.45,1949,-755,1794,-97,9270
Berkeley_102,354.66,56.637,113.006,-4.826,0.049,21,-1.559,0.147,-0.34,0.074,0.05,0.06,NN,9.59,1.11,15.11,10519,-4096,9648,-885,15740
Skiff_J2330+60.2,352.553,60.257,113.016,-1.042,0.021,26,-3.484,0.166,-1.879,0.1,0.278,0.088,NN,7.31,3.75,12.34,2942,-1150,2707,-53,9868
UBC_400,353.077,61.032,113.496,-0.398,0.129,83,-3.659,0.098,-1.993,0.072,0.304,0.028,NN,7.84,1.66,12.41,3037,-1210,2785,-21,9948
Berkeley_100,351.485,63.781,113.657,2.459,0.022,31,-3.372,0.186,-1.557,0.181,0.123,0.07,NN,9.09,2.48,13.92,6084,-2439,5567,261,12132
Czernik_44,353.415,61.954,113.927,0.45,0.058,37,-2.377,0.16,-0.878,0.112,0.184,0.091,NN,8.14,2.53,13.22,4399,-1784,4021,34,10893
FSR_0442,352.489,63.447,113.974,2.001,0.152,218,1.287,0.152,-2.554,0.145,0.664,0.068,NN,8.87,2.44,11.17,1712,-695,1564,59,9169
UBC_401,355.553,58.536,113.975,-3.128,0.043,28,-2.048,0.092,-1.191,0.073,0.264,0.017,NN,7.77,2.07,12.39,3009,-1221,2745,-164,9947
SAI_149,354.506,60.541,114.022,-1.054,0.043,23,-3.901,0.151,-1.633,0.113,0.304,0.059,NN,8.45,2.92,12.67,3426,-1394,3128,-63,10225
UPK_219,351.854,65.31,114.325,3.861,0.273,27,-1.734,0.05,-2.459,0.115,1.21,0.04,NN,8.17,1.2,9.71,873,-358,794,58,8735
UPK_220,350.955,66.505,114.361,5.118,0.202,195,-2.416,0.142,-2.584,0.139,1.009,0.054,NN,8.04,2.16,9.98,990,-407,899,88,8793
Berkeley_101,353.213,64.209,114.511,2.63,0.024,38,-1.899,0.095,-1.089,0.121,0.177,0.052,NN,8.58,2.84,13.15,4272,-1770,3883,196,10830
Berkeley_103,356.303,59.297,114.558,-2.494,0.022,33,-1.348,0.179,-0.861,0.11,0.093,0.104,NN,9.04,2.4,13.91,6060,-2516,5506,-263,12173
UBC_180,357.351,59.002,115.007,-2.911,0.107,93,-3.178,0.084,-0.978,0.082,0.461,0.033,NN,8.42,1.75,11.66,2145,-905,1941,-108,9447
Stock_17,355.949,62.161,115.125,0.319,0.016,5,-3.691,0.043,-1.525,0.052,0.309,0.033,notEnoughStars,---,---,---,---,---,---,---,---
FSR_0448,356.818,60.902,115.208,-1.004,0.054,34,-2.49,0.148,-2.035,0.107,0.315,0.047,NN,8.59,2.83,12.54,3217,-1369,2910,-56,10136
NGC_7789,-0.666,56.726,115.527,-5.366,0.211,2897,-0.922,0.14,-1.933,0.138,0.453,0.049,NN,9.19,0.83,11.61,2100,-901,1887,-196,9432
UBC_403,357.222,62.187,115.71,0.198,0.125,27,-3.442,0.044,-1.428,0.075,0.353,0.022,NN,8.13,1.32,12.07,2597,-1126,2340,8,9751
FSR_0451,357.955,60.916,115.748,-1.121,0.214,164,-3.216,0.107,-1.907,0.083,0.32,0.049,NN,7.13,1.99,12.56,3252,-1412,2929,-63,10183
Negueruela_1,356.849,63.219,115.791,1.238,0.022,52,-2.988,0.198,-1.343,0.121,0.289,0.059,NN,7.23,3.39,12.3,2879,-1252,2592,62,9936
Teutsch_23,356.976,62.996,115.792,1.008,0.048,28,-2.986,0.102,-1.387,0.07,0.29,0.038,NN,6.75,2.69,12.69,3453,-1502,3109,60,10321
Berkeley_99,350.26,71.778,115.92,10.148,0.05,88,-3.139,0.126,-0.359,0.133,0.137,0.055,NN,9.53,0.72,13.54,5105,-2196,4520,899,11465
King_21,357.479,62.705,115.945,0.671,0.046,100,-3.259,0.095,-1.675,0.124,0.305,0.05,NN,7.99,2.03,12.39,3005,-1314,2702,35,10025
King_12,358.265,61.953,116.128,-0.145,0.054,56,-3.416,0.078,-1.42,0.082,0.296,0.032,NN,7.27,1.85,12.47,3126,-1376,2806,-7,10113
UBC_405,358.532,62.557,116.385,0.411,0.056,59,-2.231,0.111,-0.469,0.068,0.18,0.043,NN,7.72,1.73,13.13,4233,-1881,3792,30,10901
NGC_7788,359.179,61.395,116.43,-0.784,0.045,137,-3.112,0.113,-1.762,0.09,0.3,0.048,NN,7.24,1.42,12.37,2974,-1324,2663,-40,10024
UBC_594,359.482,61.449,116.587,-0.765,0.033,15,-1.992,0.118,-0.548,0.054,0.209,0.015,NN,8.18,1.64,13.02,4016,-1797,3591,-53,10754
NGC_7790,-0.387,61.21,116.595,-1.008,0.059,173,-3.276,0.096,-1.677,0.092,0.269,0.047,NN,8.11,1.65,12.6,3303,-1478,2953,-58,10253
Berkeley_58,0.063,60.937,116.754,-1.319,0.06,123,-3.498,0.065,-1.782,0.075,0.282,0.046,NN,7.78,1.83,12.7,3468,-1560,3096,-79,10373
FSR_0465,357.75,66.186,116.875,4.027,0.037,22,-2.583,0.166,-0.109,0.183,0.163,0.079,NN,9.77,2.33,14.19,6873,-3099,6116,482,12972
UPK_230,353.465,71.788,116.901,9.758,0.38,28,4.892,0.083,-0.809,0.173,1.841,0.05,NN,7.86,0.93,8.74,558,-249,490,94,8603
UBC_595,359.831,62.45,116.978,0.178,0.086,32,-1.244,0.063,-0.644,0.062,0.213,0.022,NN,8.43,1.5,12.97,3927,-1781,3500,12,10709
UBC_406,0.597,60.975,117.007,-1.329,0.094,78,-3.141,0.101,-1.474,0.094,0.261,0.042,NN,7.74,1.64,12.76,3570,-1620,3179,-82,10456
King_11,356.912,68.636,117.151,6.484,0.062,260,-3.358,0.2,-0.643,0.136,0.262,0.09,NN,9.65,2.67,12.46,3097,-1404,2738,349,10122
NGC_7762,357.472,68.035,117.206,5.85,0.17,419,1.452,0.165,4.016,0.168,1.002,0.036,NN,9.31,1.91,9.77,897,-408,794,91,8784
UBC_596,3.36,53.832,117.277,-8.629,0.061,12,-2.193,0.063,-0.973,0.054,0.527,0.034,NN,8.15,0.32,11.32,1837,-832,1614,-275,9313
UBC_181,0.584,63.562,117.486,1.216,0.11,31,-2.602,0.1,-1.344,0.091,0.858,0.026,NN,8.83,1.08,10.25,1123,-518,996,23,8914
UBC_182,4.18,52.298,117.56,-10.201,0.14,24,-2.96,0.099,-1.769,0.086,0.64,0.028,NN,7.13,0.2,10.93,1533,-698,1337,-271,9136
Alessi_20,2.593,58.742,117.615,-3.705,0.235,119,8.195,0.293,-2.341,0.28,2.311,0.068,NN,6.97,0.6,8.08,412,-190,364,-26,8538
Gulliver_24,1.161,62.835,117.62,0.447,0.101,75,-3.241,0.096,-1.57,0.088,0.636,0.05,NN,8.25,1.05,10.88,1498,-694,1327,11,9131
Stock_18,0.399,64.625,117.622,2.268,0.057,22,-2.692,0.075,-0.587,0.076,0.294,0.027,NN,7.12,1.94,12.28,2860,-1325,2532,113,9991
Berkeley_104,0.865,63.587,117.626,1.211,0.038,47,-2.392,0.103,0.09,0.071,0.198,0.041,NN,8.89,1.36,13.18,4325,-2005,3831,91,11032
Czernik_1,1.906,61.476,117.725,-0.952,0.024,35,-2.964,0.121,-1.395,0.087,0.31,0.04,NN,7.57,2.17,12.47,3124,-1453,2765,-51,10176
UBC_2,5.584,46.532,117.731,-16.046,0.547,23,-6.374,0.091,-5.022,0.081,1.754,0.046,NN,8.3,0.18,8.72,555,-248,472,-153,8601
Berkeley_1,2.449,60.476,117.82,-1.982,0.036,48,-2.758,0.12,-0.173,0.087,0.235,0.058,NN,8.48,1.52,12.89,3779,-1762,3340,-130,10640
King_13,2.553,61.175,117.982,-1.3,0.071,244,-2.746,0.104,-0.839,0.086,0.231,0.053,NN,8.7,1.76,12.74,3525,-1653,3112,-79,10467
UBC_597,1.959,62.984,118.007,0.527,0.081,20,-3.495,0.077,-0.779,0.086,0.266,0.021,NN,8.14,1.23,12.58,3287,-1543,2902,30,10301
Berkeley_59,0.57,67.441,118.23,5.019,0.137,235,-1.616,0.307,-1.764,0.344,0.916,0.083,tooRed,---,---,---,---,---,---,---,---
UBC_183,5.005,55.714,118.491,-6.881,0.099,28,0.661,0.066,-2.507,0.068,0.934,0.019,NN,7.82,0.37,10.1,1046,-495,912,-125,8882
Juchert_Saloran_1,4.078,59.967,118.545,-2.606,0.038,65,-1.731,0.134,-1.312,0.142,0.197,0.086,NN,8.78,2.82,13.66,5383,-2569,4724,-244,11889
Berkeley_60,4.44,60.936,118.851,-1.669,0.04,104,-0.682,0.105,-0.732,0.077,0.236,0.053,NN,8.57,2.07,12.85,3711,-1789,3249,-108,10638
UBC_407,4.566,63.367,119.225,0.729,0.135,81,-3.085,0.182,-0.537,0.106,0.302,0.026,NN,7.58,1.38,12.6,3317,-1619,2895,42,10372
UBC_184,5.76,59.451,119.324,-3.222,0.064,53,-3.353,0.076,-1.868,0.084,0.562,0.041,NN,8.91,1.37,11.15,1697,-829,1477,-95,9288
Mayer_1,5.502,61.751,119.456,-0.922,0.101,33,-3.341,0.123,-1.426,0.192,0.353,0.071,NN,7.46,1.29,12.09,2618,-1287,2280,-42,9893
Berkeley_2,6.319,60.392,119.703,-2.316,0.027,73,-1.101,0.125,-0.304,0.102,0.117,0.072,NN,8.77,2.34,14.2,6928,-3430,6012,-279,13217
SAI_4,5.895,62.712,119.745,0.013,0.049,43,-3.095,0.094,-0.551,0.099,0.314,0.047,NN,8.02,1.52,12.54,3226,-1600,2801,0,10327
King_1,5.505,64.383,119.758,1.692,0.155,651,-4.947,0.154,-1.273,0.126,0.519,0.067,NN,9.56,1.9,11.19,1727,-857,1499,51,9318
NGC_103,6.312,61.326,119.795,-1.386,0.053,175,-2.823,0.101,-0.988,0.094,0.288,0.05,NN,8.01,1.08,12.5,3167,-1573,2747,-76,10287
UPK_237,5.352,65.495,119.828,2.812,0.212,95,-0.585,0.146,-3.732,0.177,1.329,0.057,NN,8.18,1.72,9.4,758,-376,657,37,8741
Stock_20,6.318,62.624,119.929,-0.095,0.046,38,-3.237,0.056,-1.124,0.062,0.342,0.03,NN,7.28,1.09,12.07,2598,-1296,2251,-4,9896
FSR_0494,6.416,63.754,120.087,1.025,0.056,37,-2.503,0.109,-0.844,0.073,0.225,0.047,manual,8.95,2.2,13.05,4073,-2041,3524,72,10963
Stock_21,7.59,57.922,120.126,-4.835,0.052,57,-2.161,0.067,-1.787,0.092,0.51,0.036,NN,8.45,1.21,11.55,2040,-1020,1758,-171,9524
UBC_409,6.701,63.208,120.169,0.472,0.185,88,-2.914,0.127,-0.399,0.079,0.3,0.027,NN,8.3,1.05,12.41,3038,-1526,2626,25,10210
FSR_0496,6.656,64.01,120.217,1.269,0.091,109,2.231,0.093,-0.621,0.117,0.653,0.06,NN,9.31,1.94,10.77,1423,-716,1229,31,9139
UBC_33,7.36,60.498,120.225,-2.258,0.113,43,-0.928,0.062,-0.443,0.059,0.627,0.029,NN,8.14,1.54,11,1586,-797,1369,-62,9240
UBC_410,6.999,62.925,120.265,0.177,0.1,36,-3.132,0.142,-0.957,0.103,0.341,0.026,NN,7.58,0.97,12.1,2628,-1324,2270,8,9927
NGC_129,7.607,60.213,120.323,-2.552,0.169,365,-2.605,0.099,-1.096,0.099,0.511,0.043,NN,8.11,1.51,11.4,1906,-961,1644,-84,9445
FSR_0498,7.317,62.389,120.366,-0.372,0.117,43,-3.29,0.061,-0.681,0.048,0.336,0.027,NN,7.73,1.14,12.14,2674,-1352,2307,-17,9963
NGC_136,7.896,61.506,120.566,-1.274,0.027,70,-1.648,0.089,-0.522,0.088,0.181,0.061,NN,8.41,1.76,13.56,5141,-2613,4425,-114,11814
UBC_185,7.8,63.397,120.667,0.615,0.032,48,-2.438,0.099,-0.415,0.068,0.213,0.03,NN,8.42,2.01,13.02,4015,-2048,3454,43,10947
King_14,7.987,63.163,120.734,0.375,0.058,94,-3.267,0.096,-0.985,0.082,0.402,0.053,NN,8.16,1.3,11.92,2420,-1236,2080,15,9800
King_15,8.262,61.854,120.765,-0.941,0.041,65,-2.326,0.104,-0.862,0.107,0.306,0.056,NN,8.47,1.58,12.66,3403,-1740,2923,-55,10495
NGC_146,8.262,63.316,120.869,0.518,0.075,45,-2.864,0.071,-0.451,0.075,0.307,0.031,NN,7.55,1.6,12.49,3141,-1611,2695,28,10310
NGC_189,9.885,61.09,121.494,-1.749,0.079,47,0.338,0.071,-3.306,0.109,0.772,0.025,NN,8.6,1.54,10.45,1228,-641,1046,-37,9042
Stock_24,9.945,61.967,121.563,-0.874,0.053,77,-1.395,0.088,0.037,0.081,0.326,0.034,NN,8.08,1.25,12.36,2961,-1549,2522,-45,10206
UPK_241,9.677,65.465,121.615,2.637,0.324,22,0.193,0.076,-0.17,0.057,1.015,0.037,notEnoughStars,---,---,---,---,---,---,---,---
Dias_1,10.63,64.056,121.957,1.201,0.058,49,-2.752,0.088,-0.523,0.085,0.372,0.036,NN,7.48,2.35,12.08,2608,-1380,2213,54,9969
NGC_225,10.805,61.774,121.96,-1.082,0.216,28,-5.373,0.11,-0.093,0.119,1.432,0.034,NN,8.46,0.54,9.16,679,-359,576,-12,8718
Czernik_2,10.952,60.197,121.983,-2.661,0.085,77,-4.06,0.116,-0.905,0.089,0.495,0.049,NN,8.57,1.41,11.39,1899,-1005,1609,-88,9482
UBC_598,10.697,64.764,122.009,1.908,0.103,13,-2.466,0.066,-0.096,0.039,0.297,0.012,tooRed,---,---,---,---,---,---,---,---
King_16,10.915,64.172,122.084,1.313,0.051,31,-2.908,0.102,-0.419,0.058,0.328,0.028,NN,7.72,2,12.29,2874,-1526,2434,65,10162
Berkeley_4,11.291,64.391,122.254,1.528,0.033,42,-2.421,0.079,-0.236,0.054,0.296,0.044,NN,7.33,2.16,12.47,3121,-1665,2638,83,10347
UBC_599,11.683,60.073,122.345,-2.793,0.039,9,-1.176,0.117,-0.217,0.044,0.169,0.013,notEnoughStars,---,---,---,---,---,---,---,---
COIN-Gaia_1,11.933,66.769,122.566,3.9,0.357,78,-5.034,0.122,-3.048,0.108,1.546,0.042,NN,8.26,1.13,9.09,658,-353,554,44,8711
Berkeley_61,12.04,67.199,122.613,4.329,0.024,40,-2.505,0.085,-0.014,0.086,0.309,0.071,NN,8.26,2.07,12.33,2922,-1570,2454,220,10210
NGC_188,11.798,85.244,122.837,22.373,0.272,857,-2.307,0.139,-0.96,0.146,0.507,0.046,NN,9.85,0.21,11.15,1698,-851,1319,646,9285
King_2,12.741,58.188,122.869,-4.684,0.051,117,-1.358,0.112,-0.824,0.14,0.166,0.095,NN,9.61,0.97,14.15,6760,-3656,5659,-552,13264
UBC_412,12.987,63.785,122.988,0.914,0.145,37,-1.631,0.128,-0.257,0.093,0.217,0.023,NN,7.33,2.25,12.71,3480,-1894,2919,55,10642
IC_1590,13.205,56.629,123.123,-6.242,0.055,97,-2.368,0.141,-1.449,0.134,0.339,0.072,NN,6.79,1.13,12.37,2980,-1618,2481,-324,10263
Alessi_1,13.343,49.536,123.255,-13.335,0.249,45,6.536,0.105,-6.245,0.204,1.39,0.057,NN,9.16,0.08,9.19,689,-367,561,-159,8726
Skiff_J0058+68.4,14.604,68.458,123.575,5.595,0.172,316,-2.063,0.085,0.366,0.091,0.319,0.046,NN,9.15,1.77,11.97,2476,-1363,2053,241,9918
FSR_0524,14.34,62.125,123.624,-0.739,0.027,8,-1.547,0.1,-0.246,0.102,0.226,0.036,notEnoughStars,---,---,---,---,---,---,---,---
Berkeley_62,15.309,63.918,124.009,1.066,0.081,84,-2.15,0.089,-0.353,0.085,0.36,0.041,NN,7.17,2.09,12.12,2660,-1487,2204,49,10071
COIN-Gaia_29,15.548,63.648,124.125,0.801,0.177,11,-2.654,0.051,-0.317,0.04,0.313,0.032,notEnoughStars,---,---,---,---,---,---,---,---
UBC_84,15.429,61.72,124.149,-1.127,0.095,55,-1.536,0.097,-0.978,0.121,0.37,0.035,NN,7.68,1.61,12.12,2650,-1487,2193,-52,10069
COIN-Gaia_2,15.06,55.409,124.192,-7.441,0.187,115,-4.457,0.118,-1.933,0.12,0.787,0.062,NN,8.82,0.46,10.4,1204,-670,987,-155,9064
Czernik_3,15.78,62.787,124.267,-0.055,0.014,44,-0.22,0.158,-0.296,0.169,0.195,0.071,NN,8.54,2.91,13.22,4415,-2486,3649,-4,11424
NGC_366,16.624,62.219,124.686,-0.602,0.038,130,-2.071,0.11,-0.425,0.13,0.355,0.063,NN,7.41,3.1,12.14,2677,-1523,2201,-28,10106
UBC_36,16.487,59.632,124.768,-3.188,0.065,27,-1.166,0.077,-0.406,0.071,0.471,0.037,NN,8.73,1,11.55,2042,-1162,1675,-113,9649
NGC_381,17.094,61.586,124.946,-1.219,0.093,137,1.602,0.124,-2.263,0.141,0.847,0.045,NN,8.58,0.93,10.35,1172,-671,961,-24,9062
UBC_413,17.628,60.466,125.284,-2.314,0.058,11,-2.377,0.083,-0.358,0.034,0.372,0.021,notEnoughStars,---,---,---,---,---,---,---,---
COIN-Gaia_30,21.08,70.574,125.684,7.878,0.254,90,-6.145,0.111,2.067,0.164,1.346,0.05,NN,8.41,1.25,9.42,767,-443,617,105,8804
COIN-Gaia_3,18.739,60.505,125.825,-2.235,0.126,85,-2.431,0.104,-1.791,0.115,0.775,0.054,NN,7.69,1.69,10.41,1209,-707,979,-47,9100
NGC_433,18.798,60.133,125.888,-2.602,0.058,88,-1.422,0.099,-0.72,0.115,0.463,0.052,NN,8.14,1.8,11.56,2050,-1200,1659,-93,9683
UBC_85,18.644,57.816,126.021,-4.917,0.095,33,-3.697,0.093,-0.615,0.137,0.361,0.033,NN,7.93,1.1,12.08,2608,-1528,2102,-223,10089
FSR_0534,19.349,61.273,126.047,-1.442,0.102,53,-0.425,0.106,-0.281,0.084,0.335,0.052,NN,7.41,2.05,12.27,2842,-1672,2297,-71,10272
NGC_436,19.001,58.82,126.114,-3.899,0.045,161,-0.986,0.076,-0.577,0.092,0.262,0.049,NN,7.75,1.4,12.46,3109,-1828,2506,-211,10472
FSR_0536,19.919,63.026,126.128,0.33,0.059,23,-1.619,0.082,-0.025,0.087,0.288,0.038,NN,8.06,3.98,12.53,3203,-1888,2587,18,10550
UBC_39,19.817,61.019,126.298,-1.671,0.091,45,-1.231,0.05,-0.157,0.066,0.478,0.036,NN,8.17,1.35,11.55,2045,-1210,1647,-59,9691
FSR_0537,19.698,60.358,126.311,-2.334,0.043,46,-1.079,0.085,-0.821,0.079,0.255,0.054,NN,7.9,1.45,12.65,3391,-2006,2730,-138,10700
UBC_600,20.774,64.54,126.326,1.862,0.184,84,-1.181,0.088,0.118,0.089,0.161,0.023,NN,7.5,2.39,12.61,3333,-1973,2684,108,10657
UBC_601,20.338,62.509,126.377,-0.153,0.103,17,-1.859,0.088,-0.299,0.069,0.292,0.012,tooRed,---,---,---,---,---,---,---,---
NGC_457,19.887,58.278,126.631,-4.392,0.125,509,-1.586,0.093,-0.661,0.098,0.318,0.045,NN,7.32,1.42,12.2,2749,-1635,2199,-210,10215
FSR_0542,21.485,63.011,126.835,0.401,0.123,16,-2.187,0.111,-0.203,0.097,0.271,0.07,NN,8.93,3.24,12.87,3756,-2252,3006,26,11010
SAI_14,21.504,62.624,126.895,0.019,0.036,41,-1.886,0.11,-1.058,0.133,0.23,0.062,NN,9.13,2.68,13.01,3999,-2401,3198,1,11207
COIN-Gaia_31,21.307,61.135,127,-1.469,0.093,18,-1.983,0.068,-0.526,0.048,0.381,0.036,notEnoughStars,---,---,---,---,---,---,---,---
NGC_559,22.387,63.301,127.197,0.746,0.081,529,-4.258,0.113,0.254,0.13,0.325,0.06,NN,8.41,2.19,12.3,2884,-1743,2297,37,10341
Berkeley_8,30.306,75.489,127.358,13.22,0.077,250,2.65,0.154,0.439,0.156,0.25,0.074,NN,9.56,1.75,12.62,3339,-1972,2584,763,10631
