name,l,l_std,b,b_std,plx,plx_std,pmra,pmra_std,pmdec,pmdec_std,N_member,Z,m-M,E(V-I),t/tsp,fbin,frot,RA_ICRS,DE_ICRS
LISC-III_3613,203.583,0.435,-24.004,0.556,2.636,0.107,1.126,0.426,-0.804,0.337,91,0.008,6.35,0.2,0.0,0.54,0.0,77.37105,-3.06234
LISC-III_3629,333.667,2.491,-18.349,0.869,1.895,0.086,-0.223,1.365,-8.29,2.045,136,0.001,8.35,0.2,0.6,0.53,0.0,272.13908,-60.41583
LISC-III_3630,322.244,2.296,-17.662,0.611,1.881,0.072,-2.512,1.335,-8.968,1.664,70,0.008,9.5,0.38,0.9,0.54,0.0,258.9026,-69.8285
LISC-III_3645,186.027,1.205,-11.107,0.257,2.696,0.12,0.039,0.686,-5.714,0.709,73,0.02,8.3,0.32,0.3,0.44,0.0,79.72187,17.89928
LISC-III_3646,204.026,1.236,-12.201,0.269,2.442,0.105,-1.294,0.935,-1.902,1.008,107,0.004,7.09,0.2,0.0,0.52,0.0,87.95087,2.195
LISC-III_3649,200.728,1.324,-12.402,1.181,1.877,0.079,0.896,1.125,-4.97,1.179,84,0.02,9.05,0.26,1.1,0.44,0.0,86.2205,4.92286
LISC-III_3661,132.378,2.325,-13.541,1.389,1.865,0.073,0.919,2.218,-4.755,1.305,386,0.01,8.52,0.06,2.9,0.47,0.0,26.74004,48.30979
LISC-III_3664,180.91,0.634,-12.323,1.115,2.002,0.116,1.348,1.42,-6.05,1.522,67,0.004,8.2,0.5,0.2,0.52,0.0,75.63424,21.32886
LISC-III_3668,260.326,1.89,-7.975,0.612,1.794,0.059,-6.223,0.69,7.063,0.954,217,0.02,8.9,0.01,0.2,0.36,0.0,120.16609,-45.39655
LISC-III_3673,322.474,4.682,-8.374,0.914,1.876,0.106,-3.538,1.844,-6.227,1.681,849,0.03,8.6,0.01,0.3,0.51,0.0,241.0946,-63.66118
LISC-III_3682,234.725,5.033,-6.576,1.207,1.826,0.07,-4.547,1.398,2.989,1.894,290,0.01,9.1,0.24,0.6,0.45,0.0,106.96754,-22.36212
LISC-III_3715,325.816,1.271,2.812,0.966,1.863,0.054,-5.655,1.297,-6.435,1.392,142,0.03,8.9,0.05,0.4,0.47,0.0,232.83669,-52.80501
LISC-III_3723,83.173,2.052,6.428,0.711,2.903,0.137,3.468,0.836,1.766,0.717,503,0.008,7.39,0.105,0.0,0.48,0.0,304.23036,46.96356
LISC-III_3728,329.039,5.76,9.203,1.238,1.872,0.084,-6.424,2.298,-5.233,1.565,1260,0.01,8.76,0.11,0.5,0.53,0.0,231.33745,-45.72287
LISC-III_3732,63.094,1.59,4.935,0.499,1.886,0.061,0.792,1.087,-2.9,1.55,71,0.03,10.7931,0.7,0.0,0.31,0.0,292.84713,28.99551
LISC-III_3737,306.166,7.076,12.106,0.479,1.875,0.06,-12.042,1.777,-2.801,2.04,104,0.0001,9.5,0.8,0.0,0.48,0.0,197.84931,-50.64037
LISC-III_3749,310.208,4.242,11.992,0.762,1.887,0.061,-12.021,1.83,-3.862,1.386,104,0.03,10.0,0.45,0.3,0.49,0.0,204.03015,-50.24743
LISC-III_3755,54.403,0.836,17.142,0.575,2.81,0.145,-0.147,1.163,-5.46,0.898,200,0.02,8.0,0.2,0.0,0.47,0.0,276.26364,26.46746
LISC-III_3759,138.326,1.395,11.615,0.777,1.89,0.089,-1.238,1.425,-1.246,1.663,96,0.008,8.55,0.4,0.6,0.42,0.0,58.82099,68.795
LISC-III_3783,256.616,2.702,12.670,0.557,3.848,0.126,-20.561,1.316,15.861,1.607,59,0.004,8.00,0.52,0.2,0.23,0.0,129.12979,-36.335
