"ID","GLON","e_GLON","GLAT","e_GLAT","r","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","_RA.icrs","_DE.icrs"
FoF_1624,359.857,0.056,-0.26,0.066,0.213,0.486,0.039,1.46,0.514,-0.888,0.353,177,0.617,0.037,0.5,266.5739,-29.1936
FoF_1800,105.249,0.127,0.094,0.096,0.441,0.709,0.034,-4.571,0.297,-2.633,0.203,167,0.479,0.0287,-1,337.8086,58.0689
FoF_1831,116.895,0.14,1.25,0.065,0.317,0.249,0.021,-2.606,0.916,-0.893,0.296,90,0.468,0.0281,0.25,359.2389,63.4814
FoF_1888,123.676,0.194,0.388,0.073,0.506,0.356,0.018,-2.21,0.519,-0.265,0.376,117,0.537,0.0322,0.5,14.5128,63.2502
FoF_1937,135.837,0.164,1.838,0.095,0.486,0.336,0.029,-0.333,0.732,-0.213,0.494,140,0.576,0.0346,0.25,41.0947,61.8465
FoF_1970,183.44,0.105,3.489,0.1,0.282,0.248,0.016,0.196,0.4,-1.523,0.542,90,1.41,0.0846,-0.5,91.7945,27.7154
FoF_1973,189.698,0.053,3.914,0.057,0.157,0.337,0.028,1.076,0.272,-2.633,0.214,69,0.708,0.0425,0.25,95.4814,22.4201
FoF_1994,301.932,0.071,4.768,0.039,0.215,0.5,0.03,-2.185,0.19,-1.25,0.191,107,0.832,0.0499,0.25,190.9741,-58.0891
FoF_2000,97.054,0.108,5.843,0.086,0.401,0.701,0.023,-3.1,0.209,-4.402,0.239,106,0.355,0.0213,0.25,319.0379,57.4589
FoF_2059,284.793,0.113,-3.737,0.055,0.269,0.459,0.021,-6.302,0.324,3.08,0.303,68,0.562,0.0337,0.5,153.1748,-60.8892
FoF_2068,28.886,0.045,-3.305,0.041,0.151,0.504,0.036,-0.508,0.243,-4.283,0.209,93,0.576,0.0346,0.25,283.9634,-5.1048
FoF_2094,294.863,0.056,-0.177,0.052,0.164,0.542,0.03,-3.78,0.287,1.257,0.208,80,0.275,0.0165,0.25,175.4893,-61.9554
FoF_2100,319.243,0.062,-2.089,0.055,0.168,0.453,0.016,-3.492,0.425,-3.443,0.356,93,0.525,0.0315,0.5,227.5882,-60.4843
FoF_2117,28.734,0.064,-1.574,0.094,0.284,0.608,0.028,1.079,0.171,0.068,0.184,120,1.41,0.0846,-0.5,282.3468,-4.4535
FoF_2118,28.705,0.116,-1.549,0.087,0.317,0.673,0.029,1.083,0.225,0.148,0.221,161,0.933,0.056,-0.25,282.3113,-4.4679
