OC,GLON,GLAT,r,Nstar,Ncore,plx,s_plx,pmRA,s_pmRA,pmDE,s_pmDE,m-M,logAge,AG,Z,RA_ICRS,DE_ICRS
CWNU_40,70.424,-1.231,0.03,50,38,0.48,0.03,-3.83,0.09,-5.3,0.14,11.1,8.24,3.9,0.024,303.35983,32.12524
CWNU_41,92.224,-6.323,0.61,68,29,0.78,0.04,2.15,0.24,-0.02,0.11,10.2,8.88,0.4,0.017,326.71535,45.26109
CWNU_42,252.836,-1.37,0.31,66,36,0.86,0.04,-4.78,0.1,2.97,0.15,10.4,7.96,0.7,0.026,122.33158,-35.56808
CWNU_43,237.96,0.637,0.19,90,41,0.66,0.04,-2.52,0.18,1.65,0.12,10.9,8.46,0.3,0.026,115.47557,-21.8037
CWNU_44,134.977,1.725,0.18,34,20,0.67,0.03,-0.91,0.18,-0.46,0.13,10.8,7.66,1.8,0.017,39.32716,62.0951
CWNU_45,111.351,-2.453,0.14,59,40,0.99,0.04,-0.42,0.12,-0.83,0.12,9.9,7.9,2.2,0.02,350.36658,58.38119
CWNU_46,68.596,2.636,0.09,56,37,0.49,0.04,-2.51,0.1,-3.43,0.11,11.3,8.34,1.7,0.018,298.33109,32.63692
CWNU_47,327.232,-1.331,0.07,33,11,0.57,0.03,-3.95,0.16,-5.16,0.11,10.6,8.78,2.0,0.024,239.03939,-55.23628
CWNU_48,225.173,5.548,0.15,33,17,0.9,0.08,-3.59,0.14,0.99,0.11,10.2,7.98,0.1,0.026,113.47301,-8.26385
CWNU_49,169.769,-1.966,0.13,33,17,0.6,0.04,1.15,0.13,-3.97,0.09,10.9,8.18,1.2,0.024,77.70822,36.35718
CWNU_50,203.158,-2.565,0.07,41,20,0.49,0.05,-0.9,0.16,-0.24,0.1,11.7,8.16,1.0,0.019,96.07292,7.50006
CWNU_51,19.445,-2.247,0.08,45,23,0.56,0.04,0.67,0.11,-0.14,0.11,10.9,8.1,1.9,0.025,278.65862,-13.0196
CWNU_52,220.279,0.592,0.17,35,20,0.6,0.04,-0.26,0.11,-0.64,0.16,10.7,7.92,0.5,0.021,106.75336,-6.26309
CWNU_53,174.786,-1.207,0.14,35,13,0.64,0.06,1.41,0.17,-3.54,0.18,11.2,7.54,1.1,0.023,81.95408,32.68286
CWNU_54,221.571,0.052,0.16,50,33,0.93,0.02,-3.94,0.15,1.14,0.14,10.3,8.42,0.4,0.028,106.86914,-7.65865
CWNU_55,298.57,-8.573,0.35,42,18,0.73,0.05,-4.05,0.16,-0.69,0.13,10.5,7.78,0.9,0.017,179.50958,-70.99114
CWNU_56,92.545,-3.423,0.1,34,18,0.78,0.05,1.44,0.08,-0.35,0.11,10.6,7.9,0.9,0.027,324.29918,47.65774
CWNU_57,16.639,-1.919,0.13,40,19,0.86,0.05,-2.7,0.08,-3.56,0.08,10.1,8.48,0.7,0.028,277.0235,-15.35589
CWNU_58,203.355,0.556,0.12,38,15,0.48,0.04,0.03,0.11,-1.38,0.07,11.3,7.28,1.1,0.018,98.95931,8.77105
CWNU_59,235.209,1.629,0.06,35,20,0.41,0.04,-2.23,0.1,2.19,0.09,12.0,7.52,1.5,0.021,114.94689,-18.92215
CWNU_60,210.929,5.473,0.13,55,29,0.48,0.04,-0.39,0.11,-1.66,0.12,11.5,8.3,0.9,0.022,106.82821,4.26984
CWNU_61,221.759,-4.652,0.14,73,37,0.5,0.04,-1.28,0.12,1.25,0.15,11.6,8.28,1.4,0.02,102.71756,-9.9683
CWNU_62,233.57,-4.761,0.1,36,14,0.49,0.05,-1.6,0.14,0.67,0.13,11.3,8.38,1.6,0.024,108.1461,-20.515
CWNU_63,133.389,-0.837,0.08,39,21,0.63,0.06,-0.89,0.09,0.16,0.18,10.8,8.0,2.1,0.022,34.33192,60.27925
CWNU_64,293.05,-6.779,0.28,46,27,0.93,0.04,-7.41,0.14,1.72,0.19,10.2,7.9,1.0,0.022,166.307,-67.58983
