Id,Nmem,ra,ra_sigma,dec,dec_sigma,plx,plx_sigma,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,n17,Z,age,N_rv,RV_mean,RV_std,RV_mad
CWWDL_499,96,160.8042,0.0587,-61.7843,0.0039,0.249,0.0003,-5.8133,0.3175,2.5937,0.1497,288.3842,0.0163,-2.5895,0.0007,53,-0.58,8.21,8,1.2059,17.241,14.3067
CWWDL_500,194,160.8499,0.0492,-61.8131,0.0018,0.2464,0.0004,-5.6868,0.3814,2.5568,0.2619,288.417,0.0088,-2.6045,0.004,93,-0.04,7.97,14,12.1131,24.548,16.409
CWWDL_504,329,160.6488,0.0306,-61.6365,0.004,0.2418,0.0006,-5.8539,0.4569,2.6208,0.2414,288.2492,0.0085,-2.4941,0.0024,183,0.4,7.91,29,6.3709,17.553,12.8766
CWWDL_506,20,160.7306,0.0016,-61.5824,0.0005,0.2163,0.0001,-5.6711,0.0767,2.3491,0.0947,288.2578,0.0004,-2.4279,0.0004,11,-0.58,8.03,1,19.564,,0
CWWDL_508,40,161.6597,0.0027,-62.1859,0.0018,0.222,0.0001,-5.3161,0.3227,2.4318,0.1325,288.9278,0.0013,-2.7566,0.001,16,-0.28,7.85,4,-7.406,29.6048,22.114
CWWDL_509,106,163.2206,0.0292,-62.7379,0.0019,0.2332,0.0003,-5.7087,0.2197,2.1701,0.1082,289.8219,0.0073,-2.9237,0.0008,44,0.44,7.73,5,0.8828,16.092,12.679
CWWDL_529,32,166.7609,0.0746,-62.8595,0.0265,0.543,0.0008,-6.9994,0.0361,1.8958,0.1367,291.3453,0.0014,-2.3602,0.0004,24,-0.1,6.42,1,-17.772,,0
CWWDL_532,57,178.1684,0.0137,-64.5975,0.0004,0.4135,0.0006,-5.6022,0.043,0.287,0.0537,296.6806,0.0024,-2.4414,0.0005,36,0.44,7.13,5,-18.5334,22.6378,15.821
CWWDL_540,41,239.4293,0.035,-57.2747,0.0069,0.3237,0.0014,-2.0017,0.0267,-2.6375,0.0211,326.0824,0.0002,-3.0289,0.0002,35,0.4,7.91,8,-25.3411,14.2344,10.9637
CWWDL_554,75,283.9629,0.0306,-5.1095,0.0433,0.4928,0.0005,-0.4504,0.0105,-4.3866,0.0153,28.8816,0.0018,-3.3067,0.001,65,0.4,7.79,11,33.7115,28.648,20.0674
CWWDL_556,37,285.1365,0.0235,-1.5507,0.0444,0.4552,0.0011,0.4548,0.0295,-0.4684,0.0089,32.5892,0.0016,-2.7333,0.0009,31,0.27,7.85,5,-15.1746,22.4126,18.8603
CWWDL_558,47,297.6824,0.0012,19.7145,0.0017,0.2754,0.0004,-2.7106,0.0494,-5.7816,0.056,57.1866,0.0016,-3.4698,0.0011,34,0.44,7.7,3,24.83,26.381,19.9573
CWWDL_559,49,297.9541,0.0362,22.1034,0.0644,0.6063,0.0006,-0.8123,0.0206,-2.3451,0.0168,59.3755,0.0044,-2.4733,0.0008,42,-0.4,7.79,1,-0.13,,0
CWWDL_566,52,316.0462,0.0523,42.0654,0.0503,0.4848,0.0006,-2.4581,0.0252,-4.3962,0.0713,84.4496,0.0026,-3.219,0.0014,40,0.37,7.46,4,-12.5435,12.9375,10.5585
CWWDL_569,35,324.9934,0.0545,49.3038,0.0335,0.4351,0.0004,-3.4931,0.0091,-4.9128,0.0126,93.9846,0.0019,-2.4987,0.0005,32,0.44,5.78,1,-6.54,,0
CWWDL_574,43,335.659,0.0611,53.7225,0.0372,0.3025,0.0006,-2.8542,0.0922,-2.4551,0.1057,101.9407,0.0019,-2.9725,0.0008,33,0.4,7.67,1,-60.21,,0
CWWDL_578,37,345.7434,0.0522,57.231,0.002,0.4119,0.0003,-2.844,0.0912,-2.5418,0.0862,108.6345,0.0167,-2.5987,0.0006,25,-0.88,8,3,-47.179,18.9504,14.5753
CWWDL_580,60,357.3525,0.1837,59.0068,0.0381,0.4934,0.0004,-3.1859,0.0172,-1.0054,0.0091,115.0086,0.0087,-2.9073,0.0015,50,0.44,5.78,1,-40.778,,0
CWWDL_586,49,5.8051,0.1237,59.4474,0.0292,0.5527,0.0011,-3.3208,0.0263,-1.9041,0.0223,119.347,0.0038,-3.2277,0.0009,42,0.4,7.88,3,-45.214,0.7068,0.4933
CWWDL_589,40,13.0594,0.0299,60.2071,0.0013,0.2276,0.0002,-1.4648,0.3071,-0.5764,0.1875,123.0313,0.0074,-2.6643,0.0013,19,-0.28,7.88,2,-55.814,9.9377,7.027
CWWDL_594,35,26.1266,0.1105,58.7441,0.0255,0.506,0.0006,-1.0069,0.0165,-1.1554,0.0198,129.7829,0.0032,-3.4199,0.0006,27,0.23,7.43,1,-33.425,,0
CWWDL_599,21,38.2116,0.4097,56.7378,0.0288,0.353,0,-0.152,0.0526,-1.237,0.0515,136.5401,0.1516,-3.4286,0.0009,12,-0.88,6.23,0,,,
CWWDL_603,36,95.9756,0.0062,9.9802,0.0178,0.2247,0.0002,-0.0222,0.1359,-0.1717,0.1715,200.9186,0.0229,-1.4916,0.0009,13,0.4,7.94,3,64.6487,23.4594,17.2051
CWWDL_611,96,100.9633,0.0477,-0.87,0.0785,0.317,0.0017,-0.6355,0.0831,0.5842,0.0656,212.8418,0.0076,-2.0842,0.0007,67,0.44,7.82,8,64.1755,24.5616,19.6884
CWWDL_615,70,96.8316,0.0097,8.4516,0.0299,0.2331,0.0002,-0.0741,0.1736,-0.0068,0.194,202.6655,0.0379,-1.457,0.0014,36,-0.4,8.21,10,59.1712,23.2035,17.7742
CWWDL_617,153,100.7039,0.0071,-0.2998,0.0249,0.2605,0.0011,-0.3354,0.1816,0.2505,0.1998,212.2156,0.0307,-2.0551,0.0013,83,0.44,7.73,9,55.3399,30.5551,23.3719
CWWDL_623,62,105.8773,0.0028,-9.3658,0.0109,0.3314,0.0005,-1.2695,0.0323,0.8684,0.0346,222.6375,0.0123,-1.6031,0.0013,26,0.42,5.78,0,,,
CWWDL_626,33,107.5817,0.0042,-13.622,0.01,0.3357,0.0003,-1.0655,0.0742,1.2866,0.1473,227.1876,0.0135,-2.0736,0.0005,12,0.44,7.64,1,50.903,,0
CWWDL_630,146,111.0722,0.0026,-20.2439,0.0064,0.3188,0.0018,-2.421,0.2291,3.0474,0.0912,234.6068,0.0072,-2.2063,0.0014,54,-0.58,6.65,2,74.3545,5.3365,3.7735
