Id,Nmem,ra,ra_sigma,dec,dec_sigma,plx,plx_sigma,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,n17,Z,age,N_rv,RV_mean,RV_std,RV_mad
CWWDL_2764,94,180.1433,0.0032,-60.4971,0.0015,0.2934,0.0011,-6.4105,0.1243,0.7303,0.0678,296.7057,0.0009,1.7583,0.0014,25,0.42,7.73,4,-14.6745,10.2197,7.2053
CWWDL_2770,140,189.7622,0.0177,-61.2391,0.002,0.478,0.001,-4.8688,0.1226,-0.603,0.0913,301.4416,0.0041,1.5967,0.002,80,0.35,5.78,3,-13.4847,26.5437,20.3718
CWWDL_2772,81,192.6518,0.0077,-60.9957,0.0004,0.2764,0.0008,-6.4707,0.1093,-0.7429,0.0953,302.8312,0.0018,1.8759,0.0004,23,0.27,7.85,5,-20.3942,22.7742,15.9281
CWWDL_2788,248,255.9391,0.0058,-38.462,0.004,0.5314,0.0012,-3.2956,0.0313,-3.7979,0.0239,347.2407,0.004,1.8277,0.0035,126,-0.88,8.18,23,-62.3819,41.2959,21.5832
CWWDL_2824,43,288.1292,0.024,15.7206,0.0254,0.3895,0.0007,-0.5161,0.021,-3.1751,0.0143,49.2957,0.0008,2.5714,0.0004,37,-0.1,7.31,3,19.189,7.452,5.6993
CWWDL_2841,51,300.0556,0.0014,33.2764,0.0009,0.2924,0.0007,-2.5604,0.0437,-5.2918,0.0965,69.8947,0.0008,1.7313,0.001,24,-0.28,7.97,3,-22.5127,25.4268,19.2209
CWWDL_2844,83,300.8159,0.0019,34.4452,0.0016,0.3995,0.0005,-0.9136,0.0565,-2.6448,0.0342,71.2212,0.0021,1.8133,0.0008,51,0.4,8.03,12,6.0606,9.3391,7.021
CWWDL_2845,73,301.1388,0.0011,35.2384,0.0008,0.3934,0.001,-2.3997,0.0421,-4.0672,0.0551,72.0341,0.0008,2.0114,0.0008,33,0.4,7.7,2,0.5875,28.9935,20.5015
CWWDL_2852,42,301.6026,0.001,36.3621,0.0012,0.2505,0.0005,-2.9106,0.1137,-5.9009,0.167,73.1854,0.0013,2.2956,0.0006,23,0.3,7.88,3,10.0843,10.5561,7.5776
CWWDL_2897,42,13.2159,0.1405,64.4417,0.0006,0.2305,0.0002,-1.9761,0.1659,-0.3226,0.1439,123.0857,0.0261,1.5708,0.0006,11,0.4,7.76,1,-70.074,,0
CWWDL_2912,30,33.2857,0.0511,63.8577,0.0304,0.3454,0.0008,-1.3024,0.0121,-0.855,0.0192,131.7852,0.0007,2.3994,0.0007,22,0.4,7.76,3,-47.9927,36.3367,27.6478
CWWDL_2930,76,31.25,0.1497,63.0644,0.0026,0.2502,0.0003,-1.3064,0.2277,-0.0632,0.1188,131.1507,0.0298,1.373,0.0035,26,-0.58,8.21,5,-63.8198,28.3264,22.5302
CWWDL_2950,57,71.7422,0.0168,49.0709,0.0103,0.3507,0.0003,0.7935,0.146,-1.9551,0.2005,157.0835,0.017,2.4754,0.0005,31,0.27,8,7,-15.2671,19.9338,12.2512
CWWDL_2957,94,92.0759,0.0043,28.0578,0.0057,0.2677,0.001,-0.0342,0.1184,-1.6508,0.1118,183.2599,0.0066,3.8722,0.0024,49,-0.58,8.09,3,13.1163,15.5529,11.5911
CWWDL_2958,44,90.0704,0.0191,28.8119,0.0136,0.2839,0.0007,0.3385,0.2014,-1.6031,0.1475,181.738,0.0256,2.7017,0.0027,27,0.4,7.88,1,27.632,,0
CWWDL_2960,73,95.4501,0.002,22.4077,0.0032,0.3685,0.0017,1.0393,0.038,-2.5995,0.0217,189.6955,0.0036,3.8826,0.0013,27,0.4,7.91,7,30.9583,12.6983,9.9208
CWWDL_2965,57,107.7309,0.0027,-3.4317,0.0071,0.2586,0.0008,-0.4759,0.0642,0.1177,0.0679,218.2125,0.009,2.7597,0.0008,21,-0.88,8.33,3,62.491,3.1784,2.3567
CWWDL_2972,40,119.2566,0.0314,-22.8185,0.0304,0.3829,0.0009,-2.9226,0.0385,2.8553,0.0251,240.6093,0.0009,3.1379,0.0008,34,0.12,6.59,1,37.997,,0
CWWDL_2981,51,130.8437,0.0017,-36.9602,0.0013,0.2703,0.0008,-5.3528,0.0308,4.3293,0.0355,257.9504,0.0016,3.4126,0.0008,32,0.3,7.97,8,62.3744,3.3225,2.618
CWWDL_2993,21,146.5635,0.0093,-49.3153,0.0029,0.2117,0,-4.9367,0.3057,3.562,0.1521,274.7687,0.0065,3.1579,0.0003,10,0.4,7.37,1,27.304,,0
CWWDL_2996,41,147.6192,0.0834,-50.1079,0.0437,0.2363,0.0003,-5.5406,0.439,3.5925,0.1481,275.8017,0.0041,2.9839,0.0005,19,-0.58,8.42,6,26.6008,34.2674,27.6426
CWWDL_3007,28,299.6502,0.0027,36.0759,0.003,0.237,0.0005,-2.6238,0.193,-4.8253,0.1096,72.1079,0.0045,3.4808,0.0002,10,-0.04,8.06,4,-7.195,21.0694,15.4825
CWWDL_3011,22,299.7041,0.0011,37.0283,0.0014,0.2163,0,-2.7483,0.1361,-4.5402,0.2929,72.9452,0.0017,3.9398,0.0004,11,-0.88,8.33,3,-3.3297,22.7354,16.8982
CWWDL_3013,39,300.2228,0.0011,37.1894,0.0029,0.2463,0.0003,-3.0522,0.2039,-5.3414,0.3224,73.2996,0.0021,3.6713,0.0015,13,-0.4,8.27,1,-38.399,,0
CWWDL_3018,158,309.3711,0.0101,46.4702,0.0055,0.4383,0.0005,-3.9808,0.0594,-4.3509,0.0623,84.8119,0.0076,3.2666,0.0027,102,0.4,7.37,6,-9.2828,20.671,14.9628
CWWDL_3019,76,309.7452,0.0122,46.493,0.008,0.4396,0.0005,-2.0864,0.1193,-3.2157,0.0488,84.9862,0.0114,3.0753,0.0025,56,-0.18,7.73,4,-4.9667,33.2073,24.3609
CWWDL_3021,34,307.4011,0.0318,44.6344,0.0198,0.4451,0.0007,-2.0709,0.0084,-2.8072,0.011,82.5121,0.0006,3.2857,0.0003,29,0.44,5.3,0,,,
CWWDL_3023,60,304.2138,0.0017,41.9505,0.0022,0.5656,0.0007,-3.7407,0.0394,-4.262,0.0539,78.9782,0.0021,3.6579,0.0012,20,-0.4,5.6,3,16.6173,49.0117,37.2058
CWWDL_3024,46,311.4363,0.0049,46.7586,0.0025,0.3452,0.0002,-2.6564,0.0917,-4.1503,0.115,85.9107,0.0035,2.3227,0.0013,32,0.44,5.78,2,-27.8065,45.2244,31.9785
CWWDL_3025,39,306.705,0.0362,44.0805,0.0198,0.3993,0.0013,-2.2551,0.0242,-3.3952,0.0304,81.7708,0.0005,3.368,0.0005,27,-0.04,5.7,1,-27.24,,0
CWWDL_3050,56,8.3305,0.0349,65.2893,0.0007,0.2596,0.0006,-1.6453,0.0699,0.0996,0.1379,121.0385,0.0061,2.4843,0.0007,20,0.42,7.88,4,-64.2553,16.8463,13.6303
CWWDL_3060,49,32.5559,0.1814,64.1158,0.0553,0.3032,0.0004,-0.7694,0.0886,0.2506,0.1465,131.4013,0.0077,2.5474,0.0015,30,0.23,5,0,,,
CWWDL_3090,38,101.9434,0.0014,11.4134,0.0033,0.2334,0.0006,-0.2129,0.1154,-0.5619,0.0358,202.3408,0.0033,4.3751,0.0013,27,0.4,7.64,1,67.615,,0
CWWDL_3093,42,107.5802,0.0908,0.6855,0.1428,0.232,0.0002,-0.5989,0.088,-0.1258,0.1205,214.4768,0.0273,4.5135,0.0008,20,-0.88,8.21,1,59.693,,0
CWWDL_3095,33,110.4415,0.0007,-5.4389,0.0034,0.2284,0.0002,-0.5556,0.0298,0.451,0.0481,221.2485,0.0033,4.2254,0.0008,27,0.12,7.88,4,93.1193,1.826,1.4853
CWWDL_3097,40,115.2136,0.0329,-12.8965,0.0261,0.2651,0.0013,-1.3803,0.0318,1.7208,0.0588,230.0759,0.0007,4.8093,0.001,27,0.4,7.79,2,58.7965,37.3953,26.4425
CWWDL_3100,39,122.1065,0.034,-23.7071,0.0229,0.2509,0.0006,-2.2187,0.0371,4.0493,0.0257,242.7514,0.0008,4.8925,0.0007,23,-0.1,8.36,7,67.7897,24.2592,19.7573
CWWDL_3104,52,133.9301,0.0331,-38.5687,0.0249,0.2395,0.0005,-5.0061,0.0374,3.8799,0.0361,260.7434,0.0007,4.2919,0.0006,34,-0.28,8.03,7,59.5613,31.8501,23.0167
CWWDL_3107,81,191.0108,0.1155,-58.1004,0.0396,0.5258,0.0011,-2.1829,0.0148,-1.2779,0.0261,301.95,0.0038,4.7575,0.0015,64,0.12,7.94,8,-4.7761,12.5767,7.7723
CWWDL_3112,80,282.1164,0.0417,8.7106,0.0366,0.4279,0.0006,-0.0787,0.0098,-1.5241,0.017,40.3644,0.001,4.6153,0.002,67,-0.28,8.15,16,28.4943,31.5177,20.0056
CWWDL_3117,36,307.5365,0.0029,46.1888,0.0024,0.3712,0.0004,-2.455,0.0245,-3.4028,0.024,83.8308,0.0032,4.1183,0.0007,24,0.4,7.4,1,-34.547,,0
CWWDL_3118,55,308.3529,0.0105,47.0944,0.0048,0.4569,0.0004,-3.3216,0.0958,-4.6541,0.079,84.8957,0.0039,4.1987,0.0057,41,0.44,6.59,4,-11.4478,24.6777,16.9033
CWWDL_3132,39,30.8124,0.2571,65.3637,0.0355,0.2374,0.0003,-0.2818,0.1851,-0.0932,0.1019,130.3284,0.012,3.5286,0.0004,23,0.02,8.18,11,-59.3635,28.8371,21.8315
CWWDL_3133,27,60.2376,0.126,59.1925,0.0401,0.3974,0.0003,-1.8448,0.0187,-1.3859,0.0064,145.1522,0.0047,4.7602,0.0009,20,-0.1,8.24,4,-21.1773,10.3619,7.6809
CWWDL_3134,29,48.2206,0.1561,63.4919,0.0468,0.3284,0.0004,0.2998,0.0605,0.4235,0.0614,137.9557,0.0061,4.8245,0.0008,17,0.16,6.68,2,-31.445,9.0679,6.412
CWWDL_3151,87,119.8232,0.0441,-19.1271,0.0429,0.2944,0.0009,-1.3865,0.024,0.6061,0.0574,237.719,0.0022,5.5045,0.0014,68,0.12,7.46,6,52.8765,9.6581,6.5435
CWWDL_3190,28,87.2645,0.0031,40.7853,0.0014,0.2922,0.0008,0.2416,0.0508,-1.3915,0.0204,170.1805,0.0017,6.7017,0.0016,16,-0.88,8.42,0,,,
CWWDL_3193,31,106.7988,0.0016,9.0874,0.0035,0.2308,0.0001,-0.573,0.2582,-0.3861,0.3035,206.5817,0.0045,7.6079,0.0006,19,0.07,8.12,1,115.423,,0
CWWDL_3194,33,105.2334,0.0358,11.5231,0.1299,0.2396,0.0002,-0.374,0.1065,-0.5344,0.2296,203.6911,0.0152,7.3084,0.0026,23,0.44,5,0,,,
CWWDL_3211,38,298.0836,0.0239,44.7993,0.0266,0.242,0.001,-1.9099,0.0261,-3.7826,0.048,79.0555,0.0004,8.9437,0.0005,23,-0.4,8.42,10,-1.0779,39.6227,22.535
CWWDL_3218,54,71.712,0.0137,60.8728,0.003,0.2585,0.0014,0.5422,0.0671,-0.099,0.0305,147.9594,0.0048,10.0351,0.0015,25,-0.58,8.3,6,-23.002,10.7717,7.1957
CWWDL_3219,39,78.7781,0.0524,54.0973,0.0156,0.2774,0.0002,0.3513,0.2335,-1.4301,0.1241,155.7549,0.0321,8.9985,0.0023,16,-0.18,8.03,3,-38.4483,21.261,15.4516
CWWDL_3220,49,78.7759,0.1909,53.8087,0.1765,0.2396,0.0002,0.7609,0.2356,-1.0185,0.2057,155.9945,0.0417,8.8332,0.0022,29,0.35,5.48,12,-28.8305,20.9744,17.8769
CWWDL_3225,31,145.5837,0.0367,-38.4545,0.0499,0.2475,0.0003,-5.646,0.0217,4.32,0.0306,267.0667,0.0024,10.9112,0.0009,21,0.42,8.72,3,35.2933,8.3371,6.4058
CWWDL_3247,28,229.3594,0.0299,-21.0014,0.0341,0.2998,0.0012,-5.365,0.0294,-3.5335,0.0461,30.2968,0.0013,-21.0014,0.0011,9,0.07,7.88,0,,,
CWWDL_3252,838,11.8203,1.3699,85.2439,0.1155,0.5263,0.0018,-2.3216,0.0147,-1.012,0.018,22.3742,0.0133,85.2439,0.0133,636,0.44,8.6,88,-39.8485,9.0507,4.9782
CWWDL_3274,27,323.3701,0.0084,-0.8159,0.0167,0.5993,0.001,3.0935,0.3062,-2.2823,0.1163,-35.7719,0.0001,-0.8159,0.0003,22,-0.04,8.09,0,,,
CWWDL_3284,55,83.7659,0.0443,15.7161,0.0708,0.6896,0.0012,0.2378,0.0213,-2.3781,0.0193,190.0106,0.0056,-9.0171,0.0012,44,-0.88,7.52,4,20.118,20.9151,15.5215
CWWDL_3289,41,95.2706,0.0733,-3.4583,0.0846,0.7056,0.0005,-1.5304,0.0506,1.614,0.0237,212.5599,0.0079,-8.3273,0.0045,33,0.44,7.82,12,20.343,20.1752,15.2475
CWWDL_3295,27,106.6418,0.0441,-23.5132,0.0511,0.3402,0.0004,-2.4542,0.0215,4.445,0.0286,235.6272,0.0033,-7.359,0.0008,22,0.07,8,3,68.618,16.2596,12.516
CWWDL_3299,28,119.383,0.0447,-44.6524,0.0348,0.3596,0.0003,-2.6061,0.0103,5.9421,0.018,259.3944,0.0013,-8.0711,0.0009,23,0.35,7.85,7,31.812,25.1199,18.1471
CWWDL_3301,21,152.2593,0.0144,-64.8026,0.0011,0.2737,0.0002,-4.939,0.3262,3.3818,0.2638,286.7166,0.0035,-7.1755,0.0002,7,-0.88,8.3,1,-26.629,,0
CWWDL_3304,197,343.9825,0.2538,51.1851,0.1065,0.7001,0.0006,-4.651,0.0162,-4.9832,0.0216,105.1482,0.0263,-7.654,0.0107,175,0.44,7.97,69,-32.6105,8.8125,6.0864
CWWDL_3306,43,15.0519,0.1267,55.3637,0.0697,0.8033,0.0008,-4.4153,0.0196,-2.1201,0.0152,124.1885,0.0052,-7.4865,0.0047,35,-0.28,7.82,27,-36.1691,11.029,8.6211
CWWDL_3307,30,27.4712,0.0054,53.882,0.0014,0.3302,0.0004,-0.8177,0.0202,-1.5907,0.0274,131.5683,0.0015,-8.0068,0.0019,24,0.44,5.78,1,-97.287,,0
CWWDL_3309,21,90.1328,0.0032,9.063,0.0086,0.2867,0.0003,0.4601,0.0904,-0.9864,0.3495,198.9753,0.0117,-6.9954,0.0002,10,-0.58,8.39,1,26.42,,0
CWWDL_3311,22,101.7179,0.0055,-13.424,0.0254,0.2878,0.0001,-0.561,0.2299,1.2456,0.1409,224.4277,0.0308,-7.0714,0.0003,12,0.44,5.48,0,,,
CWWDL_3334,24,121.7015,0.0029,-43.4516,0.0031,0.2254,0.0001,-2.7505,0.2212,4.2658,0.2315,259.2331,0.0042,-6.0235,0.0005,9,-0.58,8.36,1,60.164,,0
CWWDL_3342,52,179.6019,0.1349,-68.6995,0.0351,0.743,0.0008,-8.955,0.013,-0.7125,0.0279,298.124,0.0023,-6.3242,0.0013,43,0.4,6.65,9,-11.427,27.5646,22.696
CWWDL_3343,25,179.1312,0.007,-69.2282,0.0005,0.2713,0.0003,-6.6848,0.0438,0.7963,0.0248,298.0689,0.001,-6.8766,0.0004,19,-0.28,8.12,4,-42.6603,1.0018,0.7528
CWWDL_3347,28,31.0831,0.0861,54.3599,0.0338,0.3557,0.0003,-2.2913,0.0224,-0.2468,0.0277,133.5111,0.0027,-7.0077,0.0009,21,0.42,5.48,0,,,
CWWDL_3349,20,62.9696,0.0051,42.7224,0.0016,0.5137,0.0004,3.134,0.0202,-2.224,0.0171,157.4815,0.0037,-6.3124,0.0007,19,-0.58,8.36,6,9.4002,5.7596,4.7832
CWWDL_3350,41,88.0628,0.0187,16.855,0.0575,0.2292,0.0001,0.4187,0.1877,-0.0011,0.1972,191.1636,0.074,-4.894,0.0012,26,-0.4,8.36,4,40.1103,6.3822,4.4851
CWWDL_3357,30,100.5108,0.0054,-5.9078,0.0334,0.2336,0.0001,-0.3056,0.2997,1.0417,0.1609,217.1338,0.0385,-4.7732,0.0006,13,0.4,7.88,4,75.9907,23.5126,17.8552
CWWDL_3380,22,107.7701,0.0013,-23.3694,0.0075,0.2545,0.0001,-0.9474,0.1871,2.2936,0.3911,235.9653,0.0083,-6.3692,0.0004,11,0.42,8.72,1,47.381,,0
CWWDL_3395,33,125.6528,0.0022,-45.6078,0.0024,0.315,0.0006,-3.1701,0.1226,3.9095,0.0819,262.5967,0.0029,-4.8547,0.0006,25,-0.88,8.33,5,41.475,20.6814,14.386
CWWDL_3398,30,125.1424,0.0042,-45.6978,0.0033,0.2276,0.0001,-3.0942,0.282,4.5057,0.4055,262.469,0.0046,-5.1999,0.0007,10,0.44,8.12,2,54.55,10.2403,7.241
CWWDL_3405,36,127.1444,0.0875,-47.8599,0.0946,0.2324,0.0001,-2.705,0.2117,3.5361,0.1495,265.0374,0.0118,-5.3092,0.0004,14,0.27,8.33,8,55.8343,27.8814,24.1626
CWWDL_3407,41,128.0073,0.0156,-47.7077,0.0129,0.2435,0.0003,-3.2613,0.3404,4.1234,0.2642,265.2534,0.0196,-4.7498,0.0006,25,0.44,8.06,5,53.4488,36.3774,26.927
CWWDL_3410,36,127.1887,0.0185,-47.8076,0.0075,0.2727,0.0002,-2.7269,0.1865,3.6187,0.2257,265.0119,0.0144,-5.2547,0.0016,16,-0.58,8.42,2,42.3645,33.9263,23.9895
CWWDL_3434,25,136.7063,0.0132,-54.4676,0.0092,0.2532,0.0001,-3.9363,0.211,3.9753,0.2748,273.9624,0.0133,-4.7606,0.0005,11,0.37,7.76,2,25.1955,11.4007,8.0615
CWWDL_3439,22,138.944,0.005,-55.8802,0.0021,0.2647,0.0003,-4.4754,0.2591,4.1258,0.3426,275.8735,0.0026,-4.7879,0.001,11,-0.58,8.24,2,43.1235,8.0646,5.7025
CWWDL_3447,21,136.3291,0.0096,-54.4447,0.0056,0.2511,0.0001,-3.7092,0.165,4.0037,0.1815,273.7981,0.0087,-4.9083,0.0003,11,-0.88,8.45,4,28.0623,19.2685,13.7186
CWWDL_3451,24,149.6702,0.0145,-60.8884,0.0023,0.2457,0.0003,-5.611,0.214,3.8938,0.1641,283.413,0.0054,-4.7432,0.0003,12,-0.88,8.48,2,12.977,73.8531,52.222
CWWDL_3452,22,150.6257,0.0025,-61.3484,0.0008,0.2811,0.0001,-5.1412,0.1709,3.8309,0.0875,284.0611,0.0008,-4.8296,0.0006,10,0.2,8.66,3,11.582,29.8288,21.7707
CWWDL_3456,46,155.7646,0.0426,-62.8102,0.0027,0.2282,0.0001,-5.5949,0.3953,3.326,0.2229,286.8799,0.0108,-4.6589,0.0009,18,-0.1,8.21,4,27.731,26.3317,19.9085
CWWDL_3466,45,222.9096,0.0844,-65.2877,0.0317,0.5212,0.0007,-3.3065,0.0335,-2.0062,0.0285,315.0684,0.0009,-5.2882,0.0013,36,-0.88,7.73,4,-10.5138,10.6904,7.4497
CWWDL_3478,33,27.9016,0.0115,56.9005,0.0007,0.2444,0.0004,-0.8461,0.1584,-0.4446,0.109,131.1112,0.0036,-5.0126,0.0006,21,-0.28,8,3,-74.0953,6.6174,4.4622
CWWDL_3479,28,24.4987,0.1138,56.5231,0.0347,0.2931,0.0005,-1.3148,0.0618,-0.6711,0.0235,129.354,0.0041,-5.767,0.0009,22,0.44,5.78,0,,,
CWWDL_3506,28,100.4051,0.0082,-4.7906,0.024,0.2666,0.0002,0.0675,0.0758,0.5662,0.2045,216.0863,0.0317,-4.3622,0.0006,17,-0.4,8.09,4,71.4462,16.0519,11.6409
CWWDL_3508,26,104.8082,0.0021,-12.3161,0.0126,0.2633,0.0001,-0.6924,0.3377,1.1973,0.1374,224.7883,0.0127,-3.8817,0.0019,12,-0.88,7.88,3,89.9063,11.7236,8.9469
CWWDL_3511,23,102.5469,0.0149,-7.0247,0.0359,0.2337,0.0001,-0.7156,0.1567,0.8044,0.1321,219.0495,0.05,-3.4733,0.0007,10,0.27,7.85,4,49.7447,40.2468,33.8778
CWWDL_3513,22,100.7992,0.0032,-5.1083,0.0126,0.2584,0.0001,-0.2226,0.2625,0.8834,0.0905,216.5486,0.0157,-4.1559,0.0002,10,-0.28,7.97,1,94.704,,0
CWWDL_3524,63,109.8579,0.0337,-21.4269,0.0361,0.3374,0.0009,-1.9406,0.0436,2.5442,0.0285,235.1206,0.0009,-3.7633,0.0013,52,0.07,7.01,1,56.692,,0
CWWDL_3525,45,109.9065,0.0579,-20.855,0.0637,0.4639,0.0004,-2.6351,0.0411,2.8964,0.0356,234.6346,0.0053,-3.457,0.0015,37,0.23,7.55,1,66.841,,0
CWWDL_3527,30,110.0439,0.0015,-21.3886,0.0022,0.2979,0.0005,-0.5854,0.0946,1.1461,0.0897,235.1674,0.0029,-3.5922,0.0005,14,0.42,7.73,1,95.507,,0
CWWDL_3541,33,114.8193,0.0013,-31.445,0.005,0.2659,0.0005,-2.2088,0.1497,2.9889,0.2326,246.0714,0.0051,-4.6192,0.0008,21,0.44,7.88,3,67.83,20.0563,15.2353
CWWDL_3568,29,121.6253,0.0086,-39.1407,0.0059,0.2629,0.0001,-2.4965,0.2328,3.2398,0.4075,255.5434,0.0103,-3.771,0.0008,17,0.44,7.76,4,43.856,4.8834,3.951
CWWDL_3574,26,115.6254,0.0486,-32.4154,0.0753,0.2467,0.0003,-2.128,0.1675,3.3482,0.2188,247.2561,0.0063,-4.4975,0.0008,20,-0.88,7.43,1,48.858,,0
CWWDL_3586,33,124.3399,0.0604,-42.5598,0.0493,0.6626,0.0004,-4.7868,0.0422,5.1112,0.0408,259.5373,0.0032,-3.9199,0.0011,26,0.07,6.26,1,38.629,,0
CWWDL_3595,44,128.6006,0.008,-47.8709,0.003,0.2355,0.0002,-3.2692,0.3415,3.8027,0.2715,265.622,0.0061,-4.5248,0.0005,15,0.4,7.79,2,57.4325,38.333,27.1055
CWWDL_3607,60,137.4308,0.013,-53.6531,0.0032,0.2641,0.0003,-4.0202,0.2036,3.8241,0.2999,273.6472,0.0068,-3.8972,0.001,15,-0.18,8.12,5,30.1518,15.5601,10.5026
CWWDL_3609,67,139.7277,0.0239,-54.4372,0.0056,0.2403,0.0002,-4.0226,0.4099,3.6975,0.2832,275.1481,0.013,-3.4616,0.0007,29,-0.28,8.15,4,16.817,8.7985,6.128
CWWDL_3610,58,138.0839,0.0411,-53.5481,0.0141,0.2978,0.0001,-4.318,0.2689,4.1352,0.2386,273.8349,0.0284,-3.5424,0.0003,18,-0.28,7.97,3,27.5037,5.4859,4.2038
CWWDL_3626,33,136.7884,0.0043,-54.1434,0.0018,0.2487,0.0006,-3.5012,0.2211,3.8161,0.3054,273.7536,0.0026,-4.5074,0.0006,16,-0.88,8.15,2,21.512,5.0728,3.587
CWWDL_3628,32,136.8295,0.0044,-53.4676,0.0016,0.2493,0.0004,-3.3391,0.094,3.3066,0.2084,273.2682,0.0029,-4.0351,0.0002,13,0.32,7.97,2,44.4775,8.4351,5.9645
CWWDL_3630,31,138.2439,0.0134,-53.8192,0.005,0.3069,0.0001,-4.3912,0.2047,4.2254,0.3147,274.0978,0.0092,-3.6591,0.0005,16,0.12,7.97,3,33.1117,30.3931,23.2964
CWWDL_3635,37,139.0309,0.0362,-54.518,0.0154,0.2623,0.0005,-4.5083,0.1599,4.049,0.2243,274.9231,0.0275,-3.8083,0.0002,21,0.32,7.76,4,22.432,23.9437,18.153
CWWDL_3636,30,138.0047,0.0081,-53.8825,0.0048,0.2438,0.0002,-3.7237,0.2771,3.8213,0.1007,274.0471,0.0056,-3.8052,0.002,13,0.42,7.88,3,34.49,28.0132,20.6413
CWWDL_3638,29,138.992,0.0135,-55.3031,0.0037,0.2435,0.0003,-4.4169,0.2204,3.9623,0.3705,275.4747,0.0079,-4.3686,0.0002,17,0.27,8.15,3,35.3693,24.2704,17.0229
CWWDL_3646,26,137.4278,0.0071,-53.1958,0.0064,0.2831,0.0003,-4.1271,0.1434,3.9574,0.2198,273.3094,0.0083,-3.5881,0.0006,10,0.44,6.83,2,28.216,14.1407,9.999
CWWDL_3651,24,137.703,0.0046,-54.4677,0.003,0.2275,0.0001,-4.3558,0.1405,4.3052,0.1216,274.3551,0.004,-4.3336,0.0006,10,-0.1,8,2,55.9185,24.8527,17.5735
CWWDL_3652,24,139.3745,0.009,-54.6386,0.0028,0.2383,0.0002,-4.3168,0.3098,3.588,0.2023,275.1489,0.0051,-3.7489,0.0008,12,-0.88,8.36,2,7.72,35.5505,25.138
CWWDL_3655,23,138.9461,0.007,-54.2937,0.0017,0.2455,0.0002,-3.5193,0.146,3.406,0.0766,274.727,0.0037,-3.688,0.0004,10,0.4,7.58,2,43.9765,59.9252,42.3735
CWWDL_3657,23,138.6487,0.0106,-53.8585,0.0075,0.2808,0.0004,-5.4984,0.0959,4.874,0.1709,274.2912,0.0108,-3.513,0.0005,8,-0.58,8.42,1,42.162,,0
CWWDL_3660,21,136.4734,0.006,-53.87,0.0016,0.2524,0.0002,-4.368,0.3803,4.2932,0.1167,273.4256,0.0036,-4.4616,0.0001,9,-0.58,8.15,2,28.667,3.1381,2.219
CWWDL_3671,37,137.2613,0.0057,-53.6221,0.0024,0.2382,0.0001,-3.6946,0.2429,3.8048,0.7417,273.5561,0.0037,-3.9501,0.0008,13,-0.88,8.36,2,60.3935,13.3763,9.4585
CWWDL_3733,47,247.1733,0.0847,-54.9555,0.0333,0.7161,0.0004,-0.0008,0.0241,-1.2733,0.0334,330.8179,0.0015,-4.3129,0.0019,45,0.37,7.37,10,-14.9035,14.8798,11.4302
CWWDL_3736,76,303.6972,0.062,28.3666,0.0832,0.6179,0.0007,-1.1054,0.0202,-4.6551,0.0432,67.4494,0.0073,-3.5506,0.0024,63,0.23,7.52,5,-11.3236,21.5677,16.8337
CWWDL_3744,28,33.2354,0.2378,57.542,0.0725,0.3897,0.0005,-0.7874,0.0363,-1.0782,0.0272,133.7234,0.0193,-3.6118,0.0015,25,0.02,6.04,0,,,
CWWDL_3753,33,59.8255,0.052,47.3877,0.0199,0.6245,0.0008,0.593,0.0188,-2.9688,0.013,152.6873,0.0008,-4.3368,0.0008,28,0.37,7.46,3,-23.338,19.3349,14.7973
CWWDL_3759,27,95.8665,0.048,8.3998,0.0679,0.4198,0.0004,1.3214,0.0431,-2.3367,0.0091,202.2661,0.0056,-2.3258,0.0011,23,0.4,7.46,2,18.1785,5.2729,3.7285
CWWDL_3775,45,98.2784,0.036,2.4617,0.0563,0.6313,0.0006,-2.3425,0.0124,-0.5036,0.0157,208.6473,0.0028,-2.9482,0.0016,38,0.42,5.78,3,-27.8207,18.8416,13.4729
CWWDL_3777,47,96.0698,0.0863,8.3008,0.1336,0.2776,0.0003,-0.0944,0.1615,-1.0238,0.2331,202.4477,0.024,-2.1942,0.0006,30,0.07,7.61,3,61.718,30.8868,23.0293
CWWDL_3813,31,109.538,0.044,-20.0497,0.0529,0.3107,0.0003,-1.9988,0.1915,3.3121,0.0663,233.7595,0.0036,-3.3879,0.0007,25,0.44,5.85,0,,,
CWWDL_3887,40,121.9753,0.2469,-36.8403,0.2749,0.3218,0.0001,-2.7069,0.3383,3.2197,0.2897,253.7498,0.1114,-2.3017,0.0006,21,-0.28,8.03,3,64.6963,20.3114,14.9736
CWWDL_3913,29,120.7582,0.0459,-35.0725,0.07,0.5008,0.0005,-1.3045,0.1803,1.2417,0.0708,251.7279,0.0054,-2.1866,0.0007,25,0.23,8.06,8,9.5815,3.1933,2.4316
CWWDL_4123,48,156.5629,0.06,-60.2035,0.0509,0.2685,0.0002,-5.1643,0.4011,2.7106,0.2456,285.8112,0.0011,-2.2501,0.0024,24,0.02,6.34,0,,,
CWWDL_4128,40,155.8654,0.0941,-61.1258,0.031,0.2501,0.0002,-5.4949,0.2882,2.9877,0.2048,286.0125,0.0022,-3.2128,0.0008,23,-0.88,8.33,1,-2.963,,0
