"Cluster","GLON","e_LON","GLAT","e_LAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logA","A0","_RA.icrs","_DE.icrs"
"CWNU_1176",216.7051,0.338,-27.3601,0.41,16,3.678,0.092,-0.115,3.723,0.666,0.79,7.85,0.3,79.5208,-15.1637
"CWNU_1177",201.6987,0.308,-11.7296,0.142,15,2.23,0.063,-2.463,0.115,-1.148,0.066,6.85,1.45,87.2726,4.4192
"CWNU_1178",247.4601,1.144,-42.9952,0.602,15,7.174,0.063,0.617,0.653,20.131,0.452,7.6,0.15,68.1185,-42.8371
"CWNU_1179",271.6768,0.24,-14.2213,0.45,18,4.436,0.094,-14.796,1.31,8.015,0.678,7.75,0.3,120.4256,-58.16
"CWNU_1180",319.2498,0.939,-23.4808,0.283,18,3.406,0.056,1.851,1.666,-14.3,0.538,7.95,0.45,272.5729,-74.8166
"CWNU_1181",226.1945,0.377,-7.4355,0.361,17,5.932,0.051,0.088,0.181,-5.769,0.398,7.45,0.05,102.1801,-15.1572
"CWNU_1182",348.4447,1.399,52.7454,0.876,15,4.992,0.173,-22.077,3.3,-10.635,2.605,9.35,0.1,218.4485,-0.8363
"CWNU_1183",72.4161,0.213,7.3283,0.201,17,2.107,0.047,1.325,0.662,-1.214,0.865,7.65,0.1,295.6693,38.2762
"CWNU_1184",198.0422,0.824,-4.6936,0.458,18,2.235,0.052,0.008,1.057,-4.571,1.087,7.9,0.3,91.7232,10.9885
"CWNU_1185",15.0617,0.255,-9.4662,0.182,19,1.539,0.016,-1.582,0.259,-5.981,0.339,7.95,0.9,283.3693,-20.1438
"CWNU_1186",47.1176,0.183,-10.0364,0.187,15,2.011,0.05,5.529,1.4,-0.155,2.185,9.3,0.45,298.3809,7.776
"CWNU_1187",85.2558,0.493,17.0648,0.286,16,2.201,0.039,1.075,0.484,-2.07,0.471,7.95,0.65,291.0254,53.8236
"CWNU_1188",29.5139,0.355,12.9636,0.48,18,2.383,0.034,0.058,0.464,-8.326,0.535,7.6,1.05,269.7722,2.8994
"CWNU_1189",104.3519,0.115,6.0932,0.27,16,1.029,0.058,-1.926,0.646,-3.017,0.33,6.75,0.05,329.4825,62.528
"CWNU_1190",158.7751,0.116,-1.252,0.129,22,0.868,0.05,-0.445,0.196,-1.735,0.123,6.7,0.85,69.2574,45.3415
"CWNU_1191",155.0397,0.526,4.9173,0.361,34,3.328,0.061,9.318,0.373,-16.979,0.31,8.45,1.75,72.6335,52.2019
"CWNU_1192",98.3062,0.122,7.2547,0.064,15,1.163,0.017,-2.502,0.103,-3.478,0.164,7.05,1.55,318.722,59.3332
"CWNU_1193",102.4276,0.905,19.723,0.214,16,5.677,0.064,6.92,0.475,10.887,0.327,7.25,0.3,299.9999,69.8149
