"name","ra","dec","lii","bii","cluster_radius","pm_ra","pm_dec","distance","e_bv","distance_modulus","log_age","log_age_error","metallicity","metallicity_error"
"ESO 245-09",28.43,-45.92,273.707,-67.514,"  0.370","   4.10","   2.10","    1380","  0.312"," 10.800","  9.055","  0.071",,
"DBSB 108",257.827,-45.9,342.122,-3.749,"  0.060","  -9.58","  -0.90","    1620","  1.249"," 11.450","  7.600",,,
"VDBH 197",251.625,-45.85,339.486,-0.328,"  0.085","  -5.53","  -1.88","    2069","  0.999"," 11.900","  8.940","  0.054",,
"FSR 1464",140.445,-45.76,269.317,2.983,"  0.115"," -11.38","   1.49","    2220","  0.833"," 12.000","  8.495","  0.234",,
"FSR 1574",176.175,-45.66,290.904,15.647,"  0.180","  -6.48","  -0.53","    1389","  0.271"," 10.801","  9.250",,,
"NGC 6178",248.947,-45.625,338.419,1.222,"  0.190","   0.38","  -3.60","    1011","  0.239"," 10.101","  7.510",,,
"FSR 1705",226.066,-45.55,325.955,11.301,"  0.070","  -2.55","  -7.91","    1582","  0.167"," 11.050","  9.400",,,
"ASCC 85",251.955,-45.49,339.91,-0.271,"  0.235","  -1.31","  -3.93","     806","  0.521","  9.699","  7.500",,,
"FSR 1434",131.37,-45.402,264.82,-1.514,"  0.170","  -7.33","   9.46","    1367","  0.625"," 10.880","  9.035","  0.028",,
"Ruprecht 156",124.89,-45.35,262.08,-5.151,"  0.100","  -7.08","   5.07","    2720","  0.396"," 12.300","  9.310","  0.048",,
"DBSB 174",252.045,-45.35,340.058,-0.229,"  0.050","  -4.29","  -3.77","    1710","  1.041"," 11.500","  7.400",,,
"ESO 265-01",165.232,-45.34,283.365,13.292,"  0.150","  -4.59","   0.06","    3162","  0.000"," 12.500","  9.350",,,
"DBSB 106",253.59,-45.298,340.79,-1.033,"  0.062","  -4.79","  -3.17","    3490","  1.509"," 13.200","  6.400",,,
"FSR 1757",274.26,-45.25,348.6,-13.306,"  0.100","  -0.29","  -1.58","    1397","  0.229"," 10.800","  8.660",,,
"ESO 252-14",78.99,-45.24,250.873,-35.265,"  0.120","   5.68","   3.91","    2180","  0.958"," 12.000","  8.655",,,
"Lynga 14",253.748,-45.24,340.905,-1.082,"  0.095","  -1.80","  -1.48","    1327","  1.197"," 11.000","  7.750",,,
"Moitinho 1",124.821,-45.208,261.935,-5.112,"  0.085","  -4.03","   5.48","    1146","  0.947"," 10.601","  8.635",,,
"NGC 3446",163.072,-45.125,281.865,12.817,"  0.205","  -9.02","   2.78","    2001","  0.291"," 11.600","  9.105","  0.039",,
"Pismis 12",140,-45.11,268.635,3.221,"  0.115","  -8.01","   4.38","    2221","  0.521"," 11.900","  9.205","  0.040",,
"NGC 2659",130.643,-44.985,264.175,-1.658,"  0.120","  -6.00","   5.30","    1713","  0.510"," 11.333","  7.360","  0.082",,
"MWSC 4178",216.907,-44.945,320.277,14.663,"  0.180","  -3.98","  -3.61","    3515","  0.219"," 12.800","  9.300",,,
"NGC 6249",254.4,-44.8,341.537,-1.167,"  0.190","  -0.80","  -4.80","    1113","  0.521"," 10.400","  8.090","  0.202",,
"NGC 6222",252.615,-44.73,340.792,-0.14,"  0.100","  -1.52","  -1.58","    3308","  1.249"," 13.000","  6.600",,,
"FSR 1415",130.095,-44.725,263.731,-1.805,"  0.120","  -6.16","   4.93","    3473","  1.978"," 13.340","  9.250",,,
"NGC 6216",252.338,-44.72,340.673,0.018,"  0.140","  -3.27","  -2.57","    3355","  1.156"," 13.000","  6.700",,,
"NGC 2220",95.22,-44.7,252.538,-23.881,"  0.125","  -1.28","   9.68","    1393","  0.562"," 10.901","  8.560","  0.055",,
"NGC 6259",255.225,-44.69,341.986,-1.559,"  0.170","  -1.87","  -5.27","    1855","  0.645"," 11.549","  8.475",,"   0.020","  0.090"
"FSR 1377",109.575,-44.67,256.147,-14.274,"  0.115","  -5.82","   4.57","    4640","  0.521"," 13.500","  8.845","  0.058",,
"ESO 261-07",141.15,-44.67,268.903,4.108,"  0.110"," -11.29","   5.56","    3360","  1.145"," 13.000","  9.000",,,
"VDBH 34",127.8,-44.505,262.574,-2.98,"  0.150","  -5.40","   4.64","     950","  0.029","  9.898","  8.480",,,
"Ruprecht 154",120.435,-44.423,259.584,-7.31,"  0.085","  -2.39","   7.15","    3160","  0.781"," 12.750","  7.150",,,
"VDBH 54",132.422,-44.367,264.483,-0.284,"  0.115","  -5.94","   9.90","    1239","  0.729"," 10.700","  7.500",,,
"FSR 1543",168.713,-44.33,285.279,15.206,"  0.165"," -10.28","   0.70","    2662","  0.229"," 12.200","  9.400",,,
"FSR 1430",132.968,-44.253,264.643,0.09,"  0.110"," -11.48","   6.06","    6737","  2.665"," 15.000","  8.500",,,
"VDBH 200",252.483,-44.205,341.135,0.269,"  0.115","  -5.43","  -1.32","    1633","  1.041"," 11.400","  7.500",,,
"ESO 281-24",279.998,-44.19,351.293,-16.617,"  0.110","  -3.02","  -4.43","    3830","  0.573"," 13.100","  8.945",,,
"FSR 1432",133.233,-44.185,264.712,0.28,"  0.100","  -4.94","   6.18","    1904","  1.249"," 11.800","  8.100",,,
"FSR 1412",129.32,-44.131,262.923,-1.884,"  0.115","  -3.83","   7.21","    2644","  1.208"," 12.500","  7.050",,,
"Ruprecht 81",146.299,-44.1,271.239,7.015,"  0.115","  -6.05","   2.24","    3009","  0.645"," 12.600","  8.980",,,
"Ruprecht 65",129.817,-44.07,263.091,-1.563,"  0.155","  -7.10","   3.50","     786","  0.071","  9.500","  8.820",,,
"FSR 1699",219.915,-44.07,322.671,14.615,"  0.155","  -4.54","  -2.65","    1953","  0.146"," 11.500","  9.600",,,
"Ruprecht 80",145.515,-44.02,270.758,6.706,"  0.110"," -16.43","   6.42","    2183","  0.393"," 11.822","  8.425",,"  -0.373","  0.100"
"NGC 6169",248.528,-44.016,339.404,2.529,"  0.110","   0.69","  -2.47","    1007","  0.729"," 10.250","  7.500",,,
"FSR 1418",131.915,-43.999,263.968,-0.334,"  0.140","  -6.67","   6.40","    1249","  0.521"," 10.650","  8.850","  0.033",,
"FSR 1442",135.701,-43.96,265.698,1.771,"  0.085"," -11.01","   9.60","    1186","  1.103"," 10.726","  9.190",,,
"FSR 1481",149.835,-43.908,273.104,8.773,"  0.155"," -12.95","   3.85","    4104","  0.416"," 13.200","  9.120","  0.026",,
"DBSB 27",131.662,-43.884,263.764,-0.403,"  0.065","  -4.51","   3.00","    2479","  1.332"," 12.400","  8.010","  0.002",,
"FSR 1411",128.595,-43.86,262.393,-2.138,"  0.200","  -3.67","   2.37","     912","  0.625"," 10.001","  7.500",,,
"FSR 1424",132.66,-43.832,264.178,0.188,"  0.100"," -13.10","   6.29","    1829","  1.208"," 11.700","  8.400",,,
"FSR 1435",134.273,-43.765,264.874,1.123,"  0.230","  -9.37","  12.58","    1296","  2.602"," 11.401","  6.000",,,
"ESO 277-04",250.1,-43.74,340.369,1.873,"  0.075","  -6.06","  -0.60","    1790","  1.166"," 11.639","  8.720",,,
"FSR 1634",193.613,-43.68,303.509,19.188,"  0.170","  -6.67","   2.65","    6310","  0.000"," 14.000","  9.300",,,
"Pismis 10",135.659,-43.636,265.435,1.963,"  0.085"," -11.89","   8.01","    8835","  1.457"," 15.200","  8.400",,,
"VDBH 37",128.947,-43.618,262.351,-1.789,"  0.120","  -2.14","   7.40","    5202","  1.457"," 14.050","  7.500",,,
"FSR 1635",193.737,-43.503,303.607,19.364,"  0.165","  -5.62","   0.09","    6271","  0.042"," 14.000","  9.300",,,
"Lynga 13",252.232,-43.428,341.615,0.906,"  0.075","  -6.77","  -1.59","    3412","  1.041"," 13.000","  9.200",,,
"DBSB 175",253.148,-43.396,342.064,0.415,"  0.060","  -2.69","  -2.03","    3798","  1.249"," 13.300","  6.000",,,
"Ruprecht 67",130.44,-43.395,262.832,-0.794,"  0.170"," -10.05","   3.20","    1342","  0.500"," 10.800","  8.600",,,
"NGC 6192",250.088,-43.36,340.648,2.131,"  0.235","   1.15","  -0.60","    1619","  0.635"," 11.251","  8.150",,"   0.120","  0.040"
"VDBH 56",134.28,-43.285,264.513,1.439,"  0.125","  -4.90","   6.97","     737","  0.198","  9.401","  7.300",,,
"NGC 3680",171.405,-43.235,286.759,16.925,"  0.190","  -5.21","   0.77","     946","  0.062","  9.900","  9.200",,"  -0.167","  0.080"
"FSR 1672",204.502,-43.18,311.88,18.881,"  0.155","  -9.79","   0.42","    3020","  0.000"," 12.400","  9.600",,,
"FSR 1511",159.99,-43.124,278.889,13.526,"  0.190","  -5.91","   1.89","    2473","  0.104"," 12.000","  9.415","  0.022",,
"MWSC 5604",47.453,-42.88,251.4,-57.903,"  0.200","   0.58","   3.72","    1437","  0.042"," 10.800","  9.200",,,
"FSR 1684",209.377,-42.87,315.615,18.369,"  0.160","  -7.22","  -2.16","    2733","  0.052"," 12.200","  9.400","  0.046",,
"ESO 311-14",117.35,-42.685,256.93,-8.363,"  0.140","  -1.12","   5.58","    1278","  0.208"," 10.600","  7.740",,,
"ESO 282-26",288.435,-42.63,355.027,-21.866,"  0.195","   1.17","   0.43","    1509","  0.333"," 11.001","  9.235",,,
"FSR 1421",134.523,-42.6,264.109,2.02,"  0.085","  -8.76","   9.08","    1268","  0.729"," 10.750","  8.300",,,
"DBSB 176",254.857,-42.575,343.487,-0.046,"  0.085","  -4.03","  -4.27","    7693","  1.770"," 15.000","  7.795","  0.072",,
"Trumpler 10",131.873,-42.4,262.704,0.647,"  0.390"," -12.00","   6.90","     417","  0.029","  8.110","  7.380",,,
"FSR 1744",252.885,-42.393,342.716,1.201,"  0.120","  -3.05","  -3.15","    1844","  0.999"," 11.650","  8.600",,,
"ESO 309-03",102.663,-42.383,251.961,-18.037,"  0.110","   0.07","  -0.35","    2057","  0.416"," 11.700","  9.050","  0.043",,
"FSR 1401",129.262,-42.365,261.489,-0.851,"  0.115","  -1.51","   3.55","    4178","  1.228"," 13.500","  6.750",,,
"FSR 1406",129.57,-42.35,261.615,-0.661,"  0.117","  -3.71","   8.10","    3208","  1.457"," 13.000","  6.900",,,
"MWSC 5744",305.085,-42.245,358.45,-33.764,"  0.115","   6.26","  -9.45","    1836","  0.250"," 11.400","  9.220",,,
"FSR 1475",148.643,-42.235,271.359,9.542,"  0.200","  -6.11","   0.44","    2662","  0.416"," 12.260","  9.150",,,
"ESO 334-02",264.237,-42.235,347.753,-5.513,"  0.110","  -7.00","  -1.60","    3210","  0.521"," 12.700","  9.200",,,
"MWSC 5665",92.61,-42.21,249.356,-25.065,"  0.140","  -0.85","   1.19","     934","  0.416","  9.985","  8.875",,,
"FSR 1734",244.772,-42.129,338.857,5.813,"  0.110","  -3.20","  -4.55","    3481","  0.750"," 12.950","  9.500",,,
"FSR 1773",283.308,-42.125,354.226,-18.121,"  0.135","   0.76","  -0.83","    1312","  0.344"," 10.700","  9.200",,,
"Teutsch 84",256.08,-42.07,344.44,-0.45,"  0.160","  -0.67","  -5.93","    3411","  1.353"," 13.100","  8.995","  0.016",,
"Teutsch 64",128.124,-41.995,260.688,-1.305,"  0.070","  -8.82","   5.74","    3112","  1.041"," 12.800","  8.720",,,
"ESO 324-15",200.865,-41.88,309.292,20.596,"  0.100","  -7.68","   1.71","    2818","  0.000"," 12.250","  9.700",,,
"SAI 88",123.242,-41.875,258.514,-4.219,"  0.075","  -3.95","   4.95","    5838","  1.145"," 14.200","  8.925",,,
"NGC 2671",131.553,-41.867,262.14,0.796,"  0.185","  -4.87","   2.47","    1309","  0.979"," 10.900","  8.530",,,
"MWSC 5215",206.512,-41.843,313.709,19.883,"  0.175","  -5.67","  -0.57","    3118","  0.406"," 12.600","  9.290","  0.032",,
"ESO 313-03",127.908,-41.787,260.425,-1.312,"  0.105","  -2.22","   4.67","    4269","  1.083"," 13.500","  8.600",,,
"DBSB 178",255.555,-41.785,344.428,0.033,"  0.170","  -1.29","  -0.96","    7506","  1.874"," 14.980","  7.955",,,
"SAI 90",127.023,-41.77,260.024,-1.836,"  0.105","  -3.79","   6.32","    3112","  1.041"," 12.800","  9.105","  0.032",,
"FSR 1683",208.659,-41.768,315.378,19.571,"  0.175","  -8.80","  -1.86","    3848","  0.229"," 13.000","  9.170",,,
"ASCC 50",132.593,-41.72,262.514,1.49,"  0.250","  -6.55","   4.91","     846","  0.229","  9.711","  7.800",,,
"Pismis 2",124.491,-41.67,258.861,-3.33,"  0.225","  -4.63","   6.78","    2754","  1.291"," 12.615","  9.055",,"  -0.070","  0.230"
"ESO 311-21",120.424,-41.583,257.138,-5.839,"  0.125","  -8.69","   6.28","    5118","  0.791"," 13.800","  9.300",,,
"ESO 312-03",126.12,-41.305,259.253,-2.118,"  0.115","  -5.56","   5.10","    2170","  0.521"," 11.850","  8.665","  0.052",,
"ESO 312-04",126.693,-41.238,259.447,-1.728,"  0.075","  -6.31","   7.61","    1963","  1.041"," 11.800","  8.300",,,
"FSR 1383",121.04,-41.218,257.069,-5.255,"  0.125","  -8.30","   6.01","    2434","  0.833"," 12.200","  9.120",,,
"FSR 1416",136.154,-41.126,263.801,3.905,"  0.105","  -5.01","   3.41","    1649","  0.666"," 11.301","  9.130",,,
"VDBH 211",255.546,-41.11,344.958,0.451,"  0.105","  -1.48","  -2.29","    1820","  1.072"," 11.645","  8.520",,,
"ESO 329-02",231.883,-41.05,332.075,12.825,"  0.095","  -6.52","  -1.75","    1546","  0.167"," 11.000","  9.300",,,
"ESO 335-05",274.05,-41.05,352.404,-11.342,"  0.090","  -3.02","  -6.96","    7562","  0.021"," 14.400","  9.200",,,
"FSR 1379",120.067,-40.898,256.41,-5.712,"  0.130","  -3.74","   6.64","    1951","  1.083"," 11.800","  7.450",,,
"ESO 332-22",256.853,-40.817,345.789,-0.156,"  0.180","  -3.72","  -2.69","    1422","  1.041"," 11.099","  7.995","  0.174",,
"VDBH 217",259.08,-40.81,346.789,-1.513,"  0.100","  -0.13","  -3.66","    1723","  1.301"," 11.600","  7.700",,,
"Ruprecht 124",262.005,-40.73,348.111,-3.293,"  0.120","  -1.77","  -1.88","    2186","  0.937"," 12.000","  8.250",,,
"FSR 1378",120.329,-40.675,256.322,-5.427,"  0.190","  -8.02","   9.11","    1562","  0.874"," 11.250","  8.000",,,
"NGC 6124",246.315,-40.65,340.733,6.028,"  0.455","  -0.50","  -2.65","     559","  0.656","  8.948","  8.285",,,
"ESO 332-13",254.166,-40.575,344.733,1.603,"  0.095","  -2.52","  -2.20","    2910","  0.562"," 12.500","  6.820","  0.037",,
"NGC 2849",139.846,-40.517,265.27,6.362,"  0.085","  -8.42","   9.32","    4800","  0.291"," 13.500","  9.095",,,
"MWSC 4146",165.188,-40.49,281.176,17.659,"  0.160","  -9.36","   4.08","    1419","  0.437"," 10.900","  9.100",,,
"Ruprecht 56",123.165,-40.485,257.318,-3.505,"  0.305","  -9.40","   4.80","     429","  0.121","  8.201","  8.745",,,
"Ruprecht 125",262.418,-40.45,348.518,-3.399,"  0.160","  -2.77","  -1.94","    1188","  0.083"," 10.401","  8.825",,,
"FSR 1397",129.255,-40.385,259.908,0.34,"  0.115","  -3.18","   2.83","    2068","  1.312"," 12.000","  7.780","  0.001",,
"ESO 313-12",130.964,-40.225,260.578,1.469,"  0.120","  -3.65","   4.72","    1401","  1.145"," 11.101","  8.500",,,
"FSR 1737",244.595,-40.22,340.115,7.263,"  0.090","   3.62","   0.98","    2136","  1.249"," 12.050","  9.500",,,
"Ruprecht 64",129.27,-40.185,259.755,0.47,"  0.450","  -6.15","   5.95","     619","  0.125","  8.999","  8.450",,,
"DBSB 115",254.812,-40.12,345.396,1.5,"  0.075","  -5.60","  -3.21","    2628","  1.249"," 12.500","  7.380",,,
"Trumpler 29",265.373,-40.12,350.01,-5.125,"  0.145","   0.60","  -3.84","    1096","  0.000"," 10.199","  8.685","  0.048",,
"FSR 1390",127.092,-40.083,258.684,-0.809,"  0.090","  -2.93","   4.00","    2397","  1.249"," 12.300","  8.300",,,
"FSR 1380",122.77,-39.965,256.716,-3.473,"  0.110","  -5.70","   5.91","    3112","  1.041"," 12.800","  8.990","  0.035",,
"MWSC 5704",286.087,-39.93,357.163,-19.336,"  0.110","  -0.44","  -2.18","    1604","  0.229"," 11.100","  9.370",,,
"FSR 1387",126.129,-39.905,258.111,-1.307,"  0.130","  -9.84","   4.21","    1258","  0.625"," 10.699","  9.020",,,
"FSR 1758",262.905,-39.84,349.234,-3.377,"  0.120","  -4.98","   4.71","    7086","  0.770"," 14.500","  9.200",,,
"NGC 6268",255.532,-39.715,346.055,1.313,"  0.185","   0.90","  -0.63","    1105","  0.416"," 10.351","  8.650","  0.042",,
"Teutsch 85",258.3,-39.66,347.376,-0.358,"  0.085","   0.77","   3.33","    1569","  2.863"," 11.899","  6.600",,,
"Saurer 2",126.36,-39.64,257.997,-1.009,"  0.080","  -6.62","   8.13","    6020","  1.249"," 14.300","  9.250",,,
"Pismis 5",129.416,-39.58,259.341,0.925,"  0.135","  -6.96","   4.25","     702","  0.833","  9.500","  7.300",,,
"VDBH 55",134.048,-39.51,261.523,3.754,"  0.140","  -5.28","   6.55","    3642","  2.155"," 13.500","  7.450",,,
"NGC 6318",259.046,-39.417,347.909,-0.683,"  0.110","   2.52","   0.42","    1841","  1.166"," 11.700","  7.800",,,
"FSR 1399",131.04,-39.365,259.939,2.048,"  0.125","  -4.38","   8.07","    3308","  1.249"," 13.000","  8.300",,,
"FSR 1736",241.98,-39.35,339.262,9.282,"  0.105","  -3.14","  -2.63","    7468","  0.416"," 14.500","  9.700",,,
"MWSC 4170",204.202,-39.185,312.454,22.846,"  0.220","  -3.94","  -0.52","    1548","  0.312"," 11.050","  9.380","  0.024",,
"DBSB 179",257.85,-39.179,347.56,0.206,"  0.115","  -3.40","  -3.78","    7908","  1.895"," 15.100","  7.380","  0.094",,
"FSR 1754",258.743,-39.085,348.042,-0.299,"  0.130","  -4.32","  -2.01","    1400","  1.457"," 11.200","  7.150",,,
"FSR 1746",252.675,-39.08,345.171,3.434,"  0.140","   2.82","  -0.19","    4103","  0.729"," 13.300","  9.300",,,
"ASCC 47",127.947,-39.055,258.24,0.328,"  0.280","  -8.00","   6.65","     780","  0.125","  9.501","  7.880",,,
"Trumpler 25",261.098,-39.017,349.146,-1.759,"  0.160","  -1.99","  -2.13","    1818","  0.937"," 11.599","  8.350",,,
"FSR 1750",255.525,-38.865,346.724,1.838,"  0.125","  -2.88","  -1.50","    1555","  0.750"," 11.200","  8.795","  0.007",,
"Havlen-Moffat 1",259.725,-38.817,348.703,-0.767,"  0.140","   0.08","   0.00","    4854","  1.770"," 14.000","  6.950",,,
"Pismis 7",130.3,-38.707,259.066,2.001,"  0.155","  -3.54","   8.67","    4783","  0.937"," 13.700","  8.705","  0.075",,
"Pismis 3",127.815,-38.658,257.859,0.48,"  0.205","  -4.80","  10.29","    1418","  1.187"," 11.140","  8.925","  0.030",,
"NGC 2477",118.035,-38.53,253.561,-5.842,"  0.450","  -0.50","   2.00","    1450","  0.291"," 10.901","  8.915","  0.007","  -0.192","  0.074"
"NGC 2451A",115.335,-38.52,252.504,-7.675,"  1.300"," -21.80","  15.13","     188","  0.000","  6.371","  7.760",,"  -0.531","  0.101"
"ESO 332-20",256.228,-38.317,347.494,1.735,"  0.110","   0.00","  -0.50","    1695","  0.791"," 11.400","  8.050",,,
"MWSC 4158",191.115,-38.31,301.427,24.541,"  0.195","  -6.57","  -3.57","    1616","  0.333"," 11.150","  9.020","  0.072",,
"VDBH 222",259.688,-38.295,349.114,-0.443,"  0.165","  -1.31","  -2.92","    7813","  1.666"," 15.000","  7.900",,,
"Ruprecht 152",118.627,-38.22,253.529,-5.285,"  0.090","   1.12","  10.78","    3629","  0.625"," 13.000","  9.285","  0.050",,
"ESO 314-14",139.878,-38.132,263.565,8.044,"  0.115","  -7.46","   6.98","    1870","  0.750"," 11.600","  8.650",,,
"Ruprecht 66",130.118,-38.055,258.462,2.286,"  0.125","  -6.37","   9.67","    3552","  0.770"," 13.000","  8.910","  0.043",,
"ASCC 49",131.963,-38,259.319,3.461,"  0.270","  -7.00","   3.40","     629","  0.021","  9.000","  7.895",,,
"NGC 6281",256.17,-37.98,347.734,1.976,"  0.320","  -2.96","  -3.75","     512","  0.192","  8.608","  8.500","  0.062","   0.000",
"FSR 1774",272.183,-37.94,354.552,-8.645,"  0.130","   2.72","  -0.99","    1935","  0.208"," 11.500","  9.000",,,
"Ruprecht 123",260.88,-37.925,349.952,-1.003,"  0.155","   0.65","  -2.00","     929","  0.187","  9.900","  8.100",,,
"FSR 1402",136.44,-37.875,261.515,6.236,"  0.195","  -7.51","  -0.78","    2889","  1.853"," 12.900","  7.395","  0.079",,
"DBSB 120",260.803,-37.758,350.056,-0.859,"  0.090","   2.76","  -0.47","    5483","  1.103"," 14.050","  6.000",,,
"ESO 313-11",130.929,-37.7,258.575,3.009,"  0.075","  -3.70","   5.59","    3010","  0.333"," 12.500","  9.500",,,
"Collinder 338",264.55,-37.7,351.732,-3.304,"  0.275","   1.24","  -2.87","     698","  0.250","  9.300","  8.050",,,
"NGC 2451B",116.115,-37.67,252.055,-6.726,"  0.410"," -10.10","   6.21","     489","  0.167","  8.500","  8.230",,"  -0.450",
"ASCC 48",128.662,-37.63,257.428,1.627,"  0.170"," -10.75","  10.43","     550","  0.000","  8.702","  9.185","  0.021",,
"ESO 337-23",289.825,-37.62,0.506,-21.336,"  0.100","   0.66","  -8.84","    1995","  0.312"," 11.600","  9.200",,,
"NGC 2546",122.963,-37.61,254.824,-2.06,"  0.565","  -5.21","   5.10","     935","  0.146","  9.901","  8.135","  0.072","   0.120","  0.130"
"Ruprecht 72",133.012,-37.61,259.541,4.351,"  0.100","  -3.89","   3.89","    2242","  0.146"," 11.800","  9.400",,,
"FSR 1782",279.57,-37.56,357.491,-13.738,"  0.140","  -4.22","  -1.40","    2650","  0.416"," 12.250","  9.175","  0.044",,
"Ruprecht 158",133.11,-37.555,259.548,4.446,"  0.125","  -1.30","   2.32","    2720","  0.396"," 12.300","  9.150",,,
"DC 3",111.75,-37.525,250.282,-9.71,"  0.100","  -1.61","   4.99","    4317","  0.541"," 13.350","  9.260",,,
"MWSC 4211",232.898,-37.49,334.875,15.256,"  0.240","  -8.27","  -3.97","    2361","  0.729"," 12.100","  8.820","  0.035",,
"ASCC 91",267.21,-37.37,353.117,-4.932,"  0.220","   2.00","  -4.20","     858","  0.104","  9.701","  8.650",,"  -0.035","  0.080"
"FSR 1720",227.873,-37.365,331.516,17.614,"  0.185","  -5.65","   0.28","    3066","  0.208"," 12.500","  9.330",,,
"Ruprecht 74",140.25,-37.117,263.037,8.963,"  0.075","  -5.43","   3.25","    3074","  0.812"," 12.700","  8.900",,,
"Pismis 1",124.575,-37.1,255.112,-0.711,"  0.075","  -3.59","   4.49","    5903","  0.583"," 14.043","  7.800",,,
"FSR 1451",146.903,-37.055,266.922,12.651,"  0.115","  -3.81","   3.59","    1470","  0.510"," 11.001","  8.500",,,
"Collinder 135",109.485,-37.035,249.023,-11.109,"  0.520","  -9.33","   5.26","     361","  0.042","  7.801","  7.600",,"  -0.219","  0.096"
"NGC 6400",265.05,-36.945,352.584,-3.24,"  0.190","  -1.04","  -2.70","     938","  0.198","  9.925","  8.875",,,
"FSR 1785",281.028,-36.942,358.553,-14.555,"  0.090","  -0.43","  -3.54","    4080","  0.146"," 13.100","  9.400",,,
"FSR 1465",151.447,-36.91,269.722,15.061,"  0.155","  -5.23","   4.85","    1703","  0.229"," 11.230","  9.310",,,
"Harvard 16",262.815,-36.805,351.739,-1.658,"  0.180","  -2.70","  -0.40","    1467","  0.833"," 11.100","  7.940","  0.081",,
"VDBH 214",256.418,-36.667,348.9,2.613,"  0.110","  -2.99","  -6.50","    1579","  0.645"," 11.200","  8.710","  0.137",,
"BDSB 165",262.32,-36.653,351.647,-1.243,"  0.055","   0.56","   1.49","    5147","  1.374"," 14.000","  6.000",,,
"FSR 1766",263.64,-36.65,352.229,-2.128,"  0.115","  -4.22","  -1.13","    3540","  1.103"," 13.100","  9.125","  0.019",,
"SAI 86",122.062,-36.59,253.577,-2.107,"  0.075","  -3.74","   0.42","    3022","  0.708"," 12.629","  8.650",,,
"FSR 1775",269.033,-36.565,354.551,-5.786,"  0.100","  -9.53","  -1.00","    8508","  0.468"," 14.800","  9.600",,,
"FSR 1431",143.782,-36.563,264.691,11.339,"  0.160","  -5.07","   1.59","    2343","  0.468"," 12.000","  9.080",,,
"BDSB 166",262.245,-36.562,351.69,-1.143,"  0.050","  -2.78","  -0.54","    6755","  1.093"," 14.500","  6.000",,,
"MWSC 4210",231.96,-36.52,334.84,16.481,"  0.205","  -4.59","  -4.31","    2432","  0.375"," 12.050","  9.080",,,
"FSR 1467",151.935,-36.493,269.781,15.63,"  0.195"," -10.01","   2.37","    1606","  0.375"," 11.149","  9.000","  0.048",,
"AH03 J0822-36.4",125.535,-36.405,254.975,0.316,"  0.140","  -3.26","   9.73","    1634","  0.416"," 11.200","  8.915",,,
"FSR 1361",117.668,-36.39,251.557,-5.015,"  0.110","  -1.92","   6.58","    2234","  0.791"," 12.000","  8.490","  0.062",,
"NGC 1963",83.04,-36.38,240.973,-30.891,"  0.170","  -0.70","  -1.05","    1703","  0.760"," 11.401","  8.125",,,
"BDSB 164",261.382,-36.366,351.467,-0.457,"  0.075","  -2.39","   0.40","    3135","  1.145"," 12.850","  6.000",,,
"MWSC 5273",226.767,-36.361,331.287,18.934,"  0.165","  -9.56","  -5.26","    1599","  0.250"," 11.100","  9.445","  0.033",,
"FSR 1767",263.925,-36.355,352.601,-2.162,"  0.115","   0.97","  -3.57","    1948","  1.405"," 11.900","  8.675",,,
"MWSC 5116",174.773,-36.34,287.008,24.285,"  0.180","  -9.94","   5.21","    1622","  0.156"," 11.100","  9.515",,,
"Collinder 185",125.835,-36.33,255.052,0.557,"  0.130","  -5.61","   4.01","    1477","  0.250"," 10.927","  8.180",,,
"MWSC 5708",287.993,-36.315,1.307,-19.524,"  0.100","   2.66","  -3.81","    1844","  0.687"," 11.550","  8.575",,,
"Ruprecht 127",264.468,-36.304,352.879,-2.504,"  0.090","  -0.92","  -2.09","    1435","  1.135"," 11.149","  7.550",,,
"ESO 370-17",127.966,-36.197,255.944,2.032,"  0.110","  -4.86","   5.42","    2695","  0.458"," 12.300","  9.000",,,
"ESO 389-05",239.452,-36.195,339.917,12.96,"  0.112","  -3.85","  -5.40","    4785","  0.312"," 13.500","  9.550",,,
"FSR 1365",119.937,-36.19,252.327,-3.343,"  0.160","  -5.21","   5.49","    1884","  0.697"," 11.600","  9.010","  0.048",,
"FSR 1776",268.5,-36.145,354.702,-5.205,"  0.105","  -9.45","  -3.47","    8923","  0.458"," 14.900","  9.500",,,
"Teutsch 50",121.79,-36.073,253.023,-2.013,"  0.090"," -10.48","   3.21","    3254","  0.833"," 12.830","  9.480",,,
"FSR 1417",143.093,-35.98,263.87,11.378,"  0.115"," -10.42","   0.14","    2210","  0.833"," 11.990","  8.510",,,
"Ruprecht 68",131.148,-35.885,257.254,4.269,"  0.140","  -8.19","   8.66","    2181","  0.333"," 11.800","  9.350","  0.028",,
"MWSC 5706",287.408,-35.86,1.588,-18.924,"  0.140","   0.15","  -0.57","    1558","  0.427"," 11.100","  8.990","  0.035",,
"IC 1023",218.085,-35.82,324.932,22.704,"  0.135","   2.48","  -0.34","    1298","  0.104"," 10.600","  9.480","  0.001",,
"MWSC 5713",291.382,-35.82,2.767,-21.951,"  0.095","  -2.91","  -6.60","    2265","  0.541"," 11.950","  9.115","  0.059",,
"FSR 1382",130.732,-35.785,256.967,4.066,"  0.115","  -5.73","   4.97","    1811","  0.500"," 11.450","  9.100","  0.048",,
"Ivanov 8",124.791,-35.65,254.012,0.249,"  0.100","  -3.00","   4.02","    1194","  0.479"," 10.539","  7.800",,,
