id,ra,dec,plx,sig_plx,pmRA,sig_pmRA,pmDE,sig_pmDE,rsc,m_M,E(V-I),Z,t,f_bin,f_rot
"LISC3301",282.64,9.792,0.647,0.641,-0.283,0.008,-4.217,0.013,0.305,10.87,0.58,0.02,0.3,0.53,0
"LISC3315",126.624,-50.693,0.891,0.884,-5.038,0.076,6.2,0.026,0.586,9.97,0.51,0.008,0.2,0.55,0
"LISC3316",173.08,-68.061,0.687,0.724,-8.836,0.058,0.774,0.071,0.349,9.62,0.25,0.004,0.7,0.49,0
"LISC3355",249.7,-44.785,0.715,0.722,-0.797,0.024,-2.729,0.135,0.307,9.45,0.53,0.004,0.9,0.39,0
"LISC3356",274.773,-15.743,0.728,0.744,-0.793,0.205,-1.16,0.424,0.301,10,0.5,0.008,0.3,0.47,0
"LISC3392",104.419,-21.397,1.21,1.21,-3.435,0.023,3.272,0.074,0.754,8.36,0.13,0.0001,0.1,0.54,0
"LISC3404",288.875,-4.187,0.903,0.905,-0.565,0.056,-4.993,0.236,0.424,9.8,0.66,0.01,0.2,0.52,0
"LISC3420",348.112,57.467,0.914,0.854,0.205,0.394,-1.339,0.51,0.559,9.91,0.87,0.01,0.1,0.43,0
"LISC3479",79.233,41.735,1.029,1.057,2.505,0.033,-4.716,0.09,0.525,9.9,0.33,0.008,0.2,0.42,0
"LISC3483",245.282,-40.793,0.924,0.887,-2.877,0.158,-3.312,0.069,0.427,10.08,0.98,0.01,0.1,0.55,0
"LISC3530",277.339,-34.579,1.954,1.961,1.204,0.03,-8.724,0.169,0.724,7.9,0.2,0.004,0.2,0.33,0
"LISC3534",11.941,50.253,2.18,2.173,7.408,0.129,-3.078,0.295,0.723,8.07,0.22,0.008,,0.42,0
