"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","adeg","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","age","e_age","AG","Z","RV","s_RV","N","o_RV","_RA.icrs","_DE.icrs"
"OC-0119",306.825392,0.061281,39.62015,0.027161,78.188466,0.039921,0.705552,0.037049,0.05446388,0.572078,0.020521,-2.594159,0.336958,-5.000583,0.27085,6,0.14,3.64,0.017,"            ","            ",16,0,306.82540697,39.62017222
"OC-0120",307.20304,0.028459,39.604204,0.045722,78.345278,0.044129,0.459975,0.02498,0.05070867,0.520811,0.016256,-3.473278,0.340562,-5.33995,0.192456,8.8,0.2,1.98,0.026,-10.521811,"            ",15,1,307.20306004,39.60422773
"OC-0121",306.346603,0.044091,40.218106,0.019087,78.462948,0.02345,1.351356,0.030798,0.03870942,0.588706,0.025394,-3.169127,0.163729,-4.331736,0.226786,6.6,0.15,4.04,0.019,"            ","            ",19,0,306.34662145,40.21812525
"OC-0122",305.467455,0.047596,40.693268,0.039975,78.468748,0.045503,2.171869,0.028862,0.05388449,0.568846,0.022568,-3.217733,0.214504,-5.359748,0.238638,6.9,0.16,3.66,0.017,"            ","            ",27,0,305.46747386,40.69329182
"OC-0123",306.321309,0.039724,40.793175,0.036718,78.921621,0.037625,1.698978,0.028953,0.04747543,0.55072,0.026176,-3.005051,0.175944,-4.827661,0.318644,7.1,0.16,3.06,0.028,"            ","            ",27,0,306.32132664,40.79319646
"OC-0124",306.448306,0.081879,40.911128,0.044599,79.073483,0.043837,1.688679,0.062437,0.07628933,0.545639,0.026488,-3.017469,0.222909,-4.558161,0.439897,7.2,0.17,1.54,0.028,"            ","            ",53,0,306.44832375,40.91114826
"OC-0125",310.775681,0.077693,38.436999,0.039659,79.081267,0.048784,-2.459516,0.053854,0.07266452,0.345934,0.009058,-2.767284,0.221788,-4.302596,0.11571,7.5,0.17,3.92,0.019,"            ","            ",33,0,310.7756967,38.43701812
"OC-0126",304.466279,0.054492,42.149918,0.04587,79.248835,0.043101,3.613526,0.04343,0.0611871,0.593533,0.014574,-1.668062,0.079948,-3.153291,0.148758,8.9,0.2,4.04,0.022,-25.62538,3.856921,18,2,304.466289,42.14993201
"OC-0127",304.172364,0.106391,42.855898,0.07552,79.715243,0.092634,4.187017,0.057026,0.1087797,0.489925,0.005943,-2.939357,0.158353,-4.535336,0.251385,7.9,0.18,3.66,0.028,"            ","            ",16,0,304.17238182,42.85591816
"OC-0128",308.028703,0.203696,40.857381,0.167924,79.72954,0.157404,0.688533,0.164835,0.22791796,0.579858,0.032124,-2.834972,0.303404,-4.526336,0.372458,6,0.14,3.2,0.028,-1.178055,"            ",367,1,308.02871966,40.85740112
"OC-0129",307.968834,0.110573,41.511647,0.05559,80.230007,0.059408,1.112238,0.080101,0.09972703,0.580366,0.026716,-2.554429,0.321886,-4.036023,0.334874,6.6,0.15,0.78,0.016,"            ","            ",86,0,307.96884916,41.51166494
"OC-0130",306.58537,0.074165,42.620517,0.023402,80.528104,0.033819,2.59395,0.048828,0.05939611,0.523292,0.017518,-3.089704,0.238324,-4.354948,0.395908,7.4,0.17,1.86,0.028,"            ","            ",16,0,306.58538866,42.62053636
"OC-0131",309.601325,0.105468,42.471177,0.058501,81.725456,0.036722,0.715984,0.090137,0.09733028,0.638629,0.029132,-2.413535,0.225814,-3.333542,0.25785,6,0.14,2.64,0.028,"            ","            ",35,0,309.60133954,42.47119182
"OC-0132",310.00075,0.054354,42.968387,0.021564,82.298561,0.032397,0.785773,0.031584,0.04524505,0.625841,0.037903,-2.56053,0.205371,-3.792046,0.371722,6,0.14,4.04,0.016,"            ","            ",19,0,310.00076555,42.96840385
"OC-0133",307.39696,0.049882,44.636154,0.033688,82.511776,0.038845,3.289045,0.029847,0.04898752,0.438925,0.018445,-2.07708,0.093089,-2.811241,0.076569,7.2,0.17,4.04,0.019,"            ","            ",39,0,307.39697297,44.63616649
"OC-0134",311.205495,0.023774,43.897987,0.032098,83.569831,0.028021,0.669265,0.023211,0.03638581,0.377114,0.012422,-3.336783,0.094045,-3.922093,0.23197,6,0.14,2.36,0.028,"            ","            ",15,0,311.20551558,43.89800443
"OC-0135",310.348878,0.061206,46.124611,0.030775,84.948419,0.029701,2.520103,0.043202,0.05242673,0.407856,0.013494,-2.231934,0.112745,-4.484368,0.10933,7.3,0.17,3.24,0.028,-31.158543,"            ",41,1,310.34889231,46.12463093
"OC-0136",314.577111,0.034548,43.887023,0.016975,85.110198,0.024593,-1.20967,0.017426,0.03014102,1.269972,0.101372,-0.663315,0.333993,-3.072522,0.279063,6,0.14,2.42,0.028,-28.21167,"            ",17,1,314.57711509,43.88703666
"OC-0137",318.48225,0.045007,41.924224,0.067495,85.573919,0.064692,-4.64707,0.038976,0.07552604,0.527868,0.015972,-3.47452,0.213997,-4.710336,0.244564,8.5,0.2,3.66,0.025,-13.655186,"            ",17,1,318.48227075,41.92424493
"OC-0138",314.185209,0.048689,46.912038,0.054575,87.226207,0.041434,0.969654,0.048666,0.06391522,0.246395,0.001939,-2.843343,0.095048,-4.86819,0.076099,8.5,0.2,2.46,0.028,"            ","            ",23,0,314.1852275,46.91205964
"OC-0139",317.600707,0.039174,45.59186,0.020936,87.813705,0.025668,-1.671145,0.023055,0.03450187,0.152423,0.018228,-3.095018,0.057595,-3.43711,0.05756,6.7,0.15,1.36,0.024,"            ","            ",38,0,317.60072666,45.59187528
"OC-0140",317.866185,0.07168,46.859334,0.066988,88.865137,0.066944,-0.939486,0.049096,0.08301757,1.366671,0.078302,0.383701,0.379555,-3.042502,0.412464,7,0.16,2.3,0.028,14.368977,"            ",17,1,317.86618251,46.85934752
"OC-0141",318.036545,0.044972,47.768367,0.029534,89.606359,0.035509,-0.400664,0.022912,0.0422593,0.318634,0.009831,-4.5975,0.165089,-5.630047,0.106914,8.4,0.19,3.62,0.028,-42.408375,"            ",26,1,318.0365754,47.76839202
"OC-0142",322.545378,0.036389,45.548671,0.056144,90.224793,0.048186,-4.15754,0.038627,0.06175707,0.61537,0.020737,-3.26164,0.241681,-4.564438,0.187196,8.2,0.19,2.38,0.024,-13.630564,"            ",15,1,322.5453987,45.54869129
"OC-0143",319.655452,0.057141,49.082463,0.035632,91.298026,0.035323,-0.262576,0.03772,0.051677,0.40939,0.011634,-3.671711,0.158467,-4.161412,0.2158,8.4,0.19,1.22,0.025,-51.93482,"            ",16,1,319.65547692,49.0824815
"OC-0144",317.008222,0.071516,50.974543,0.051856,91.498283,0.040915,2.27321,0.055181,0.06869483,0.434455,0.010211,0.285174,0.131489,-2.610811,0.163509,9.8,0.23,2.7,0.021,"            ","            ",16,0,317.00821999,50.9745546
"OC-0145",318.6166,0.052574,50.421374,0.038436,91.791217,0.036742,1.15159,0.035353,0.05098832,0.347655,0.019476,-4.51492,0.185039,-4.82637,0.131371,8.3,0.19,3.86,0.028,"            ","            ",31,0,318.61663149,50.42139545
"OC-0146",317.643873,0.077473,51.682181,0.052942,92.288197,0.057186,2.461843,0.042981,0.07153744,0.387268,0.028368,-2.434528,0.131534,-2.496112,0.136473,9.8,0.23,1.18,0.028,-32.911322,1.804051,56,2,317.64389045,51.68219209
"OC-0147",320.971172,0.048867,49.923106,0.024034,92.496618,0.022201,-0.271342,0.032783,0.03959305,0.319752,0.011119,-4.111509,0.091618,-5.14839,0.056538,6.8,0.16,3.32,0.028,"            ","            ",18,0,320.97120038,49.92312888
"OC-0148",321.910841,0.079051,49.686763,0.045785,92.767805,0.049057,-0.863024,0.048017,0.06864562,0.378858,0.021966,-3.931977,0.121825,-4.978841,0.111824,7,0.16,4.04,0.028,-25.779243,"            ",116,1,321.91086801,49.68678513
"OC-0149",316.721571,0.093225,53.012003,0.038659,92.88667,0.048171,3.776638,0.048274,0.06819695,0.559514,0.026976,-2.274743,0.183727,-2.235404,0.108514,6,0.14,2.54,0.016,"            ","            ",30,0,316.7215878,53.01201294
"OC-0150",321.549525,0.086425,52.708824,0.049196,94.698948,0.049846,1.472652,0.051766,0.07186336,0.512561,0.038212,-3.166913,0.150373,-3.77667,0.145336,8.6,0.2,3.62,0.016,-11.670698,3.494844,124,7,321.54954823,52.70884079
"OC-0151",330.821522,0.071199,46.429314,0.0536,95.208893,0.036707,-7.193393,0.062884,0.07281347,0.316171,0.008598,-3.369672,0.300473,-4.761615,0.40489,9.4,0.22,2.08,0.028,"            ","            ",16,0,330.82154373,46.42933516
"OC-0152",322.755292,0.044926,52.83906,0.019833,95.317514,0.017504,1.064489,0.028698,0.03361496,0.334405,0.017528,-2.879572,0.176128,-3.125636,0.181902,6.8,0.16,3.24,0.016,"            ","            ",26,0,322.75531319,52.83907389
"OC-0153",317.104667,0.106083,56.423936,0.065253,95.570216,0.050883,5.907594,0.0717,0.08792025,0.62735,0.037434,-2.886879,0.166951,-3.96343,0.217604,7.8,0.18,1.6,0.025,-31.289146,"            ",27,1,317.1046902,56.42395362
"OC-0154",339.030218,0.185061,40.047373,0.08614,96.63997,0.128499,-15.816768,0.110421,0.16942488,2.040266,0.065573,-2.022143,0.260988,-4.405183,0.356076,7,0.16,0.76,0.018,-6.320306,"            ",46,1,339.03022974,40.04739258
"OC-0155",338.664939,0.084905,40.681194,0.080767,96.732322,0.055886,-15.130421,0.088093,0.1043246,1.99817,0.065708,-2.430046,0.230483,-3.618305,0.204345,6.6,0.15,3.78,0.016,-8.605769,"            ",26,1,338.66495324,40.68121008
"OC-0156",330.048801,0.115442,49.745404,0.061241,96.806567,0.066266,-4.237702,0.07033,0.0966307,0.225907,0.002426,-2.217129,0.248636,-2.098157,0.252655,9.3,0.21,2.72,0.026,"            ","            ",15,0,330.04881625,49.74541333
"OC-0157",325.977493,0.040569,53.727018,0.036484,97.345384,0.027589,0.442404,0.033854,0.04367203,0.324464,0.017946,-4.074457,0.144087,-4.120136,0.113201,7,0.16,0.58,0.027,"            ","            ",36,0,325.97752361,53.72703631
"OC-0158",318.682667,0.114282,59.321386,0.055646,98.283677,0.069087,7.26122,0.042416,0.08106868,1.153551,0.03858,-2.613973,0.465665,-3.543467,0.381562,7.1,0.16,1.74,0.027,"            ","            ",16,0,318.68268977,59.32140175
"OC-0159",324.14543,0.09152,56.923676,0.036427,98.672094,0.047803,3.531973,0.039321,0.06189724,0.37476,0.012408,-2.723082,0.26628,-3.073628,0.423353,9,0.21,0.84,0.026,"            ","            ",17,0,324.14545218,56.92368966
"OC-0160",322.286803,0.058184,58.72057,0.03729,99.170746,0.024869,5.522102,0.041117,0.04805283,1.079411,0.037688,-2.239393,0.373853,-3.960279,0.383727,7,0.16,3.36,0.016,"            ","            ",16,0,322.28682217,58.7205876
"OC-0161",330.259639,0.07644,54.332362,0.023562,99.684694,0.038669,-0.661271,0.032359,0.05042218,0.318795,0.010325,-3.226424,0.342522,-3.257197,0.2952,8.1,0.19,2.9,0.025,-56.52972,"            ",15,1,330.25966359,54.33237648
"OC-0162",332.756444,0.058067,52.934247,0.037275,100.059701,0.034395,-2.662558,0.037866,0.05115516,0.316598,0.006971,-3.921182,0.119415,-3.249962,0.122144,6.8,0.16,1.22,0.028,"            ","            ",16,0,332.75647291,52.93426144
"OC-0163",332.760354,0.068133,52.940702,0.085533,100.065351,0.05468,-2.658626,0.077571,0.09490607,0.286442,0.00224,-3.825354,0.095833,-3.325579,0.11571,7.2,0.17,2.62,0.023,"            ","            ",16,0,332.76038221,52.94071678
"OC-0164",326.520201,0.063141,57.705233,0.118014,100.154663,0.086959,3.27742,0.086766,0.1228422,1.070125,0.045406,-1.488921,0.274074,-3.294794,0.463222,6.8,0.16,2.74,0.027,-16.5299,"            ",26,1,326.52021339,57.70524764
"OC-0165",332.997628,0.066439,53.918618,0.03908,100.741491,0.034294,-1.937602,0.043403,0.05531635,0.904095,0.019866,-1.776469,0.207665,-2.427639,0.19954,8.5,0.2,3.38,0.027,"            ","            ",15,0,332.99764141,53.91862879
"OC-0166",333.799235,0.056692,54.335049,0.032679,101.364766,0.031515,-1.860126,0.034184,0.04649453,0.31583,0.012672,-3.937824,0.079684,-3.299815,0.088018,8.6,0.2,3.06,0.017,"            ","            ",37,0,333.79926502,54.33506367
"OC-0167",332.610369,0.040014,55.393014,0.019064,101.402698,0.022077,-0.600807,0.019815,0.02966527,0.156268,0.008528,-1.850788,0.032479,-2.089248,0.042903,7.3,0.17,0,0.028,"            ","            ",23,0,332.61038348,55.39302329
"OC-0168",331.132475,0.055536,56.971667,0.037657,101.656445,0.032751,1.161002,0.035525,0.04831825,0.108258,0.008353,-2.414496,0.077374,-1.766446,0.056528,7.3,0.17,1.5,0.028,-75.422213,5.648755,24,2,331.13249469,56.97167485
"OC-0169",334.51758,0.069698,54.999229,0.031297,102.079939,0.037936,-1.53967,0.033759,0.05078199,0.327032,0.007983,-3.614905,0.319621,-3.141976,0.239181,8.6,0.2,1.84,0.016,"            ","            ",16,0,334.51760801,54.99924296
"OC-0170",333.879234,0.072925,56.228886,0.040731,102.464126,0.044994,-0.317194,0.035748,0.05746633,0.397377,0.013678,-2.088455,0.099136,-1.565318,0.063406,8.5,0.2,0.8,0.028,"            ","            ",30,0,333.8792507,56.22889296
"OC-0171",333.03125,0.133605,57.270754,0.103403,102.669226,0.061485,0.805104,0.110141,0.12614058,0.280237,0.003539,-3.811956,0.098316,-3.088492,0.0876,7,0.16,1.3,0.019,"            ","            ",44,0,333.03128134,57.27076773
"OC-0172",333.071336,0.119256,57.266931,0.042229,102.684788,0.053423,0.789643,0.055582,0.07709329,0.316174,0.009653,-3.756537,0.101658,-3.096596,0.089552,7.1,0.16,2.4,0.028,-57.124775,"            ",28,1,333.07136688,57.26694476
"OC-0173",333.10323,0.146396,57.300048,0.082173,102.717782,0.09055,0.807108,0.069287,0.1140175,0.269018,0.002034,-3.854063,0.094209,-3.143036,0.043782,6.9,0.16,3.8,0.027,"            ","            ",17,0,333.10326171,57.30006197
"OC-0174",337.719067,0.056344,53.954912,0.025049,103.09847,0.030212,-3.41428,0.028581,0.04158892,0.1817,0.010709,-3.067716,0.057272,-2.362988,0.072286,6.9,0.16,1.32,0.028,"            ","            ",28,0,337.71909017,53.9549225
"OC-0175",334.751661,0.092448,57.42958,0.036918,103.527186,0.052813,0.417234,0.032418,0.06196886,0.325261,0.012734,-4.408806,0.100823,-3.560505,0.104668,8.8,0.2,3.02,0.02,-75.14574,"            ",28,1,334.7516974,57.42959582
"OC-0176",340.670947,0.042215,52.387785,0.041569,103.862929,0.031428,-5.651334,0.037605,0.04900873,0.31623,0.01168,-1.305668,0.151928,-3.177667,0.128434,9.6,0.22,2.82,0.016,"            ","            ",16,0,340.67095651,52.38779912
"OC-0177",335.052318,0.062798,58.127756,0.027962,104.043592,0.032565,0.91371,0.028645,0.04337067,0.314886,0.008922,-3.859148,0.112319,-2.92626,0.084069,7.5,0.17,3.02,0.022,"            ","            ",28,0,335.05235048,58.12776901
"OC-0178",338.275383,0.130055,56.519927,0.059411,104.679019,0.067508,-1.368175,0.064208,0.0931665,0.23511,0.003045,-3.344205,0.07172,-2.647735,0.052383,7.5,0.17,2.02,0.02,"            ","            ",17,0,338.27540994,56.51993877
"OC-0179",338.369256,0.08849,56.560921,0.030547,104.744391,0.042717,-1.358938,0.038572,0.05755468,0.322544,0.007742,-3.325344,0.19019,-2.621394,0.161171,7.2,0.17,1,0.016,"            ","            ",20,0,338.36928282,56.56093265
"OC-0180",331.277354,0.104632,62.240366,0.07132,104.843669,0.053497,5.361463,0.068012,0.08653069,1.067,0.045865,-1.53716,0.401915,-2.745488,0.356019,6.7,0.15,2.42,0.028,20.159824,"            ",30,1,331.27736867,62.2403782
"OC-0181",334.125395,0.088787,60.856152,0.061046,105.157265,0.04515,3.448854,0.059693,0.07484502,1.127329,0.066475,-0.654132,0.506332,-2.9108,0.439077,6.2,0.14,0.56,0.019,"            ","            ",37,0,334.12540097,60.85616494
"OC-0182",337.052466,0.097121,59.119983,0.067729,105.453824,0.057333,1.197656,0.061539,0.0841078,0.277495,0.005382,-3.33932,0.095675,-2.382989,0.065572,7.7,0.18,3.18,0.022,"            ","            ",54,0,337.05249492,59.11999359
"OC-0183",337.091285,0.091328,59.145162,0.044225,105.483952,0.043998,1.208776,0.047071,0.06443216,0.318908,0.010447,-3.342087,0.077474,-2.388445,0.101237,6.1,0.14,2.06,0.028,"            ","            ",31,0,337.09131396,59.14517262
"OC-0184",334.720116,0.090599,61.609993,0.032316,105.814739,0.038336,3.917561,0.037904,0.05391069,1.164792,0.054501,-0.945486,0.393557,-2.446191,0.325935,6.1,0.14,1,0.016,-14.460003,"            ",24,1,334.72012484,61.61000387
"OC-0185",332.756029,0.055603,63.381929,0.029902,106.065144,0.027364,5.892232,0.02782,0.03902231,1.118774,0.081657,-0.739247,0.368523,-2.242269,0.393105,6.7,0.15,0.76,0.016,"            ","            ",17,0,332.75603633,63.38193897
"OC-0186",339.975078,0.068084,58.702897,0.029253,106.549486,0.031186,0.079295,0.033677,0.04589888,0.324114,0.013202,-2.634846,0.073787,-2.110345,0.071804,7.8,0.18,4.04,0.016,-40.29219,"            ",28,1,339.97510054,58.70290638
"OC-0187",341.323923,0.156485,57.563689,0.041195,106.635944,0.077115,-1.261257,0.052902,0.09351655,0.644493,0.019579,-3.849111,0.166129,-2.941205,0.20809,8.6,0.2,1.54,0.024,"            ","            ",21,0,341.32395489,57.56370207
"OC-0188",342.914141,0.047527,56.107461,0.028196,106.747624,0.025598,-2.953827,0.029048,0.03871749,0.518507,0.013163,-3.499164,0.227208,-1.747406,0.069576,8.6,0.2,2.3,0.027,"            ","            ",21,0,342.91416889,56.10746877
"OC-0189",336.275539,0.12453,62.309215,0.053254,106.810434,0.066056,4.109582,0.042957,0.0787953,0.555515,0.025186,-4.154436,0.093363,-3.8347,0.196018,6.9,0.16,0.38,0.028,"            ","            ",17,0,336.27557873,62.30923204
"OC-0190",343.197735,0.069047,57.527702,0.026759,107.516241,0.03418,-1.749072,0.030378,0.0457285,0.150927,0.007135,-2.325199,0.071546,-1.335593,0.072202,7.8,0.18,1.2,0.025,"            ","            ",16,0,343.19775425,57.52770794
"OC-0191",343.802219,0.063361,57.099952,0.023695,107.623222,0.033799,-2.276422,0.024623,0.04181704,0.263042,0.00347,-1.219902,0.052633,-1.283006,0.082393,9.2,0.21,3.1,0.028,-34.482222,45.716664,23,2,343.80222898,57.0999577
"OC-0192",343.411318,0.102698,57.536929,0.042482,107.623361,0.052118,-1.79112,0.046155,0.06961731,1.102772,0.075756,-0.679006,0.476702,-1.659404,0.309179,7.7,0.18,1.06,0.017,"            ","            ",18,0,343.41132362,57.53693638
"OC-0193",343.478239,0.098084,58.964186,0.063796,108.279188,0.045413,-0.522904,0.06757,0.08141281,0.594387,0.018989,-3.73756,0.208432,-2.466019,0.23092,8.6,0.2,0.96,0.021,"            ","            ",23,0,343.47827122,58.96419696
"OC-0194",336.841321,0.226792,64.930866,0.114886,108.417394,0.106513,6.201355,0.10589,0.15019225,0.872966,0.025711,-2.543763,0.214064,-1.829716,0.255475,7.4,0.17,3.84,0.027,7.528614,380.963672,53,2,336.84134768,64.93087413
"OC-0195",345.534622,0.061061,57.049119,0.050419,108.456795,0.039453,-2.718799,0.04575,0.06041193,0.284923,0.003654,-3.546412,0.120022,-2.217205,0.093572,7.1,0.16,3.16,0.016,"            ","            ",27,0,345.53465098,57.04912885
"OC-0196",344.45928,0.079317,59.029342,0.03956,108.763399,0.045457,-0.681365,0.034123,0.05683941,0.798394,0.029083,-4.1202,0.138995,-5.354376,0.14421,8.9,0.2,1.6,0.016,"            ","            ",18,0,344.45931559,59.0293658
"OC-0197",343.57155,0.085771,60.803292,0.044389,109.123224,0.048498,1.111761,0.037021,0.0610132,0.187894,0.007658,-2.753085,0.081494,-1.660077,0.092431,8.9,0.2,0.84,0.019,"            ","            ",15,0,343.57157508,60.80329938
"OC-0198",349.126019,0.181548,55.131955,0.066579,109.572171,0.085149,-5.258127,0.0895,0.12353381,1.137195,0.069589,0.623274,0.38496,-1.718436,0.371079,7.7,0.18,1.68,0.028,"            ","            ",19,0,349.12601415,55.13196264
"OC-0199",348.020276,0.079221,56.810116,0.025675,109.612671,0.039665,-3.470105,0.031176,0.05045052,0.529344,0.019684,-3.256651,0.259919,-2.623137,0.192974,8.4,0.19,2.86,0.024,"            ","            ",19,0,348.02030244,56.81012766
"OC-0200",325.887635,0.472966,72.351376,0.12915,109.698794,0.125924,14.501691,0.149692,0.19561326,0.127569,0.010453,-2.369255,0.273375,-0.700713,0.291855,9.4,0.22,2.38,0.026,-88.515165,74.056548,15,2,325.88766973,72.35137911
"OC-0201",347.091511,0.078417,60.536059,0.044847,110.584862,0.041331,0.159084,0.042311,0.05914788,0.411072,0.007433,-4.791738,0.081993,-2.723455,0.094073,8.2,0.19,3.22,0.028,-62.038364,"            ",21,1,347.0915543,60.5360711
"OC-0202",348.465247,0.090524,59.825883,0.032727,110.949593,0.038282,-0.75629,0.040948,0.05605578,0.318091,0.009366,-2.907772,0.209009,-1.777466,0.148301,8.7,0.2,0.94,0.016,"            ","            ",17,0,348.46527271,59.8258909
"OC-0203",348.858322,0.10374,59.993811,0.042618,111.194311,0.059493,-0.671802,0.031106,0.0671342,0.689421,0.030215,-1.680195,0.263718,-1.304807,0.234708,8.1,0.19,1.36,0.018,"            ","            ",25,0,348.85833693,59.9938168
"OC-0204",315.503883,0.276444,77.031496,0.045218,111.35553,0.048944,19.670866,0.0614,0.07852054,2.668913,0.077397,5.410177,0.362438,3.861975,0.437138,6.3,0.14,1.08,0.016,-27.566082,"            ",15,1,315.50377585,77.03147884
"OC-0205",348.824031,0.077996,64.176994,0.044028,112.696082,0.036291,3.232786,0.042197,0.0556563,0.336085,0.012463,-1.854018,0.077863,-0.793151,0.094733,6.8,0.16,1.04,0.023,"            ","            ",44,0,348.82404992,64.17699753
"OC-0206",352.946394,0.147777,60.009104,0.060986,113.126815,0.08085,-1.337487,0.051401,0.09580598,0.328079,0.017093,-3.771397,0.1959,-2.482139,0.191103,6.7,0.15,2.72,0.016,"            ","            ",28,0,352.94642753,60.00911503
"OC-0207",354.503983,0.10238,57.770179,0.037505,113.242844,0.058605,-3.713719,0.031119,0.06635464,0.72964,0.024416,-4.588037,0.141211,-1.813999,0.137473,8,0.18,2.48,0.028,"            ","            ",17,0,354.50402123,57.77018706
"OC-0208",355.188772,0.112819,60.224345,0.054922,114.259126,0.062496,-1.451734,0.04745,0.07846816,0.339496,0.014614,-3.359246,0.17435,-2.157021,0.121786,6.7,0.15,2.38,0.017,"            ","            ",17,0,355.18880206,60.22435459
"OC-0209",341.164703,0.399621,75.112734,0.053089,114.926504,0.105705,14.248689,0.053603,0.11851932,2.930209,0.068722,7.195878,0.306828,0.410138,0.352105,6.9,0.16,3.44,0.025,-17.791151,3.798,19,2,341.16457852,75.11273218
"OC-0210",357.508355,0.112308,59.025084,0.046917,115.090944,0.057172,-2.908637,0.047778,0.07450755,0.530226,0.01852,-3.112469,0.395602,-1.028972,0.13168,8.7,0.2,4.04,0.016,"            ","            ",24,0,357.50838188,59.02508857
"OC-0211",357.382321,0.164666,61.886886,0.05849,115.708156,0.073697,-0.113386,0.063361,0.09718984,0.332074,0.02136,-3.427603,0.187985,-1.546447,0.162928,7.1,0.16,1.68,0.024,"            ","            ",43,0,357.38235333,61.88689287
"OC-0212",357.490435,0.042228,62.700771,0.020718,115.949589,0.018935,0.665394,0.021118,0.02836378,0.380141,0.00835,-3.277354,0.079951,-1.701893,0.095247,8.2,0.19,2.18,0.028,"            ","            ",15,0,357.49046676,62.70077856
"OC-0213",359.591433,0.07124,61.190985,0.019338,116.581134,0.036091,-1.024635,0.015831,0.03941042,0.317014,0.010909,-3.246186,0.089821,-1.699391,0.108816,7.6,0.17,3.9,0.028,"            ","            ",33,0,359.59146294,61.19099255
"OC-0214",0.806998,0.095856,60.9907,0.029429,117.118495,0.049195,-1.335691,0.024682,0.05503952,0.320486,0.010116,-3.009946,0.101723,-1.512239,0.098972,7.2,0.17,0.62,0.023,"            ","            ",15,0,0.80702559,60.99070672
"OC-0215",2.483182,0.087364,61.150046,0.044821,117.944893,0.041474,-1.31915,0.045452,0.06153029,0.207207,0.002683,-2.730417,0.088766,-0.873655,0.066618,6.1,0.14,2.18,0.021,"            ","            ",19,0,2.48320715,61.15004988
"OC-0216",2.502344,0.093463,61.153697,0.0647,117.954649,0.039962,-1.31703,0.067991,0.07886531,0.269637,0.003758,-2.764073,0.071988,-0.882961,0.082644,8.5,0.2,2.12,0.028,"            ","            ",28,0,2.50236946,61.15370092
"OC-0217",2.498983,0.063318,61.171981,0.067725,117.955939,0.029864,-1.298734,0.068021,0.07428805,0.254957,0.003387,-2.704312,0.060175,-0.882719,0.06495,8.5,0.2,2.42,0.017,"            ","            ",34,0,2.49900793,61.17198492
"OC-0218",2.510264,0.061605,61.139741,0.044429,117.956132,0.031484,-1.331427,0.043214,0.05346674,0.318653,0.006771,-2.735642,0.182526,-0.81303,0.11672,8.7,0.2,1.76,0.028,"            ","            ",16,0,2.51028919,61.13974461
"OC-0219",2.677752,0.097124,61.177533,0.043553,118.041941,0.045721,-1.306914,0.044732,0.06396375,0.283986,0.002599,-2.733567,0.053957,-0.82803,0.061372,8.7,0.2,2.18,0.019,"            ","            ",17,0,2.6777772,61.17753668
"OC-0220",3.31422,0.115401,62.472369,0.025189,118.536384,0.054073,-0.073036,0.023549,0.05897834,0.32647,0.010589,-1.992058,0.209953,-0.885099,0.169375,8.6,0.2,0.02,0.028,"            ","            ",19,0,3.31423916,62.47237293
"OC-0221",4.083131,0.040898,59.957689,0.019048,118.546456,0.020003,-2.6148,0.019561,0.02797772,0.159274,0.011627,-1.605588,0.05097,-1.299773,0.070115,8.9,0.2,2.28,0.017,"            ","            ",18,0,4.08314525,59.95769478
"OC-0222",4.454143,0.057108,60.94138,0.024328,118.858901,0.026774,-1.664196,0.0254,0.03690538,0.320232,0.015204,-0.671566,0.070092,-0.746583,0.088626,8.9,0.2,2.22,0.027,"            ","            ",17,0,4.45414915,60.94138332
"OC-0223",3.218641,0.095497,65.554524,0.032297,118.952478,0.042064,2.981196,0.028991,0.05108677,1.388324,0.066194,2.314489,0.283173,-2.519078,0.252764,6,0.14,2.28,0.016,"            ","            ",15,0,3.21861614,65.5545352
"OC-0224",6.596888,0.086301,52.946285,0.038138,119.107904,0.053307,-9.739336,0.037408,0.06512292,0.563605,0.014827,-2.081191,0.40536,-1.143874,0.254026,7.7,0.18,1.94,0.025,"            ","            ",15,0,6.59690335,52.94629008
"OC-0225",4.079243,0.119841,64.966665,0.041673,119.225414,0.052388,2.348015,0.039586,0.06566242,1.329578,0.049715,-0.875417,0.497672,0.649732,0.311057,8.5,0.2,1.78,0.028,-0.404105,"            ",30,1,4.07925219,64.96666211
"OC-0226",6.410977,0.054575,63.759258,0.01779,120.085141,0.023915,1.030182,0.018084,0.02998263,0.164651,0.017005,-2.483145,0.081705,-0.917187,0.041359,8.3,0.19,2.06,0.026,"            ","            ",21,0,6.41100196,63.75926208
"OC-0227",7.650482,0.106885,65.480522,0.060584,120.770207,0.046513,2.6963,0.058987,0.07511941,1.387051,0.126511,2.157745,0.348363,-2.907842,0.304294,6.6,0.15,1.58,0.017,-11.866726,"            ",21,1,7.65045889,65.48053492
"OC-0228",10.624504,0.053771,64.04867,0.026574,121.953872,0.023278,1.193907,0.026795,0.03549419,0.340793,0.008931,-2.756369,0.108219,-0.625379,0.085006,6.9,0.16,0.62,0.028,"            ","            ",19,0,10.62453199,64.04867278
