"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","adeg","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","age","e_age","AG","Z","RV","s_RV","N","o_RV","_RA.icrs","_DE.icrs"
"OC-0047",280.322798,0.039071,-5.416908,0.027589,26.956098,0.027634,-0.219545,0.038864,0.04768698,0.524184,0.011841,0.549358,0.179807,-1.001014,0.185661,7.3,0.17,2.66,0.023,"            ","            ",27,0,280.32279555,-5.41690355
"OC-0048",282.774722,0.034145,-6.274326,0.035319,27.304922,0.03495,-2.781386,0.034363,0.04901345,0.539148,0.031241,-1.558598,0.180042,-4.109056,0.208276,8.6,0.2,1.24,0.016,"            ","            ",139,0,282.77472897,-6.27430774
"OC-0049",282.782195,0.04279,-6.273511,0.039555,27.309023,0.03344,-2.787635,0.04752,0.05810666,0.223839,0.002365,-1.596587,0.159258,-4.236931,0.133842,8,0.18,1.26,0.017,62.838223,"            ",16,1,282.78220214,-6.27349217
"OC-0050",280.750802,0.021443,-4.222541,0.027843,28.213278,0.024426,-0.052486,0.025217,0.03510736,0.365463,0.01841,-0.997008,0.129509,-2.21085,0.100213,7.4,0.17,2.6,0.028,"            ","            ",37,0,280.75080644,-4.22253117
"OC-0051",280.810264,0.021113,-3.730871,0.035688,28.677687,0.034575,0.11951,0.022849,0.04144282,0.514158,0.009383,-0.646809,0.159634,-2.185978,0.13724,6,0.14,4.04,0.028,"            ","            ",15,0,280.81026688,-3.73086128
"OC-0052",281.411774,0.028988,-3.598698,0.026942,29.06947,0.026925,-0.354108,0.028947,0.03953333,0.367539,0.011266,-0.246595,0.078883,-4.260453,0.161185,9.8,0.23,1.28,0.021,31.230158,2.277896,20,2,281.4117751,-3.59867906
"OC-0053",281.89325,0.0376,-3.797105,0.055671,29.112145,0.050054,-0.87218,0.044744,0.06713738,0.5353,0.020294,-0.761829,0.255789,-1.858935,0.243819,8.7,0.2,1.9,0.028,-13.739034,"            ",27,1,281.89325339,-3.79709674
"OC-0054",282.668636,0.030239,-4.179906,0.076496,29.123814,0.074665,-1.735148,0.034518,0.08225785,0.25275,0.001656,-1.547339,0.073698,-4.128106,0.146681,9.5,0.22,3.2,0.027,"            ","            ",20,0,282.6686429,-4.17988765
"OC-0055",282.662232,0.02536,-4.166686,0.0533,29.132681,0.052229,-1.723443,0.027482,0.05901804,0.312248,0.008682,-1.602836,0.128891,-4.102319,0.137913,9.8,0.23,1.98,0.028,67.601234,"            ",42,1,282.66223914,-4.16666777
"OC-0056",278.646983,0.06878,-1.85376,0.067685,29.357394,0.075004,2.899833,0.060792,0.09654671,1.138546,0.069145,-2.19849,0.27336,-3.014646,0.430363,6.2,0.14,2.22,0.016,"            ","            ",55,0,278.64699278,-1.8537466
