"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
264,"UBC1265",69.6,0.11,43.28,0.06,160.47,0.08,-2.45,0.06,0.24,0.04,-0.39,0.09,-1.54,0.09,"      ","     ",48,0," ",9.019,4245,1.502,69.6,43.28
265,"UBC1266",71.98,0.1,44.03,0.06,161.04,0.07,-0.65,0.07,0.48,0.01,1.39,0.06,-2.2,0.06,"      ","     ",12,0," ",7.815,2066,0.83,71.98,44.03
266,"UBC1267",72.54,0.11,43.54,0.08,161.67,0.07,-0.66,0.09,0.44,0.03,0.01,0.1,-1.89,0.08,-20.02,"     ",39,1," ",8.701,2201,0.728,72.54,43.54
267,"UBC1268",73.29,0.15,43.81,0.07,161.81,0.08,-0.07,0.1,0.29,0.01,0.04,0.08,-1.1,0.09,"      ","     ",22,0," ",7.797,3636,0.863,73.29,43.81
268,"UBC1269",77.75,0.08,45.22,0.05,162.64,0.07,3.3,0.04,0.21,0.02,0.99,0.06,-0.23,0.06,"      ","     ",19,0," ",8.953,4606,0.955,77.75,45.22
269,"UBC1270",75.55,0.13,43.72,0.12,162.89,0.13,1.15,0.07,0.31,0.02,-0.24,0.05,-1.33,0.06,"      ","     ",39,0," ",8.464,3757,1.215,75.55,43.72
270,"UBC1271",75.03,0.1,43.14,0.07,163.12,0.06,0.5,0.08,0.19,0.03,0.15,0.1,-0.33,0.07,"      ","     ",34,0," ",7.747,6893,1.424,75.03,43.14
271,"UBC1272",68.71,0.1,38.39,0.07,163.66,0.07,-6.23,0.08,0.59,0.02,0.58,0.1,-3.25,0.07,"      ","     ",26,0," ",7.877,1814,1.331,68.71,38.39
272,"UBC1273",74.97,0.1,40.81,0.09,164.93,0.07,-0.98,0.09,0.24,0.03,-0.39,0.07,-1.5,0.08,"      ","     ",36,0," ",8.148,4423,1.118,74.97,40.81
273,"UBC1274",75.74,0.12,40.95,0.07,165.18,0.07,-0.44,0.09,0.24,0.03,0.61,0.08,-0.44,0.12,"      ","     ",49,0," ",8.226,5485,1.187,75.74,40.95
274,"UBC1275",80.68,0.04,43.4,0.05,165.35,0.04,3.97,0.04,0.39,0.02,-0.16,0.06,-0.98,0.07,"      ","     ",16,0," ",8.528,2850,0.476,80.68,43.4
275,"UBC1276",74.05,0.08,38.2,0.05,166.53,0.05,-3.15,0.07,0.3,0.02,0.73,0.07,-2.35,0.08,"      ","     ",22,0," ",8.283,3341,1.374,74.05,38.2
276,"UBC1277",77.75,0.12,36.37,0.11,169.77,0.08,-1.93,0.12,0.63,0.02,1.1,0.05,-4.04,0.05,"      ","     ",21,0," ",7.686,1669,0.813,77.75,36.37
277,"UBC1278",87.26,0.09,40.77,0.05,170.19,0.06,6.69,0.06,0.31,0.02,0.17,0.05,-1.42,0.09,"      ","     ",21,0," ",8.355,3537,0.604,87.26,40.77
278,"UBC1279",83.62,0.06,39.02,0.06,170.23,0.06,3.39,0.05,0.47,0.03,1.08,0.07,-2.2,0.07,29.01,1.14,39,3," ",8.931,2258,0.803,83.62,39.02
279,"UBC1280",83.63,0.07,37.21,0.09,171.75,0.08,2.43,0.06,0.42,0.03,0.9,0.08,-2.49,0.08,-4.67,"     ",64,1," ",8.158,2707,1.945,83.63,37.21
280,"UBC1281",80.38,0.13,34.87,0.07,172.24,0.08,-1.06,0.09,0.31,0.02,-0.28,0.05,-1.69,0.05,"      ","     ",17,0," ",7.808,3603,1.582,80.38,34.87
281,"UBC1282",79.37,0.05,33.21,0.03,173.12,0.03,-2.7,0.04,0.34,0.02,-1.05,0.06,-1.23,0.05,1.14,0.47,16,2," ",8.479,3415,0.806,79.37,33.21
282,"UBC1283",81.91,0.09,33.31,0.07,174.25,0.06,-0.89,0.08,0.38,0.03,1.3,0.07,-2.85,0.09,19.65,"     ",31,1," ",8.482,2839,0.767,81.91,33.31
283,"UBC1284",88.09,0.03,33.76,0.03,176.6,0.04,3.72,0.02,0.23,0.02,0.61,0.06,0.13,0.06,"      ","     ",19,0," ",8.318,5616,1.546,88.09,33.76
284,"UBC1285",86.71,0.06,32.13,0.09,177.41,0.08,1.89,0.06,0.38,0.02,0.4,0.08,-2.83,0.07,-21.98,"     ",32,1," ",8.744,2701,0.936,86.71,32.13
285,"UBC1286",89.26,0.09,32.45,0.05,178.23,0.05,3.9,0.07,0.2,0.02,-0.11,0.05,-1.43,0.08,20.82,"     ",29,1," ",8.132,5115,1.042,89.26,32.45
286,"UBC1287",87.48,0.11,30.98,0.11,178.73,0.12,1.85,0.08,0.24,0.02,-0.03,0.05,-0.92,0.07,"      ","     ",31,0," ",7.838,4944,1.054,87.48,30.98
287,"UBC1288",88.64,0.06,31.18,0.03,179.07,0.04,2.81,0.04,0.52,0.01,0.73,0.03,-3.39,0.03,"      ","     ",10,0," ",7.958,2022,0.798,88.64,31.18
288,"UBC1289",85.46,0.09,29.4,0.06,179.18,0.06,-0.46,0.07,0.46,0.04,0.52,0.08,-3.53,0.07,-11.14,"     ",46,1," ",8.615,2586,2.314,85.46,29.4
289,"UBC1290",87.53,0.09,30.39,0.1,179.26,0.1,1.58,0.08,0.31,0.03,0.07,0.06,-1.37,0.08,"      ","     ",56,0," ",7.863,3988,0.97,87.53,30.39
290,"UBC1291",89.55,0.08,31.32,0.06,179.33,0.06,3.56,0.07,0.18,0.02,0.45,0.07,-0.89,0.06,"      ","     ",23,0," ",8.261,5910,0.942,89.55,31.32
291,"UBC1292",90.71,0.13,31.05,0.08,180.06,0.08,4.29,0.11,0.24,0.03,0.33,0.08,-1.1,0.08,"      ","     ",57,0," ",6.972,4334,1.423,90.71,31.05
292,"UBC1293",88.49,0.1,28.51,0.08,181.31,0.07,1.34,0.1,0.4,0.01,1.06,0.08,-2.55,0.08,"      ","     ",21,0," ",7.939,2771,0.851,88.49,28.51
293,"UBC1294",90.17,0.08,29.31,0.11,181.35,0.1,3.02,0.08,0.29,0.02,-0.46,0.05,-1.5,0.06,31.23,"     ",34,1," ",8.478,3773,0.57,90.17,29.31
294,"UBC1295",86.22,0.08,26.88,0.08,181.67,0.08,-1.21,0.07,0.54,0.02,0.69,0.07,-3.38,0.05,"      ","     ",18,0," ",8.175,2093,1.708,86.22,26.88
295,"UBC1296",91.91,0.09,29,0.09,182.36,0.09,4.2,0.08,0.22,0.03,-0.1,0.07,-0.94,0.07,"      ","     ",64,0," ",7.595,4906,1.427,91.91,29
296,"UBC1297",85.66,0.13,25.75,0.13,182.37,0.13,-2.23,0.11,0.76,0.02,0,0.08,-4.43,0.06,"      ","     ",33,0," ",7.316,1399,0.411,85.66,25.75
297,"UBC1298",90.55,0.08,28.24,0.06,182.45,0.06,2.79,0.07,0.29,0.02,-0.12,0.08,-2.23,0.09,"      ","     ",34,0," ",8.578,3685,0.746,90.55,28.24
298,"UBC1299",88.02,0.07,25.83,0.09,183.4,0.09,-0.38,0.06,0.33,0.03,0.54,0.07,-1.46,0.08,"      ","     ",35,0," ",7.872,3318,1.865,88.02,25.83
299,"UBC1300",87.28,0.06,25.06,0.04,183.72,0.04,-1.34,0.05,0.29,0.02,0.68,0.06,-0.02,0.06,"      ","     ",13,0," ",7.664,4011,1.254,87.28,25.06
300,"UBC1301",90.57,0.06,26.13,0.08,184.29,0.08,1.76,0.06,0.26,0.03,0.15,0.07,-1,0.08,66.92,"     ",48,1," ",8.148,4458,1.064,90.57,26.13
301,"UBC1302",91.25,0.06,24.15,0.08,186.32,0.08,1.32,0.05,0.38,0.02,0.78,0.06,-2.42,0.04,"      ","     ",19,0,"a",7.615,2809,1.315,91.25,24.15
302,"UBC1303",91.98,0.07,21.93,0.06,188.58,0.06,0.83,0.06,0.51,0.02,0.94,0.08,-3.6,0.07,11.38,"     ",29,1," ",8.478,2022,1.003,91.98,21.93
303,"UBC1304",89.03,0.07,20.14,0.1,188.78,0.09,-2.45,0.08,0.29,0.03,-0.28,0.08,-1.63,0.1,"      ","     ",44,0," ",7.111,3525,1.772,89.03,20.14
304,"UBC1305",93.92,0.07,22.61,0.06,188.85,0.06,2.73,0.06,0.51,0.02,-0.34,0.06,-1.66,0.06,"      ","     ",19,0," ",7.855,2206,1.589,93.92,22.61
305,"UBC1306",94.6,0.15,22.88,0.25,188.91,0.18,3.41,0.22,0.53,0.02,0.44,0.06,-1.62,0.09,"      ","     ",70,0," ",7.247,1859,1.685,94.6,22.88
306,"UBC1307",95.53,0.06,21.07,0.05,190.91,0.05,3.32,0.05,0.3,0.03,0.26,0.07,1.27,0.08,"      ","     ",57,0," ",9.334,3942,1.147,95.53,21.07
307,"UBC1308",94.56,0.06,20.55,0.05,190.95,0.05,2.28,0.06,0.51,0.01,0.4,0.06,-2.59,0.06,"      ","     ",18,0,"a",6.79,2100,1.17,94.56,20.55
308,"UBC1309",96.32,0.1,19.85,0.08,192.35,0.08,3.41,0.09,0.22,0.04,-0.19,0.1,-0.46,0.09,10.58,"     ",109,1,"a",7.578,4644,1.023,96.32,19.85
309,"UBC1310",96.4,0.04,17.69,0.05,194.3,0.05,2.47,0.05,0.23,0.02,0.17,0.07,-0.79,0.1,"      ","     ",19,0,"a",8.166,4339,1.125,96.4,17.69
310,"UBC1311",95.87,0.09,17.17,0.07,194.52,0.08,1.78,0.08,0.19,0.02,0.05,0.07,-0.37,0.06,"      ","     ",28,0," ",8.042,5147,1.12,95.87,17.17
311,"UBC1312",98.51,0.1,18.39,0.07,194.6,0.08,4.57,0.08,0.2,0.02,-0.22,0.06,-0.34,0.05,"      ","     ",26,0," ",7.353,5663,0.96,98.51,18.39
312,"UBC1313",96.9,0.05,17.19,0.05,194.96,0.05,2.66,0.05,0.2,0.02,0.71,0.08,0.02,0.05,"      ","     ",35,0," ",9.039,4690,0.857,96.9,17.19
313,"UBC1314",97.03,0.11,16.8,0.14,195.36,0.14,2.59,0.1,0.21,0.02,0,0.07,-0.24,0.1,68.31,"     ",66,1," ",7.945,5271,0.847,97.03,16.8
314,"UBC1315",94.57,0.07,14.86,0.05,195.96,0.06,-0.41,0.07,0.38,0.03,-0.46,0.08,-1.88,0.07,"      ","     ",42,0," ",8.134,2916,0.985,94.57,14.86
315,"UBC1316",94.69,0.05,14.65,0.07,196.21,0.07,-0.4,0.04,0.28,0.03,0.53,0.06,-1.87,0.08,"      ","     ",28,0," ",8.913,3857,1.127,94.69,14.65
316,"UBC1317",89.55,0.06,9.6,0.05,198.22,0.06,-7.24,0.05,0.2,0.03,-0.59,0.08,0.73,0.09,50.28,"     ",30,1," ",9.051,5473,0.819,89.55,9.6
317,"UBC1318",91.09,0.06,9.19,0.06,199.33,0.06,-6.11,0.06,0.19,0.02,0.53,0.09,0.12,0.09,"      ","     ",41,0," ",8.658,5951,0.627,91.09,9.19
318,"UBC1319",95.87,0.12,11.51,0.11,199.52,0.1,-0.86,0.13,0.46,0.03,-0.65,0.08,-1.17,0.07,"      ","     ",66,0," ",7.306,2469,1.201,95.87,11.51
319,"UBC1320",93.34,0.04,9.54,0.04,200.08,0.03,-3.99,0.05,0.39,0.02,0.04,0.04,-1.29,0.05,"      ","     ",16,0," ",7.676,2787,0.622,93.34,9.54
320,"UBC1321",100.62,0.04,12.88,0.03,200.44,0.04,3.88,0.02,0.35,0.01,0.84,0.05,-1.5,0.03,"      ","     ",10,0," ",8.065,3172,0.612,100.62,12.88
321,"UBC1322",101.52,0.09,11.97,0.09,201.66,0.09,4.26,0.09,0.19,0.01,-0.01,0.04,-0.38,0.07,"      ","     ",23,0," ",7.591,5336,0.712,101.52,11.97
322,"UBC1323",101.92,0.05,11.42,0.05,202.33,0.05,4.36,0.06,0.21,0.02,-0.26,0.06,-0.58,0.08,"      ","     ",29,0," ",8.468,5042,0.745,101.92,11.42
323,"UBC1324",96.82,0.08,8.52,0.08,202.6,0.08,-1.44,0.08,0.17,0.04,0.17,0.05,0.48,0.07,"      ","     ",44,0," ",8.511,6002,0.875,96.82,8.52
324,"UBC1325",90.33,0.09,4.55,0.09,203.06,0.1,-8.99,0.08,0.73,0.02,0.5,0.05,-2.07,0.06,"      ","     ",22,0," ",8.078,1567,1.638,90.33,4.55
325,"UBC1326",96.77,0.07,7.81,0.06,203.2,0.06,-1.81,0.07,0.22,0.02,0.35,0.06,0.49,0.07,"      ","     ",24,0," ",7.698,5845,1.301,96.77,7.81
326,"UBC1327",92.25,0.12,4.76,0.11,203.8,0.13,-7.21,0.11,0.43,0.02,-0.05,0.08,-1.27,0.08,"      ","     ",31,0," ",8.185,2555,0.749,92.25,4.76
327,"UBC1328",97.03,0.03,6.84,0.03,204.19,0.03,-2.03,0.03,0.39,0.02,-0.54,0.05,-1.16,0.04,"      ","     ",15,0," ",8.279,2841,1.332,97.03,6.84
328,"UBC1329",101.47,0.06,7.68,0.06,205.46,0.06,2.26,0.06,0.17,0.02,0.47,0.05,0.36,0.06,"      ","     ",22,0," ",8.898,6656,1.337,101.47,7.68
329,"UBC1330",98.27,0.08,2.47,0.07,208.64,0.06,-2.96,0.09,0.63,0.03,-2.33,0.07,-0.53,0.09,"      ","     ",57,0," ",7.226,1601,2.218,98.27,2.47
330,"UBC1331",102.1,0.05,4.02,0.06,209.01,0.05,1.16,0.06,0.26,0.02,-0.55,0.08,-0.79,0.08,52.41,"     ",38,1," ",8.521,4429,1.177,102.1,4.02
331,"UBC1332",96.65,0.06,1.21,0.07,209.01,0.06,-4.97,0.07,0.35,0.02,0.01,0.08,-0.58,0.08,"      ","     ",30,0," ",9.252,3407,1.382,96.65,1.21
332,"UBC1333",102.32,0.05,3.98,0.04,209.15,0.05,1.34,0.04,0.24,0.03,-0.49,0.07,-0.16,0.06,"      ","     ",27,0," ",6.665,4667,1.525,102.32,3.98
333,"UBC1334",100.55,0.07,3.03,0.07,209.19,0.08,-0.67,0.06,0.47,0.02,-0.98,0.06,-0.44,0.06,"      ","     ",22,0," ",8.211,2242,0.838,100.55,3.03
334,"UBC1335",105.31,0.09,5.36,0.09,209.27,0.09,4.61,0.08,0.28,0.01,-0.24,0.05,-0.69,0.07,"      ","     ",22,0," ",9.143,4009,0.56,105.31,5.36
335,"UBC1336",106.97,0.07,4.99,0.1,210.35,0.11,5.93,0.05,0.24,0.02,-0.62,0.04,-0.59,0.04,52.08,"     ",29,1," ",9.003,4311,0.23,106.97,4.99
336,"UBC1337",106.83,0.09,4.25,0.11,210.95,0.11,5.46,0.08,0.48,0.02,-0.36,0.04,-1.65,0.08,30.87,0.37,41,2," ",8.343,2344,0.698,106.83,4.25
337,"UBC1338",100.66,0.09,-0.24,0.09,212.14,0.08,-2.07,0.09,0.2,0.04,-0.4,0.08,0.09,0.1,"      ","     ",68,0," ",7.948,5178,1.266,100.66,-0.24
338,"UBC1339",100.45,0.14,-0.83,0.1,212.57,0.11,-2.52,0.13,0.19,0.03,-0.03,0.09,0.53,0.1,"      ","     ",102,0,"a",8.128,5872,1.073,100.45,-0.83
339,"UBC1340",102.07,0.02,-0.08,0.06,212.64,0.06,-0.74,0.03,0.28,0.01,-0.64,0.04,0.98,0.05,"      ","     ",11,0," ",8.619,3985,1.31,102.07,-0.08
340,"UBC1341",103.77,0.05,0.64,0.07,212.78,0.07,1.1,0.05,0.33,0.02,-0.52,0.03,-1.05,0.05,59.37,"     ",27,1," ",8.355,3394,0.811,103.77,0.64
341,"UBC1342",105.96,0.04,0.27,0.04,214.1,0.04,2.88,0.04,0.48,0.01,-1.32,0.04,1.05,0.04,"      ","     ",13,0," ",7.86,2280,0.553,105.96,0.27
342,"UBC1343",103.04,0.09,-1.35,0.09,214.22,0.09,-0.46,0.09,0.19,0.01,-0.62,0.06,1.12,0.13,"      ","     ",25,0," ",7.827,5291,1.142,103.04,-1.35
343,"UBC1344",107.37,0.08,0.53,0.05,214.52,0.06,4.26,0.07,0.29,0.03,-1.02,0.07,-0.67,0.06,"      ","     ",42,0," ",8.566,3694,0.514,107.37,0.53
344,"UBC1345",101.2,0.07,-2.79,0.07,214.66,0.06,-2.74,0.08,0.47,0.03,-0.77,0.04,0.23,0.05,54.4,"     ",25,1," ",8.171,2368,0.904,101.2,-2.79
345,"UBC1346",101.08,0.05,-3.55,0.05,215.29,0.06,-3.2,0.05,0.41,0.02,-1.71,0.07,0.36,0.06,"      ","     ",22,0," ",8.005,2644,0.862,101.08,-3.55
346,"UBC1347",106.34,0.08,-1.01,0.05,215.42,0.05,2.64,0.08,0.26,0.02,-1.03,0.09,0.81,0.05,"      ","     ",26,0," ",7.993,4245,0.765,106.34,-1.01
347,"UBC1348",107.65,0.05,-0.44,0.06,215.51,0.06,4.06,0.04,0.51,0.01,-0.44,0.06,-1.45,0.07,"      ","     ",14,0," ",8.217,2142,0.476,107.65,-0.44
348,"UBC1349",103.87,0.04,-3.78,0.04,216.75,0.04,-0.82,0.04,0.4,0.02,-1.82,0.09,1.1,0.08,"      ","     ",22,0," ",8.152,2725,1.189,103.87,-3.78
349,"UBC1350",101.24,0.08,-5.71,0.08,217.29,0.07,-4.04,0.09,0.19,0.02,-0.6,0.05,1.43,0.06,"      ","     ",30,0," ",8.546,5226,0.74,101.24,-5.71
350,"UBC1351",107.76,0.06,-3.41,0.06,218.21,0.05,2.79,0.07,0.23,0.03,-0.31,0.05,0.03,0.05,"      ","     ",40,0," ",8.845,5170,0.52,107.76,-3.41
351,"UBC1352",110.44,0.06,-5.41,0.07,221.22,0.07,4.23,0.06,0.23,0.02,-0.55,0.05,0.48,0.05,91.3,"     ",34,1," ",8.42,5076,0.683,110.44,-5.41
352,"UBC1353",104.88,0.05,-8.82,0.06,221.7,0.06,-2.23,0.05,0.24,0.03,-0.25,0.06,1.01,0.07,"      ","     ",37,0," ",8.67,4439,1.757,104.88,-8.82
353,"UBC1354",102.71,0.08,-9.97,0.08,221.76,0.09,-4.66,0.07,0.48,0.03,-1.29,0.06,1.24,0.08,"      ","     ",42,0," ",8.039,2230,1.088,102.71,-9.97
354,"UBC1355",102.63,0.04,-10.13,0.04,221.87,0.04,-4.8,0.04,0.18,0.02,-0.54,0.08,0.14,0.08,"      ","     ",24,0," ",8.38,5201,1.297,102.63,-10.13
355,"UBC1356",110.48,0.05,-6.51,0.09,222.22,0.07,3.76,0.08,0.26,0.02,-1.09,0.06,0.82,0.06,69.16,"     ",26,1," ",8.43,3867,0.456,110.48,-6.51
356,"UBC1357",108.84,0.05,-7.41,0.05,222.25,0.06,1.9,0.04,0.31,0.02,-1.31,0.09,1.36,0.06,"      ","     ",41,0," ",7.814,3522,0.709,108.84,-7.41
357,"UBC1358",107.18,0.05,-9.41,0.06,223.27,0.06,-0.48,0.05,0.34,0.02,-0.45,0.08,-0.38,0.09,"      ","     ",54,0,"a",8.356,2956,1.131,107.18,-9.41
358,"UBC1359",107.6,0.03,-9.44,0.03,223.48,0.03,-0.13,0.04,0.26,0.02,-0.98,0.05,0.68,0.06,"      ","     ",19,0,"a",8.51,4084,1.554,107.6,-9.44
359,"UBC1360",110.11,0.03,-8.76,0.05,224.04,0.04,2.39,0.04,0.32,0.01,-2.3,0.03,1.16,0.03,"      ","     ",12,0," ",8.091,3324,0.293,110.11,-8.76
360,"UBC1361",106.14,0.05,-11.26,0.06,224.44,0.06,-2.24,0.05,0.14,0.05,-0.45,0.09,1.04,0.1,"      ","     ",89,0," ",8.721,9617,1.768,106.14,-11.26
361,"UBC1362",106.42,0.05,-12.29,0.07,225.48,0.08,-2.46,0.05,0.44,0.02,-1.67,0.06,1.17,0.06,46.16,"     ",24,1,"a",8.11,2572,0.872,106.42,-12.29
362,"UBC1363",106.71,0.08,-12.32,0.1,225.64,0.09,-2.23,0.08,0.61,0.02,-1.04,0.05,-0.28,0.06,"      ","     ",31,0," ",8.111,1744,0.757,106.71,-12.32
363,"UBC1364",110.94,0.09,-11.2,0.05,226.57,0.05,1.95,0.09,0.33,0.01,-1.32,0.05,1.44,0.08,"      ","     ",19,0," ",7.909,3013,0.808,110.94,-11.2
364,"UBC1365",104.25,0.04,-15.6,0.06,227.49,0.06,-5.85,0.04,0.37,0.02,-1.57,0.07,3.42,0.06,"      ","     ",28,0," ",8.98,3126,1.109,104.25,-15.6
365,"UBC1366",110.29,0.05,-12.62,0.04,227.53,0.04,0.73,0.05,0.36,0.02,-0.78,0.05,0.25,0.06,"      ","     ",23,0," ",8.372,2923,0.701,110.29,-12.62
366,"UBC1367",112.58,0.07,-12.71,0.05,228.67,0.05,2.65,0.06,0.19,0.03,-1.12,0.07,1.15,0.06,"      ","     ",40,0," ",8.727,5601,0.811,112.58,-12.71
367,"UBC1368",115.84,0.08,-11.87,0.07,229.48,0.08,5.84,0.07,0.39,0.01,-2.35,0.06,1.94,0.05,"      ","     ",24,0," ",8.619,2790,0.144,115.84,-11.87
368,"UBC1369",113.26,0.02,-14.49,0.04,230.55,0.04,2.38,0.01,0.21,0.02,-1.18,0.06,0.38,0.05,"      ","     ",20,0," ",8.328,5314,1.087,113.26,-14.49
369,"UBC1370",111.15,0.06,-16.29,0.08,231.16,0.07,-0.27,0.08,0.32,0.01,-2.71,0.05,2,0.06,"      ","     ",23,0," ",6.986,3682,1.896,111.15,-16.29
370,"UBC1371",111.13,0.07,-17.19,0.05,231.94,0.06,-0.71,0.06,0.34,0.02,-1.33,0.06,-0.47,0.08,41.34,"     ",45,1," ",8.857,3271,1.474,111.13,-17.19
371,"UBC1372",110.17,0.06,-17.87,0.05,232.11,0.06,-1.84,0.05,0.35,0.02,-1.03,0.06,1.36,0.06,"      ","     ",28,0," ",8.174,2979,0.799,110.17,-17.87
372,"UBC1373",109.4,0.07,-18.7,0.06,232.5,0.06,-2.88,0.07,0.34,0.03,-1.76,0.07,2.66,0.06,"      ","     ",44,0," ",7.415,3193,0.745,109.4,-18.7
373,"UBC1374",113.35,0.04,-17.51,0.04,233.23,0.03,0.99,0.05,0.4,0.01,-1.77,0.06,2.27,0.07,"      ","     ",19,0," ",7.998,2650,1.457,113.35,-17.51
374,"UBC1375",111.17,0.06,-18.86,0.07,233.43,0.08,-1.47,0.05,0.29,0.02,-1.26,0.04,2.15,0.07,"      ","     ",39,0," ",8.277,4124,0.768,111.17,-18.86
375,"UBC1376",108.75,0.08,-20.64,0.07,233.94,0.07,-4.31,0.08,0.33,0.01,-2.29,0.05,3.21,0.04,"      ","     ",21,0," ",7.334,3723,1.154,108.75,-20.64
376,"UBC1377",111.39,0.08,-19.71,0.07,234.28,0.08,-1.69,0.07,0.25,0.02,-1.12,0.05,1.57,0.04,"      ","     ",22,0," ",7.804,5036,1.154,111.39,-19.71
377,"UBC1378",113.51,0.02,-19.18,0.02,234.77,0.02,0.32,0.03,0.43,0.01,-1.76,0.04,2.7,0.06,"      ","     ",11,0," ",8.434,2603,1.668,113.51,-19.18
378,"UBC1379",113.51,0.05,-19.23,0.1,234.82,0.1,0.29,0.06,0.35,0.02,-1.78,0.05,2.71,0.07,42.29,"     ",33,1," ",8.962,3213,1.38,113.51,-19.23
379,"UBC1380",110.27,0.11,-21.13,0.08,235.04,0.08,-3.29,0.11,0.35,0.01,-2.57,0.04,3.17,0.06,"      ","     ",32,0," ",7.03,2922,0.728,110.27,-21.13
380,"UBC1381",114.94,0.07,-18.92,0.05,235.2,0.06,1.62,0.05,0.44,0.01,-2.23,0.06,2.24,0.05,"      ","     ",21,0," ",7.933,2519,1.103,114.94,-18.92
381,"UBC1382",114.54,0.05,-21.57,0.05,237.32,0.04,-0.01,0.05,0.32,0.02,-2,0.06,2.06,0.06,"      ","     ",33,0," ",8.084,3665,1.002,114.54,-21.57
382,"UBC1383",114.24,0.05,-21.88,0.06,237.46,0.06,-0.4,0.04,0.25,0.01,-1.7,0.05,0.54,0.07,50.41,"     ",22,1," ",8.471,4163,1.028,114.24,-21.88
383,"UBC1384",115.72,0.14,-21.17,0.07,237.52,0.08,1.15,0.12,0.31,0.01,-2.13,0.03,2.98,0.07,"      ","     ",24,0," ",7.656,3481,0.618,115.72,-21.17
384,"UBC1385",116.74,0.05,-20.96,0.06,237.82,0.06,2.08,0.05,0.25,0.03,-1.34,0.07,1.84,0.07,136.28,"     ",61,1," ",8.334,4762,0.874,116.74,-20.96
385,"UBC1386",115.85,0.09,-23.39,0.07,239.51,0.08,0.15,0.08,0.21,0.02,-2.37,0.05,3.42,0.07,"      ","     ",50,0," ",8.27,5055,0.864,115.85,-23.39
386,"UBC1387",116.17,0.05,-23.26,0.06,239.54,0.07,0.46,0.04,0.23,0.02,-2.45,0.06,3.73,0.07,"      ","     ",38,0," ",7.716,5112,1.087,116.17,-23.26
387,"UBC1388",117.2,0.06,-23.59,0.05,240.3,0.05,1.12,0.05,0.4,0.02,-3.12,0.05,3.11,0.06,"      ","     ",21,0," ",8.015,2693,1.628,117.2,-23.59
388,"UBC1389",116.08,0.03,-24.74,0.04,240.78,0.04,-0.34,0.02,0.26,0.02,-2.03,0.04,2.8,0.05,"      ","     ",15,0,"a",8.551,4881,1.043,116.08,-24.74
389,"UBC1390",115.05,0.09,-25.55,0.04,241.02,0.05,-1.55,0.08,0.29,0.01,-2.82,0.05,3.47,0.04,"      ","     ",22,0," ",7.102,4019,0.873,115.05,-25.55
390,"UBC1391",115.72,0.06,-25.26,0.1,241.08,0.09,-0.88,0.07,0.22,0.02,-1.91,0.04,2.48,0.05,"      ","     ",39,0," ",7.491,4706,0.663,115.72,-25.26
391,"UBC1392",118.03,0.09,-25.53,0.09,242.36,0.1,0.78,0.06,0.16,0.02,-2.17,0.06,3.12,0.08,"      ","     ",51,0," ",8.096,5837,0.6,118.03,-25.53
392,"UBC1393",116.2,0.08,-26.65,0.09,242.49,0.08,-1.2,0.09,0.23,0.01,-2.2,0.05,3.42,0.07,"      ","     ",27,0," ",8.042,4682,0.762,116.2,-26.65
393,"UBC1394",116.45,0.04,-26.6,0.04,242.56,0.05,-0.99,0.03,0.3,0.01,-2.24,0.05,2.8,0.06,"      ","     ",16,0," ",7.945,4296,0.707,116.45,-26.6
394,"UBC1395",122.11,0.06,-23.7,0.05,242.74,0.05,4.9,0.05,0.24,0.02,-2.2,0.07,4.06,0.06,51.85,0.52,38,2," ",9.044,4868,0.597,122.11,-23.7
395,"UBC1396",118.48,0.05,-26.77,0.04,243.63,0.04,0.49,0.04,0.25,0.01,-2.47,0.04,3.24,0.04,"      ","     ",15,0," ",7.971,5377,0.812,118.48,-26.77
396,"UBC1397",116.78,0.03,-28.66,0.02,244.49,0.02,-1.77,0.02,0.31,0.01,-2.68,0.04,2.74,0.03,"      ","     ",11,0," ",8.131,3389,1.894,116.78,-28.66
397,"UBC1398",120.8,0.06,-26.76,0.04,244.71,0.05,2.27,0.04,0.36,0.02,-3.52,0.05,3.85,0.05,"      ","     ",24,0,"a",8.511,3022,0.699,120.8,-26.76
398,"UBC1399",115.26,0.06,-29.7,0.07,244.73,0.06,-3.43,0.06,0.19,0.03,-2.13,0.06,2.71,0.05,"      ","     ",28,0," ",8.685,5474,0.668,115.26,-29.7
399,"UBC1400",118.31,0.05,-28.28,0.09,244.85,0.08,-0.42,0.05,0.21,0.01,-2.39,0.06,3.02,0.05,"      ","     ",25,0,"a",7.303,5508,1.279,118.31,-28.28
400,"UBC1401",118.92,0.07,-28.06,0.1,244.94,0.1,0.16,0.07,0.24,0.02,-2.27,0.04,3.26,0.06,"      ","     ",31,0,"a",7.091,4794,1.044,118.92,-28.06
401,"UBC1402",119.71,0.05,-27.65,0.06,244.95,0.06,0.97,0.04,0.34,0.02,-2.56,0.05,3.8,0.05,"      ","     ",37,0,"a",8.689,3184,1.201,119.71,-27.65
