"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
32,"UBC1033",278.12,0.08,-6.87,0.08,24.66,0.08,1.06,0.08,0.43,0.02,0.02,0.09,-2.5,0.07,"      ","     ",34,0," ",7.451,2532,2.751,278.12,-6.87
33,"UBC1034",279.56,0.06,-6.98,0.05,25.22,0.06,-0.26,0.06,0.48,0.02,-0.99,0.08,-2.31,0.09,"      ","     ",45,0," ",6.779,2307,3.365,279.56,-6.98
34,"UBC1035",279.73,0.05,-6.43,0.05,25.78,0.05,-0.16,0.05,0.38,0.03,-1.02,0.08,-1.23,0.07,44.32,"     ",112,1," ",8.398,2911,3.189,279.73,-6.43
35,"UBC1036",280.17,0.05,-6.52,0.06,25.9,0.06,-0.59,0.06,0.34,0.04,-1.1,0.08,-4.08,0.08,31.58,0.31,112,3," ",7.842,3187,2.758,280.17,-6.52
36,"UBC1037",280.4,0.07,-6,0.08,26.47,0.08,-0.56,0.07,0.36,0.02,-1.51,0.06,-4.08,0.08,-9.92,4.06,85,4," ",8.248,3218,2.284,280.4,-6
37,"UBC1038",279.78,0.06,-5.36,0.06,26.75,0.06,0.29,0.06,0.32,0.02,-0.67,0.08,-2.12,0.07,"      ","     ",51,0," ",7.237,3228,3.076,279.78,-5.36
38,"UBC1039",279.9,0.1,-4.56,0.09,27.53,0.09,0.55,0.1,0.32,0.04,0.13,0.1,-1.35,0.1,"      ","     ",58,0," ",7.335,3497,2.59,279.9,-4.56
39,"UBC1040",279.91,0.12,-4.51,0.09,27.57,0.08,0.57,0.12,0.45,0.02,-0.69,0.1,-2.16,0.08,"      ","     ",40,0," ",7.093,2460,2.143,279.91,-4.51
40,"UBC1041",280.28,0.07,-4.36,0.06,27.88,0.06,0.3,0.07,0.31,0.01,-0.75,0.08,-2.8,0.06,"      ","     ",35,0,"a",6.748,3404,3.379,280.28,-4.36
41,"UBC1042",281.8,0.06,-4.74,0.06,28.23,0.06,-1.22,0.06,0.26,0.02,-1.17,0.09,-2.49,0.09,"      ","     ",95,0," ",8.061,4143,2.298,281.8,-4.74
42,"UBC1043",281.27,0.06,-4.18,0.06,28.49,0.06,-0.49,0.05,0.45,0.02,-1.02,0.05,-1.68,0.07,"      ","     ",31,0," ",8.168,2394,2.621,281.27,-4.18
43,"UBC1044",283.46,0.05,-4.65,0.06,29.06,0.06,-2.65,0.05,0.42,0.02,-0.64,0.06,-1.13,0.06,20.28,"     ",30,1," ",8.328,2376,1.745,283.46,-4.65
44,"UBC1045",280.94,0.08,-2.86,0.06,29.51,0.07,0.4,0.07,0.45,0.02,-0.65,0.08,-2.15,0.12,24.32,"     ",54,1," ",7.331,2687,3.951,280.94,-2.86
45,"UBC1046",280.92,0.05,-1.02,0.06,31.14,0.06,1.26,0.05,0.48,0.02,0.04,0.09,-0.67,0.11,0.94,"     ",31,1," ",8.601,2190,2.641,280.92,-1.02
46,"UBC1047",282.19,0.07,-1.05,0.1,31.69,0.09,0.12,0.08,0.33,0.01,-0.61,0.08,-2.24,0.07,"      ","     ",34,0," ",7.178,3140,3.496,282.19,-1.05
