CWNU_id,l,b,sig_l,sig_b,n,plx,sig_plx,pmx,sig_pmx,pmy,sig_pmy,rv,sig_rv,nrv,logage,A0,m-M,class,RA_ICRS,DE_ICRS
CWNU_2312,244.162,0.209,0.054,0.05,66,0.332,0.06,-2.888,0.106,2.863,0.112,42.51,,1,8.7,1.35,12.35,1,118.51647,-27.37234
CWNU_2313,296.61,0.153,0.025,0.03,12,0.275,0.018,-6.933,0.06,0.79,0.027,,,0,7.05,1.9,12.5,1,179.2718,-62.04978
CWNU_2314,9.706,-1.694,0.235,0.092,66,0.542,0.038,0.721,0.093,-0.183,0.058,,,0,7.55,2.45,11.15,1,273.37652,-21.3645
CWNU_2315,268.988,0.785,0.203,0.087,65,0.672,0.052,-5.042,0.093,3.564,0.095,,,0,7.4,2.85,10.75,1,137.82426,-47.05465
CWNU_2316,252.091,-0.413,0.067,0.037,64,0.231,0.056,-2.095,0.076,3.082,0.075,89.58,,1,7.9,1.35,13.1,1,122.81421,-34.4216
CWNU_2317,239.9,1.149,0.176,0.156,69,0.338,0.079,-2.145,0.08,2.417,0.117,79.48,9.35,4,8.7,1.6,12.05,1,117.00586,-23.22728
CWNU_2318,222.415,1.085,0.307,0.096,11,0.46,0.042,-1.101,0.094,-0.565,0.114,,,0,7.6,1.1,11.7,1,108.18726,-7.93043
CWNU_2319,304.174,0.846,0.17,0.135,64,0.432,0.034,-4.058,0.081,-1.266,0.094,,,0,6.4,0.75,11.65,1,195.50565,-62.00022
CWNU_2320,28.312,-3.292,0.152,0.109,63,0.648,0.052,-1.21,0.084,-3.467,0.106,,,0,7.65,1.75,10.85,1,283.69087,-5.60967
CWNU_2321,280.108,-0.893,0.043,0.051,63,0.278,0.055,-6.052,0.086,3.787,0.124,17.61,1.31,2,8.55,3.85,12.4,1,149.19429,-55.82341
CWNU_2322,226.885,-3.354,0.102,0.044,12,0.219,0.04,-0.392,0.086,0.9,0.065,,,0,6.2,0.05,14.15,1,106.26737,-13.94026
CWNU_2323,284.298,1.447,0.081,0.037,62,0.352,0.059,-6.018,0.097,3.605,0.127,-8.02,14.59,2,8.0,3.2,12.55,1,157.75538,-56.25838
CWNU_2324,154.305,-1.226,0.304,0.224,61,0.611,0.105,1.176,0.162,-1.674,0.118,,,0,7.5,2.35,10.9,1,64.74897,48.58497
CWNU_2325,29.636,-10.789,0.257,0.172,61,0.723,0.055,1.327,0.153,-2.182,0.128,-33.96,20.59,2,8.95,0.9,10.55,1,291.03235,-7.79449
CWNU_2326,66.442,0.588,0.105,0.059,61,0.257,0.053,-2.574,0.079,-5.317,0.078,12.18,12.41,2,7.05,3.2,12.75,1,299.08288,29.73581
CWNU_2327,263.426,-2.89,0.081,0.102,61,0.266,0.057,-3.212,0.12,3.962,0.066,75.34,12.05,3,8.85,2,12.5,1,128.61263,-45.13695
CWNU_2328,266.604,-5.676,0.416,0.23,61,0.624,0.057,-4.383,0.098,4.155,0.068,11.79,,1,7.55,0.95,10.9,1,128.07037,-49.34027
CWNU_2329,229.252,-0.567,0.14,0.049,11,0.271,0.032,-0.948,0.052,0.767,0.045,,,0,9.05,0.95,12.45,1,109.94698,-14.74926
CWNU_2330,330.221,0.471,0.132,0.052,60,0.404,0.068,-3.207,0.063,-3.814,0.071,-4.69,1.93,12,9.05,3.65,11.7,1,240.87786,-51.92103
CWNU_2331,18.326,-0.903,0.041,0.053,64,0.361,0.048,-0.289,0.092,-1.223,0.078,-11.31,47.08,2,8.7,3.35,11.9,1,276.90341,-13.39046
CWNU_2332,178.915,-0.14,0.152,0.106,60,0.357,0.046,1.087,0.096,-1.258,0.1,-3.36,38.77,9,9.0,2.4,11.85,1,85.61595,29.78701
CWNU_2333,241.534,-1.318,0.156,0.071,60,0.284,0.075,-2.11,0.083,3.17,0.154,76.54,,1,8.85,0.55,12.35,1,115.55674,-25.87658
CWNU_2334,287.624,-1.479,0.079,0.065,17,0.244,0.027,-5.188,0.043,2.551,0.064,,,0,7.1,1.5,13.05,1,160.51049,-60.44648
CWNU_2335,291.609,-2.682,0.166,0.074,64,0.287,0.038,-5.107,0.119,1.472,0.132,-4.83,6.68,4,8.75,2.25,12.3,1,167.01921,-63.25858
CWNU_2336,308.466,0.684,0.165,0.091,59,0.377,0.045,-8.106,0.072,-2.387,0.059,-75.78,,1,8.8,1.95,11.9,1,204.5888,-61.6826
CWNU_2337,268.004,-4.724,0.036,0.036,12,0.499,0.012,-5.034,0.069,4.34,0.082,,,0,7.5,1.7,11.4,1,130.53673,-49.88488
CWNU_2338,88.538,3.155,0.294,0.118,59,0.387,0.042,-1.712,0.089,-3.815,0.071,-11.75,,1,7.2,4,12.2,1,312.94123,49.32137
CWNU_2339,302.209,0.694,0.082,0.111,59,0.475,0.053,-4.82,0.077,-1.073,0.123,-34.29,25.24,2,7.05,4,11.45,1,191.31099,-62.16905
CWNU_2340,352.781,2.224,0.221,0.142,59,0.602,0.071,-0.741,0.213,-0.644,0.111,-37.72,21.14,2,8.05,3.2,10.85,1,259.59727,-33.76168
CWNU_2341,207.532,-3.791,0.197,0.05,24,0.207,0.023,0.113,0.175,0.498,0.187,61.82,,1,8.8,1.8,13.05,1,97.01629,3.06234
CWNU_2342,350.652,-0.663,0.206,0.132,59,0.445,0.052,-0.136,0.101,-0.543,0.106,-13.16,25.15,4,6.7,5.3,12.1,1,261.02344,-37.15538
CWNU_2343,327.766,-1.303,0.075,0.048,58,0.34,0.051,-4.317,0.095,-4.471,0.109,-51.31,51.76,3,8.75,3.1,12.1,1,239.71928,-54.87005
CWNU_2344,71.529,1.658,0.094,0.059,58,0.383,0.037,-2.274,0.06,-5.621,0.069,-7.45,,1,8.65,2.15,11.85,1,301.17441,34.62276
CWNU_2345,66.955,0.791,0.017,0.01,12,0.21,0.008,-2.582,0.038,-5.533,0.05,12.91,,1,7.9,2.3,13.1,1,299.19042,30.27957
CWNU_2346,93.556,-1.354,0.19,0.083,58,0.361,0.041,-3.644,0.077,-4.087,0.112,-36.77,9.82,2,8.45,1.65,12.0,1,323.32101,49.86806
CWNU_2347,266.011,-4.462,0.018,0.019,58,0.198,0.036,-2.863,0.072,2.931,0.054,49.98,3.47,3,8.9,1.45,13.2,1,129.02158,-48.14474
CWNU_2348,116.371,-10.001,0.033,0.036,11,0.616,0.039,-3.544,0.069,-1.837,0.117,,,0,6.75,0.9,11.0,1,2.24932,52.32927
CWNU_2349,233.253,3.058,0.098,0.084,58,0.396,0.061,-2.447,0.099,1.164,0.096,56.98,19.0,2,7.85,0.85,12.0,1,115.24316,-16.51763
CWNU_2350,298.152,0.439,0.035,0.032,58,0.212,0.063,-7.798,0.054,1.112,0.073,-15.19,7.74,2,9.0,3.45,13.1,1,182.61827,-62.05197
CWNU_2351,260.046,-4.565,0.058,0.369,12,0.29,0.067,-3.217,0.12,4.24,0.067,,,0,6.3,0.95,13.2,1,123.99212,-43.34001
CWNU_2352,134.636,-2.802,0.107,0.067,57,0.296,0.041,-1.335,0.079,-0.39,0.088,-53.69,3.02,3,8.15,2.35,12.45,1,35.34618,58.01115
CWNU_2353,47.0,1.628,0.054,0.07,12,0.299,0.009,-1.13,0.023,-4.346,0.015,5.26,0.26,2,9.15,3.45,12.2,1,287.89925,13.25002
CWNU_2354,276.144,0.592,0.02,0.008,11,0.198,0.031,-4.157,0.067,3.638,0.072,,,0,8.95,4.4,13.4,1,145.58418,-52.1595
CWNU_2355,28.025,-0.275,0.042,0.049,12,0.334,0.028,-1.585,0.057,-4.018,0.068,51.45,0.24,2,9.1,3.45,12.15,1,280.86298,-4.49171
CWNU_2356,311.83,-0.236,0.065,0.113,56,0.39,0.047,-4.151,0.086,-2.165,0.097,-31.73,7.4,3,8.0,2.4,11.75,1,211.95358,-61.78114
CWNU_2357,252.623,-2.268,0.163,0.067,12,0.602,0.021,-4.371,0.028,4.06,0.072,,,0,8.4,2.1,11.0,1,121.25862,-35.87288
CWNU_2358,296.229,-2.21,0.035,0.032,12,0.353,0.017,-7.195,0.065,1.149,0.067,,,0,8.5,1.25,12.15,1,177.27625,-64.26752
CWNU_2359,283.905,2.141,0.226,0.131,56,0.418,0.047,-6.98,0.09,2.911,0.064,,,0,7.55,1.3,11.7,1,157.78705,-55.46112
CWNU_2360,86.618,7.164,0.371,0.251,61,0.479,0.073,-3.173,0.116,-5.763,0.145,-53.07,19.6,2,7.55,1.7,11.4,1,306.20155,50.21094
CWNU_2361,190.687,-3.551,0.163,0.165,11,0.327,0.062,1.23,0.118,-2.175,0.129,36.76,,1,8.85,2.6,12.45,1,89.02991,17.94058
CWNU_2362,176.81,-2.886,0.333,0.378,55,0.638,0.059,0.822,0.078,-1.603,0.089,,,0,7.3,1.15,11.1,1,81.63725,30.06811
CWNU_2363,312.414,0.256,0.096,0.048,55,0.388,0.055,-3.863,0.115,-2.309,0.089,-40.72,,1,7.05,4.05,11.95,1,212.81429,-61.13769
CWNU_2364,60.053,0.516,0.05,0.018,55,0.233,0.067,-2.549,0.086,-4.705,0.088,18.09,13.7,4,8.85,3.45,12.55,1,295.51504,24.19297
CWNU_2365,110.905,4.62,0.189,0.121,11,0.394,0.035,-3.359,0.086,-1.991,0.078,-61.04,,1,8.85,2.55,11.75,1,343.73906,64.73621
CWNU_2366,87.591,1.736,0.036,0.034,42,0.224,0.042,-2.784,0.094,-3.609,0.091,-36.46,2.85,8,8.3,4.05,13.2,1,313.67144,47.68593
CWNU_2367,106.53,-1.161,0.071,0.054,11,0.491,0.008,-3.32,0.038,-1.499,0.063,,,0,7.75,1.45,11.45,1,341.06184,57.60292
CWNU_2368,252.061,1.28,0.028,0.04,54,0.205,0.032,-2.464,0.071,2.678,0.137,,,0,8.6,1.25,13.05,1,124.49214,-33.45751
CWNU_2369,175.421,-2.602,0.114,0.045,12,0.729,0.04,0.429,0.048,-2.498,0.033,,,0,6.95,0.25,10.7,1,81.00799,31.37691
CWNU_2370,305.505,0.793,0.153,0.086,53,0.355,0.042,-6.417,0.078,-1.442,0.148,-2.7,4.4,3,8.25,2.2,11.95,1,198.34074,-61.96916
CWNU_2371,94.874,-0.532,0.105,0.08,53,0.459,0.051,-2.833,0.081,-2.645,0.099,-25.82,,1,8.85,2.4,11.55,1,323.98248,51.36346
