GLON,GLAT,Diam-a,Diam-b,Name,Class1,Class2,recno,RA_ICRS,DE_ICRS
4.26,-0.45,1.5,1.5,Ryu 569                                                                                                         ,OC   ,     ,280,269.28866,-25.50429
4.27,-2.79,1.2,1.2,Ryu 570                                                                                                         ,OC   ,     ,281,271.55939,-26.65155
4.28,-2.16,1.1,1.1,Ryu 166                                                                                                         ,OC   ,     ,282,270.95059,-26.33513
4.32,5.22,2.5,2.5,Ryu 571                                                                                                         ,OC   ,     ,283,264.01202,-22.51588
4.34,-2.19,1.3,1.3,Ryu 572                                                                                                         ,OC   ,     ,284,271.01256,-26.29759
4.36,-6.08,1.4,1.4,Ryu 573                                                                                                         ,OC   ,     ,285,274.8687,-28.1349
4.39,2.48,1.5,1.5,Ryu 574                                                                                                         ,OC   ,     ,286,266.58747,-23.89794
4.41,-2.47,1.2,1.2,Ryu 167                                                                                                         ,OC   ,     ,288,271.32324,-26.37352
4.41,16.75,4.0,4.0,"FSR 14,MWSC 2489                                                                                                ",OC   ,     ,289,253.93182,-15.99308
4.46,-5.16,2.0,2.0,Ryu 575                                                                                                         ,OC   ,     ,291,274.00047,-27.61789
4.48,0.51,1.2,1.2,Ryu 576                                                                                                         ,OC   ,     ,292,268.49508,-24.83039
4.52,1.06,1.4,1.4,Ryu 577                                                                                                         ,OC   ,     ,293,267.99615,-24.51647
4.54,-2.33,1.8,1.8,Ryu 578                                                                                                         ,OC   ,     ,294,271.25771,-26.19181
4.59,-4.81,1.8,1.8,Ryu 579                                                                                                         ,OC   ,     ,295,273.72106,-27.33892
4.6,-6.25,3.3,3.3,Ryu 580                                                                                                         ,OC   ,     ,297,275.16452,-28.00187
4.82,-2.85,1.2,1.2,"VVV 161,VVV-CL 161                                                                                              ",OC   ,     ,299,271.91569,-26.20037
4.84,-0.93,4.5,3.5,"Ruprecht 137,OCL 13,ESO 521-8,MWSC 2772                                                                         ",OC   ,     ,300,270.06933,-25.24121
4.96,-0.63,0.9,0.9,Ryu 581                                                                                                         ,OC   ,     ,302,269.84777,-24.98793
4.99,0.14,1.1,1.1,Ryu 582                                                                                                         ,OC   ,     ,304,269.12995,-24.57675
5.13,-0.67,1.2,1.2,Ryu 583                                                                                                         ,OC   ,     ,308,269.9793,-24.86038
5.16,2.06,1.6,1.6,Ryu 584                                                                                                         ,OC   ,     ,311,267.41362,-23.45532
5.2,-0.46,3.5,2.5,"Ruprecht 136,OCL 15,ESO 521-4,MWSC 2765                                                                         ",OC   ,     ,313,269.81706,-24.69516
5.28,-0.57,7.0,7.0,"NGC 6506,Ruprecht 138,OCL 16,ESO 521-6,MWSC 2771                                                                ",OC   ,     ,318,269.96588,-24.68053
5.29,-3.36,1.0,1.0,Ryu 585                                                                                                         ,OC   ,     ,319,272.66528,-26.035
5.33,-3.34,1.4,1.4,Ryu 587                                                                                                         ,OC   ,     ,320,272.66707,-25.99036
5.33,-1.57,1.6,1.6,Ryu 586                                                                                                         ,OC   ,     ,321,270.95164,-25.13121
5.35,-5.54,1.2,1.2,Ryu 588                                                                                                         ,OC   ,     ,324,274.8445,-27.01188
5.36,2.04,1.6,1.6,Ryu 589                                                                                                         ,OC   ,     ,326,267.54393,-23.29395
5.47,-6.83,2.0,2.0,Ryu 590                                                                                                         ,OC   ,     ,329,276.19465,-27.49949
5.51,-0.09,2.1,2.1,Ryu 592                                                                                                         ,OC   ,     ,332,269.63461,-24.24192
5.51,0.17,1.0,1.0,Ryu 591                                                                                                         ,OC   ,     ,333,269.38781,-24.11189
5.52,6.08,10.0,10.0,"FSR 19,MWSC 2633                                                                                                ",OC   ,     ,334,263.91376,-21.04711
5.53,1.38,1.3,1.3,Ryu 169                                                                                                         ,OC   ,     ,335,268.25691,-23.48434
5.57,1.95,1.3,1.3,Ryu 593                                                                                                         ,OC   ,     ,337,267.7449,-23.15963
5.63,-0.42,3.5,3.5,Ryu 594                                                                                                         ,OC   ,     ,341,270.01406,-24.30228
5.75,0.5,0.8,0.8,Ryu 595                                                                                                         ,OC   ,     ,344,269.20712,-23.73877
5.8,-0.54,0.9,0.9,Ryu 596                                                                                                         ,OC   ,     ,346,270.22088,-24.21428
5.85,6.19,1.9,1.9,Ryu 599                                                                                                         ,OC   ,     ,351,264.00083,-20.71075
5.97,-22.66,18.0,18.0,MWSC 4500                                                                                                       ,OC   ,     ,357,293.3361,-33.23289
6.04,0.26,1.8,1.8,Ryu 601                                                                                                         ,OC   ,     ,362,269.59252,-23.60795
6.08,-5.64,1.0,1.0,Ryu 602                                                                                                         ,OC   ,     ,365,275.3208,-26.41453
6.08,26.62,17.0,17.0,MWSC 5321                                                                                                       ,OC   ,     ,366,246.6993,-8.92084
6.1,-2.83,2.0,2.0,Ryu 603                                                                                                         ,OC   ,     ,368,272.58061,-25.07102
6.16,-4.28,12.0,12.0,"ASCC 95,MWSC 2861                                                                                               ",OC   ,     ,371,274.02355,-25.70887
6.18,0.84,6.0,6.0,"FSR 22,MWSC 2751                                                                                                ",OC   ,     ,373,269.122,-23.1962
6.19,-0.47,1.2,1.2,Ryu 604                                                                                                         ,OC   ,     ,374,270.3658,-23.84082
6.2,-0.34,0.5,0.5,"VVV 155,VVV-CL 155                                                                                              ",OC   ,     ,375,270.24778,-23.76775
6.23,-0.66,1.1,1.1,Ryu 605                                                                                                         ,OC   ,     ,376,270.56804,-23.89997
