ID,lon,lat,pmRA*,e_pmRA*,pmDE,e_pmDE,dist_pc,e_dist,rGMM,rc,e_rc,N,e_N,log(age),RA_ICRS,DE_ICRS,plx
UPK_394,195.66,-18.11,-0.52,0.1,-2.03,0.1,802,24,25.53,7.95,0.06,27,51.05,7.9,78.79452,6.28155,1.2468827930174564
UPK_398,198.75,-11.55,-3.34,0.18,-1.76,0.18,452,32,39.66,9.45,0.06,40,55.62,7.1,86.01185,7.02685,2.2123893805309733
UPK_402,203.26,-12.3,-1.15,0.31,-1.96,0.28,429,35,21.12,10.45,0.04,43,71.03,6.85,87.5067,2.80592,2.331002331002331
UPK_416,211.24,-12.52,-1.26,0.12,1.48,0.15,871,48,99.53,23.3,0.25,34,73.07,7.9,90.9346,-4.19758,1.148105625717566
UPK_418,212.31,11.18,-2.68,0.09,-1.6,0.1,828,28,32.25,9.75,0.08,17,27.85,7.95,112.56099,5.61759,1.2077294685990339
UPK_422,213.03,-16.53,0.25,0.21,-0.6,0.22,304,22,63.58,23.01,0.08,71,71.0,7.3,88.10545,-7.5387,3.289473684210526
UPK_429,216.44,5.03,-2.01,0.14,0.07,0.12,865,38,41.86,7.57,0.12,76,143.42,7.95,108.93484,-0.81756,1.1560693641618498
UPK_431,217.79,3.49,-2.44,0.1,0.77,0.11,729,33,54.19,13.95,0.12,55,89.39,8.7,108.18573,-2.72107,1.3717421124828533
UPK_433,218.28,-2.15,-0.78,0.13,-2.55,0.11,780,29,43.06,7.61,0.23,51,83.38,7.9,103.38247,-5.7392,1.2820512820512822
UPK_436,219.0,-6.02,-4.1,0.14,0.66,0.17,842,50,52.09,25.33,0.13,67,126.34,7.3,100.23083,-8.12791,1.187648456057007
UPK_438,219.35,-5.6,-6.59,0.44,2.68,0.37,449,60,95.65,29.13,0.16,52,53.17,7.8,100.76786,-8.25081,2.2271714922048997
UPK_442,221.51,-9.17,-2.54,0.18,-1.32,0.17,640,45,88.53,43.49,0.32,55,76.2,7.7,98.48424,-11.75452,1.5625
UPK_445,221.93,-15.95,-2.41,0.39,1.45,0.33,667,48,84.12,25.18,0.24,131,213.35,7.1,92.36032,-15.01905,1.4992503748125936
UPK_447,222.57,-3.38,-3.6,0.08,0.41,0.11,962,32,41.4,23.51,0.06,30,57.06,7.65,104.24118,-10.11533,1.0395010395010396
UPK_448,222.64,-8.0,-2.61,0.17,0.73,0.17,900,42,44.21,30.58,0.76,37,69.82,7.9,100.06064,-12.24412,1.1111111111111112
UPK_452,226.65,1.13,-5.8,0.08,3.19,0.08,623,10,23.99,5.68,0.09,9,25.11,7.6,110.23144,-11.65526,1.6051364365971108
UPK_456,229.07,-6.03,-7.62,0.21,0.18,0.17,506,41,100.85,33.68,0.1,31,36.72,7.95,104.81091,-17.09201,1.976284584980237
UPK_457,230.41,-7.05,-3.81,0.1,5.14,0.1,949,33,23.73,6.24,0.08,16,40.86,7.4,104.47403,-18.73819,1.053740779768177
UPK_467,231.78,10.65,-6.99,0.12,-1.72,0.11,579,26,49.73,16.03,0.09,49,68.08,8.2,121.25145,-11.43739,1.7271157167530224
UPK_468,232.13,7.2,-1.58,0.08,0.1,0.11,871,39,22.52,4.06,0.22,22,36.14,8.2,118.38614,-13.48564,1.148105625717566
UPK_470,232.73,-4.05,-4.81,0.11,4.23,0.1,999,36,44.7,8.02,0.1,55,104.0,7.5,108.40971,-19.44469,1.001001001001001
UPK_492,250.73,-0.88,-7.43,0.1,5.39,0.07,713,26,42.72,0.02,0.0,17,23.5,7.9,121.451,-33.53149,1.402524544179523
UPK_494,251.06,-7.92,-5.35,0.08,5.25,0.1,881,38,53.37,18.51,0.16,19,31.74,7.75,114.19707,-37.37913,1.1350737797956867
UPK_495,251.37,-15.37,-2.42,0.14,5.67,0.17,664,42,83.78,24.62,0.31,36,58.51,8.45,105.6974,-40.87025,1.5060240963855422
UPK_499,254.36,11.42,-6.75,0.19,2.67,0.17,1001,70,110.31,113.82,1.36,106,199.17,7.9,135.56689,-29.13989,0.999000999000999
UPK_502,255.6,-1.29,-8.08,0.17,5.61,0.17,699,19,15.96,3.76,0.06,22,35.99,7.85,124.31647,-37.82866,1.4306151645207439
UPK_508,258.93,7.76,-10.58,0.09,6.25,0.09,830,20,26.33,2.98,0.1,26,63.08,8.6,135.75173,-34.94235,1.2048192771084338
UPK_524,265.0,-20.62,-2.77,0.19,8.81,0.25,554,30,77.75,38.6,0.22,40,47.29,8.0,105.16734,-54.84359,1.8050541516245486
UPK_526,265.35,-14.34,-7.98,0.19,7.42,0.14,575,23,86.2,27.79,0.23,30,41.63,7.3,115.23689,-52.77449,1.7391304347826086
UPK_528,265.9,2.9,-7.69,0.13,1.89,0.13,953,41,32.23,2.37,0.2,51,96.33,7.9,137.04656,-43.35354,1.0493179433368311
UPK_533,267.52,-9.78,-7.03,0.17,2.57,0.16,348,24,76.95,18.48,0.34,23,23.52,7.9,123.49596,-52.39735,2.8735632183908044
UPK_535,267.66,-7.22,-13.08,0.36,3.25,0.22,319,12,81.14,63.64,0.68,72,72.0,7.65,127.06011,-51.09161,3.134796238244514
UPK_537,268.29,-7.86,-6.69,0.17,7.58,0.18,603,37,60.17,29.99,0.28,42,68.66,7.6,126.79182,-51.97014,1.658374792703151
UPK_540,270.63,-17.08,-4.82,0.22,7.66,0.19,372,23,74.66,33.24,0.04,44,44.99,7.5,114.69272,-58.53999,2.6881720430107525
