"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","Note","_RA.icrs","_DE.icrs"
"UBC135",299.81464627115,0.08715062325,33.72111490214,0.06919036744,70.1680010119,0.0812463113,2.135739434,0.0587436994,0.2234,0.0201,-3.515,0.08,-6.426,0.093," ",299.81466446762,33.7211425693
"UBC136",304.50197434268,0.14569262532,32.5820137255,0.13618212983,71.3408885103,0.1423527503,-1.7782099462,0.1156160925,0.6901,0.0319,-0.039,0.103,-3.281,0.105," ",304.50197454319,32.58202785378
"UBC137",301.12594977516,0.05668031159,35.22485363333,0.04848425421,72.0170918367,0.0421985595,2.0131295227,0.0521187639,0.3876,0.0233,-2.432,0.093,-4.012,0.082," ",301.1259625952,35.22487090842
"UBC138",302.48463834281,0.06764256393,34.96031642187,0.04398916468,72.3941194518,0.0509625464,0.9343440673,0.0491206537,0.2415,0.035,-3.389,0.126,-5.082,0.116," ",302.48465614477,34.96033830116
"UBC139",302.72629513346,0.12318963119,35.73093859691,0.11085556266,73.1475019144,0.1263084219,1.1900110366,0.0796434007,0.4568,0.0235,-2.087,0.095,-4.895,0.1," ",302.7263062044,35.73095967416
"UBC140",305.37450671909,0.14273685931,38.59963896977,0.13792343928,76.7059741477,0.1214537609,1.0390638866,0.1292926567,0.5508,0.0258,-3.247,0.091,-5.985,0.12,"a",305.3745246061,38.5996647399
"UBC141",313.59179846982,0.1114575945,35.69073151421,0.09385875137,78.3540492447,0.1030256044,-5.9326366286,0.0806522864,0.7096,0.022,-1.026,0.109,0.352,0.103," ",313.59180390878,35.6907299979
"UBC142",305.83429729033,0.16649598392,41.70998661031,0.13116170528,79.4620677015,0.1416212705,2.5255051489,0.1123903022,0.8119,0.0233,-3.653,0.118,-8.325,0.132," ",305.83431835873,41.71002245449
"UBC143",299.66034081903,0.16723535182,45.57100987641,0.12643009009,80.2945191619,0.1370208995,8.3690292194,0.106331731,0.723,0.019,-3.188,0.092,-7.844,0.118," ",299.66036042862,45.57104365133
"UBC144",307.50379177155,0.14301660972,45.92471545043,0.09151539418,83.6029216513,0.0989775295,3.9821755416,0.092296191,0.6687,0.0311,-1.235,0.098,-0.951,0.133,"a",307.50379941817,45.92471954458
"UBC145",316.06564345311,0.1045045912,42.06493697808,0.07115816848,84.4588612273,0.0871612317,-3.2300382711,0.0592523561,0.4738,0.0326,-2.442,0.097,-4.262,0.096,"a",316.06565761363,42.06495532991
"UBC146",309.37747379075,0.14148349089,46.47743645912,0.11437898173,84.8204259525,0.1126332903,3.2674979952,0.0996368318,0.422,0.0332,-4.036,0.103,-4.328,0.107," ",309.37749902614,46.47745509368
"UBC147",308.30114723063,0.16680145472,47.14278421191,0.09394408074,84.9138930032,0.0997194933,4.2557410401,0.1086490645,0.4369,0.0282,-3.371,0.141,-4.757,0.169," ",308.30116857073,47.14280469414
"UBC148",309.741829835,0.16591044111,46.48029571828,0.10953586797,84.9746868896,0.1309965543,3.0695067842,0.0891964964,0.4131,0.0252,-2.092,0.094,-3.228,0.109," ",309.74184291825,46.48030961603
"UBC149",312.32423096477,0.27932709211,46.46157538872,0.1059506396,86.0624916894,0.1393077486,1.6614956218,0.1698906141,0.3849,0.0269,-0.872,0.106,-1.929,0.133," ",312.32423641257,46.46158369537
"UBC150",325.48551586318,0.18218433861,37.53636165684,0.1881546186,86.3834957415,0.1872154188,-11.5433867628,0.1504930014,1.1451,0.0452,-4.129,0.144,-6.688,0.125," ",325.48553828289,37.53639045325
"UBC151",311.97246130152,0.18493736958,47.45367762764,0.1624350959,86.6820362123,0.168094283,2.4728386719,0.117547941,0.5685,0.0254,-2.355,0.096,-1.537,0.111," ",311.97247629396,47.45368424397
"UBC152",314.34721640238,0.11086872845,47.35164915136,0.09028870249,87.6319425034,0.0905700657,1.1718207192,0.0748080526,0.7114,0.0167,-0.548,0.084,-1.764,0.099," ",314.3472198867,47.35165674545
"UBC153",316.23986655624,0.11922749074,46.28045486687,0.08433131168,87.6822557273,0.1017862032,-0.5080876506,0.0595097476,0.2714,0.032,-5.087,0.079,-6.247,0.101," ",316.239898248,46.28048176346
"UBC154",317.0977105096,0.1199252344,46.3339740864,0.06906354452,88.1207917586,0.0739765481,-0.9103549488,0.0784386209,0.2604,0.0307,-2.296,0.113,-3.709,0.123," ",317.09772482889,46.33399005578
"UBC155",318.40779235395,0.18044935223,50.14970256305,0.12079387176,91.5025747276,0.1321316563,1.0606334581,0.1025119004,0.5769,0.026,-2.89,0.127,-4.063,0.111," ",318.40781177205,50.14972005466
"UBC156",321.72366766288,0.12472008412,49.1130748788,0.06559569377,92.2827538086,0.0726692825,-1.1927340177,0.0754236699,0.43,0.0263,-3.746,0.102,-4.387,0.098," ",321.7236923009,49.11309376885
"UBC157",328.72075699925,0.15197694709,49.74292987392,0.06699984281,96.1259742558,0.0766726391,-3.7128785591,0.0910248853,0.8197,0.0212,2.13,0.084,-0.306,0.078," ",328.72074280965,49.74293119275
"UBC158",323.83305179838,0.10736125782,53.64443899439,0.06245209629,96.3377597776,0.0636027456,1.2198603267,0.0625307491,0.4646,0.0346,-2.577,0.135,-2.771,0.118," ",323.83307051754,53.64445092588
