"DB","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID"
"3","Ryu 555",267.69239,-26.62182,2.57001,0.21999,"nan","nan","nan","ryu555","UCC G002.5+00.2"
"3","Dutra-Bica 40,MWSC 2736,DB 40",268.31154,-26.78693,2.71001,-0.34,"nan","nan","nan","dutrabica40","UCC G002.7-00.3"
"3","Ryu 556",269.68548,-27.34881,2.84001,-1.68,"nan","nan","nan","ryu556","UCC G002.8-01.6"
"3","Dutra-Bica 42,DB 42",267.68369,-26.30286,2.84001,0.38999,"nan","nan","nan","dutrabica42","UCC G002.8+00.3"
"3","Ryu 162",264.93166,-24.7285,2.89001,3.32999,"nan","nan","nan","ryu162","UCC G002.8+03.3"
"3","VVV 144,VVV-CL 144",266.39496,-25.47559,2.95001,1.81,"nan","nan","nan","vvv144","UCC G002.9+01.8"
"3","VVV-CL 145,VVV 145",266.40649,-25.45852,2.97001,1.80999,"nan","nan","nan","vvvcl145","UCC G002.9+01.8a"
"3","Ryu 557",265.40974,-24.69287,3.15,2.98,"nan","nan","nan","ryu557","UCC G003.1+02.9"
"3","Ryu 558",274.19669,-28.93699,3.37001,-5.93,"nan","nan","nan","ryu558","UCC G003.3-05.9"
"3","Ryu 163",266.93877,-25.28257,3.37001,1.48999,"nan","nan","nan","ryu163","UCC G003.3+01.4"
"3","Ryu 164",270.26402,-26.9524,3.44001,-1.93,"nan","nan","nan","ryu164","UCC G003.4-01.9"
"3","Ryu 559",270.05668,-26.81241,3.47001,-1.70001,"nan","nan","nan","ryu559","UCC G003.4-01.7"
"3","Ryu 560",268.80475,-26.15325,3.48001,-0.4,"nan","nan","nan","ryu560","UCC G003.4-00.4"
"3","Ryu 561",272.73558,-28.11433,3.49001,-4.41,"nan","nan","nan","ryu561","UCC G003.4-04.4"
"3","Ryu 562",271.78059,-27.4918,3.63001,-3.37,"nan","nan","nan","ryu562","UCC G003.6-03.3"
"3","Teutsch J1814.6-2814,Ryu 563",273.67475,-28.24319,3.77001,-5.2,"nan","nan","nan","teutschj181462814","UCC G003.7-05.2"
"3","Ryu 564",264.16109,-23.08539,3.91001,4.8,"nan","nan","nan","ryu564","UCC G003.9+04.8"
"3","VVV 153,VVV-CL 153",268.37922,-25.38355,3.95001,0.31999,"nan","nan","nan","vvv153","UCC G003.9+00.3"
"3","Ryu 565",271.57023,-26.83982,4.11001,-2.89,"nan","nan","nan","ryu565","UCC G004.1-02.8"
"3","Ryu 566",274.92977,-28.4209,4.13001,-6.26,"nan","nan","nan","ryu566","UCC G004.1-06.2"
"3","Ryu 165",263.56898,-22.43345,4.17001,5.61,"nan","nan","nan","ryu165","UCC G004.1+05.6"
"3","Ryu 567",271.61809,-26.78358,4.18001,-2.9,"nan","nan","nan","ryu567","UCC G004.1-02.9"
"3","Ryu 568",268.23561,-24.99354,4.22,0.63,"nan","nan","nan","ryu568","UCC G004.2+00.6"
"3","Ryu 569",269.28866,-25.50429,4.26,-0.45,"nan","nan","nan","ryu569","UCC G004.2-00.4"
"3","Ryu 570",271.55939,-26.65155,4.27001,-2.79,"nan","nan","nan","ryu570","UCC G004.2-02.7"
"3","Ryu 166",270.95059,-26.33513,4.28001,-2.16,"nan","nan","nan","ryu166","UCC G004.2-02.1"
"3","Ryu 571",264.01202,-22.51588,4.32001,5.22,"nan","nan","nan","ryu571","UCC G004.3+05.2"
"3","Ryu 572",271.01256,-26.29759,4.34001,-2.19001,"nan","nan","nan","ryu572","UCC G004.3-02.1"
"3","Ryu 573",274.8687,-28.1349,4.36001,-6.08001,"nan","nan","nan","ryu573","UCC G004.3-06.0"
"3","Ryu 574",266.58747,-23.89794,4.39001,2.47999,"nan","nan","nan","ryu574","UCC G004.3+02.4"
"3","Ryu 167",271.32324,-26.37352,4.41001,-2.47001,"nan","nan","nan","ryu167","UCC G004.4-02.4"
"3","Ryu 575",274.00047,-27.61789,4.46001,-5.16,"nan","nan","nan","ryu575","UCC G004.4-05.1"
"3","Ryu 576",268.49508,-24.83039,4.48001,0.51,"nan","nan","nan","ryu576","UCC G004.4+00.5"
"3","Ryu 577",267.99615,-24.51647,4.52001,1.05999,"nan","nan","nan","ryu577","UCC G004.5+01.0"
"3","Ryu 578",271.25771,-26.19181,4.54001,-2.33,"nan","nan","nan","ryu578","UCC G004.5-02.3"
"3","Ryu 579",273.72106,-27.33892,4.59001,-4.81,"nan","nan","nan","ryu579","UCC G004.5-04.8"
"3","Ryu 580",275.16452,-28.00187,4.60001,-6.25,"nan","nan","nan","ryu580","UCC G004.6-06.2"
"3","VVV-CL 161,VVV 161",271.91569,-26.20037,4.82001,-2.85,"nan","nan","nan","vvvcl161","UCC G004.8-02.8"
"3","Ryu 581",269.84777,-24.98793,4.96001,-0.63,"nan","nan","nan","ryu581","UCC G004.9-00.6"
"3","Ryu 582",269.12995,-24.57675,4.99001,0.14,"nan","nan","nan","ryu582","UCC G004.9+00.1"
"3","Ryu 583",269.9793,-24.86038,5.13001,-0.67,"nan","nan","nan","ryu583","UCC G005.1-00.6"
"3","Ryu 584",267.41362,-23.45532,5.16001,2.06,"nan","nan","nan","ryu584","UCC G005.1+02.0"
"3","Ryu 585",272.66528,-26.035,5.29,-3.36,"nan","nan","nan","ryu585","UCC G005.2-03.3"
"3","Ryu 587",272.66707,-25.99036,5.33001,-3.34,"nan","nan","nan","ryu587","UCC G005.3-03.3"
"3","Ryu 586",270.95164,-25.13121,5.33001,-1.57,"nan","nan","nan","ryu586","UCC G005.3-01.5"
"3","Ryu 588",274.8445,-27.01188,5.35001,-5.54001,"nan","nan","nan","ryu588","UCC G005.3-05.5"
"3","Ryu 589",267.54393,-23.29395,5.36001,2.04,"nan","nan","nan","ryu589","UCC G005.3+02.0"
"3","Ryu 590",276.19465,-27.49949,5.47001,-6.83,"nan","nan","nan","ryu590","UCC G005.4-06.8"
"3","Ryu 592",269.63461,-24.24192,5.51001,-0.09,"nan","nan","nan","ryu592","UCC G005.5+00.0"
"3","Ryu 591",269.38781,-24.11189,5.51,0.17,"nan","nan","nan","ryu591","UCC G005.5+00.1"
"3","FSR 0019,MWSC 2633",263.91376,-21.04711,5.52001,6.08,"nan","nan","nan","fsr0019","UCC G005.5+06.0"
"3","Ryu 169",268.25691,-23.48434,5.53001,1.37999,"nan","nan","nan","ryu169","UCC G005.5+01.3"
"3","Ryu 593",267.7449,-23.15963,5.57001,1.95,"nan","nan","nan","ryu593","UCC G005.5+01.9"
"3","Ryu 594",270.01406,-24.30228,5.63001,-0.42,"nan","nan","nan","ryu594","UCC G005.6-00.4"
"3","Ryu 595",269.20712,-23.73877,5.75001,0.5,"nan","nan","nan","ryu595","UCC G005.7+00.5"
"3","Ryu 596",270.22088,-24.21428,5.8,-0.54,"nan","nan","nan","ryu596","UCC G005.8-00.5"
"3","Ryu 599",264.00083,-20.71075,5.85001,6.19,"nan","nan","nan","ryu599","UCC G005.8+06.1"
"3","Ryu 601",269.59252,-23.60795,6.04001,0.26,"nan","nan","nan","ryu601","UCC G006.0+00.2"
"3","Ryu 602",275.3208,-26.41453,6.08001,-5.64,"nan","nan","nan","ryu602","UCC G006.0-05.6"
"3","Ryu 603",272.58061,-25.07102,6.10001,-2.83,"nan","nan","nan","ryu603","UCC G006.1-02.8"
"3","Ryu 604",270.3658,-23.84082,6.19001,-0.47,"nan","nan","nan","ryu604","UCC G006.1-00.4"
"3","VVV-CL 155,VVV 155",270.24778,-23.76775,6.20001,-0.34,"nan","nan","nan","vvvcl155","UCC G006.2-00.3"
"3","Ryu 605",270.56804,-23.89997,6.23001,-0.66001,"nan","nan","nan","ryu605","UCC G006.2-00.6"
"3","VVV 152,VVV-CL 152",268.28102,-22.63889,6.27001,1.78999,"nan","nan","nan","vvv152","UCC G006.2+01.7"
"3","Ryu 170",271.68498,-24.39293,6.30001,-1.79,"nan","nan","nan","ryu170","UCC G006.3-01.7"
"3","Ryu 606",274.48304,-25.59062,6.46,-4.59,"nan","nan","nan","ryu606","UCC G006.4-04.5"
"3","Ryu 607",266.45197,-21.32441,6.53001,3.92,"nan","nan","nan","ryu607","UCC G006.5+03.9"
"3","Ryu 171",271.75914,-23.67547,6.96001,-1.5,"nan","nan","nan","ryu171","UCC G006.9-01.5"
"3","Ryu 609",273.65381,-24.57783,7.00001,-3.45001,"nan","nan","nan","ryu609","UCC G007.0-03.4"
"3","Ryu 172",268.60584,-21.83029,7.12001,1.94,"nan","nan","nan","ryu172","UCC G007.1+01.9"
"3","Ryu 173",268.54939,-21.7417,7.17001,2.02999,"nan","nan","nan","ryu173","UCC G007.1+02.0"
