"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls","dups_fnames_m","dups_probs_m"
"FERREIRA21;HUNT23","25;6067","UFMG 88",268.20394,-29.47872,0.3427,-1.6256,0.619,2.044,-1.617,"ufmg88","UCC G000.3-01.6","Q1N","nan","nan",6.3,False,43,True,0,0.95,1.0,"AA",36,0.344,-1.643,268.237,-29.495,0.641,2.107,-1.694,-24.835,5,6,"nan","nan"
"BICA19","11","Ryu 541",267.02841,-28.8463,0.36,-0.42,"nan","nan","nan","ryu541","UCC G000.3-00.4","Q1N","nan","nan",1.8,False,80,True,0,0.16,0.3,"DC",60,0.357,-0.42,267.026,-28.849,0.394,-0.412,-2.043,-20.241,3,0,"nan","nan"
"BICA19","3252","DB 18;Dutra-Bica 18;MWSC 2665",265.71013,-28.11509,0.38,0.95,"nan","nan","nan","db18;dutrabica18;mwsc2665","UCC G000.3+00.9","Q1P","nan","nan",6.9,False,120,True,0,0.58,0.58,"BB",50,0.333,0.977,265.672,-28.147,0.247,-2.558,-4.249,-39.647,2,0,"nan","nan"
"QIN23","0","OCSN 1",260.16,-24.86,0.4053,6.8877,6.73,-4.75,-21.64,"ocsn1","UCC G000.4+06.8","Q1P","nan","nan",95.2,False,91,True,100,1.0,0.45,"AC",80,-0.036,7.213,259.702,-25.003,6.728,-4.766,-21.684,-3.718,35,254,"nan","nan"
"BICA19","3478","Schmitz J1808.6-3116",272.16382,-31.2688,0.47,-5.48,"nan","nan","nan","schmitzj180863116","UCC G000.4-05.4","Q1N","nan","nan",2.1,False,25,True,0,0.29,0.63,"CB",0,0.465,-5.485,272.177,-31.276,0.187,-4.084,-6.193,"nan",0,0,"nan","nan"
"HUNT23","1787","HSC 2",268.62743,-29.53106,0.4843,-1.9699,0.634,1.68,-1.182,"hsc2","UCC G000.4-01.9","Q1N","nan","nan",9.9,False,61,True,0,0.99,0.67,"AB",42,0.462,-1.926,268.557,-29.541,0.625,1.66,-1.198,"nan",0,8,"nan","nan"
"KHARCHENKO12;LOKTIN17","836;269","ESO 337 23",289.8275,-37.62,0.5061,-21.3376,"nan","nan","nan","eso33723","UCC G000.5-21.3","Q1N","nan","nan",4.0,False,25,True,0,0.29,0.23,"CD",0,0.515,-21.359,289.845,-37.593,0.272,-1.893,-5.392,"nan",0,0,"nan","nan"
"BICA19","12","ESO 455 44",267.26144,-28.75914,0.54,-0.55,"nan","nan","nan","eso45544","UCC G000.5-00.5","Q1N","nan","nan",9.1,False,37,True,100,0.22,0.59,"DB",18,0.629,-0.607,267.299,-28.711,0.354,-0.615,-1.926,0.294,4,5,"nan","nan"
"HUNT23","1788","HSC 3",273.73496,-31.87472,0.5673,-6.9461,0.647,0.371,0.21,"hsc3","UCC G000.5-06.9","Q1N","nan","nan",15.7,False,50,True,0,0.99,0.71,"AB",35,0.517,-6.955,273.727,-31.938,0.635,0.358,0.238,-24.204,10,1,"nan","nan"
"BICA19","3253","DB 20;Dutra-Bica 20",265.80027,-27.9292,0.58,0.98,"nan","nan","nan","db20;dutrabica20","UCC G000.5+00.9","Q1P","nan","nan",5.0,False,100,True,0,0.34,0.48,"CC",4,0.618,1.032,265.743,-27.874,0.278,-2.737,-4.898,-14.711,2,0,"nan","nan"
"HUNT23","1789","HSC 4",269.07222,-29.6381,0.5866,-2.358,0.112,2.125,-11.895,"hsc4","UCC G000.5-02.3","Q1N","nan","nan",2.1,False,88,True,0,0.67,0.38,"BC",82,0.58,-2.359,269.069,-29.639,0.124,2.05,-11.842,-130.743,1,5,"nan","nan"
"KHARCHENKO12;HUNT23","1065;1333","Collinder 351",267.34684,-28.74936,0.5869,-0.6092,0.439,-0.565,-1.136,"collinder351","UCC G000.5-00.6","Q1N","nan","nan",3.4,False,105,False,0,0.79,1.0,"AA",47,0.61,-0.683,267.434,-28.776,0.423,-0.499,-1.151,"nan",0,10,"ubc91","0.64"
"CANTAT20;CASTRO20;DIAS21","1860;0;1584","UBC 91",267.433,-28.761,0.6158,-0.6799,0.42,-0.587,-1.126,"ubc91","UCC G000.6-00.6","Q1N","nan","nan",7.0,False,271,True,0,1.0,1.0,"AA",101,0.626,-0.69,267.446,-28.747,0.41,-0.617,-1.139,-36.777,7,34,"collinder351","0.64"
"BICA19","13","DB 21;Dutra-Bica 21",265.82404,-27.89517,0.62,0.98,"nan","nan","nan","db21;dutrabica21","UCC G000.6+00.9","Q1P","nan","nan",8.3,False,70,True,0,0.54,0.68,"BB",29,0.66,0.983,265.778,-27.838,0.285,-1.0,-2.159,-8.46,4,0,"nan","nan"
"HUNT23","1790","HSC 5",276.78242,-33.09355,0.6449,-9.7899,0.657,0.15,-6.676,"hsc5","UCC G000.6-09.7","Q1N","nan","nan",13.5,False,50,True,10,0.16,0.43,"DC",7,0.612,-9.789,276.786,-33.113,0.588,0.079,-6.684,-43.665,1,0,"nan","nan"
"CASTRO22","566","UBC 1567",269.01,-29.51,0.6703,-2.2469,0.38,-0.1,-0.47,"ubc1567","UCC G000.6-02.2","Q1N","cwwdl4491;ufmg92","0.73;0.74",2.9,False,60,False,0,1.0,1.0,"AA",47,0.675,-2.251,269.021,-29.503,0.382,-0.078,-0.48,20.849,2,26,"cwwdl4491;ufmg92","0.69;0.92"
"CHI23_3","378","CWWDL 4491",269.0125,-29.5099,0.6715,-2.2487,0.392,-0.108,-0.546,"cwwdl4491","UCC G000.6-02.2a","Q1N","ubc1567;ufmg92","0.73;0.66",3.9,False,135,True,0,1.0,1.0,"AA",108,0.681,-2.251,269.02,-29.508,0.381,-0.087,-0.493,-18.645,5,4,"ubc1567;ufmg92","0.69;0.76"
