"name","N_ucc","ucc_plx","ucc_pm_disp","N_h23","h23_plx","h23_pm_disp","h23_r50","CMDCl50","N_cg20","cg20_plx","cg20_pm_disp","cg20_r50","CST","C_lkl","C_dens","N_50","r_50_pc"
"kronberger70",25,0.122,0.125,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.48,0.4,13,10.97
"cwnu2492",25,0.69,0.213,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.22,0.34,0,2.45
"cwnu2040",25,0.4,0.116,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.12,0.41,14,4.95
"mwsc5370",77,0.182,1.051,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.74,0.36,77,10.87
"cwnu1257",29,2.098,0.214,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.86,0.54,29,6.57
"hsc598",28,5.319,0.721,63.0,5.269,1.09,10.85,0.997,"nan","nan","nan","nan",7.15937226,0.2,0.63,28,7.4
"hsc599",33,0.584,0.093,25.0,0.555,0.123,3.94,0.951,"nan","nan","nan","nan",3.29747032,0.8,0.57,33,3.39
"dolidze42",25,0.893,0.269,31.0,0.869,0.176,4.83,0.663,"nan","nan","nan","nan",7.77475243,0.63,0.33,0,2.25
"g76203",25,0.262,0.222,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.73,0.38,15,6.22
"cwnu469",109,0.515,0.224,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.74,0.54,109,8.3
"fsr0210",108,0.31,0.402,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.96,0.44,108,6.57
"teutschj20151p3850",27,0.283,0.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.25,0.44,27,6.37
"steine3",38,0.208,0.127,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.13,0.47,38,7.27
"fof1764",38,0.237,0.138,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.27,0.41,38,6.38
"hsc600",25,0.815,0.281,12.0,0.826,0.112,3.88,0.815,"nan","nan","nan","nan",3.3282049,0.64,0.32,0,3.46
"upk110",40,1.153,0.217,41.0,1.12,0.256,5.26,0.196,"nan","nan","nan","nan",8.33931454,0.53,0.49,40,5.78
"hsc601",25,1.688,0.589,120.0,1.66,0.443,12.64,0.92,"nan","nan","nan","nan",11.56145654,0.54,0.36,0,1.31
"hsc602",29,0.281,0.079,26.0,0.262,0.109,2.23,0.976,"nan","nan","nan","nan",6.30766297,0.18,0.75,29,4.76
"hsc603",46,0.955,0.227,62.0,0.953,0.284,9.67,0.942,"nan","nan","nan","nan",3.43950531,0.94,0.4,46,6.31
"cwwdl13748",76,0.796,0.161,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.91,0.83,76,2.41
"ubc373",60,0.796,0.123,79.0,0.773,0.214,1.91,0.999,20.0,0.788,0.14,1.42,11.22861556,0.86,0.89,60,2.59
"teutsch302",43,0.21,0.176,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.13,0.45,43,5.96
"teutsch297",25,0.208,0.413,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.2,0,2.38
"berkeley86",89,0.594,0.118,36.0,0.567,0.118,1.2,0.972,23.0,0.56,0.094,2.19,8.30306669,1.0,0.72,89,2.74
"mwsc5371",73,0.327,1.051,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.59,0.37,73,4.89
"doldzim10",25,0.194,0.127,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.42,0.42,3,11.4
"ruprecht173",25,0.233,0.382,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.22,0,3.75
"hsc604",30,0.747,0.148,22.0,0.718,0.203,3.66,0.987,"nan","nan","nan","nan",3.37598435,0.66,0.5,30,3.86
"cwnu118",64,0.336,0.122,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.84,0.81,64,1.39
"ubc1102",89,0.346,0.08,82.0,0.32,0.134,1.94,0.84,"nan","nan","nan","nan",12.19283787,0.66,0.78,89,10.51
"ubc140",191,0.589,0.105,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.9,191,6.96
"lisc1351",33,0.35,0.08,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.85,1.0,33,0.91
"fof2179",72,0.59,0.089,91.0,0.559,0.127,2.82,0.986,"nan","nan","nan","nan",11.65422755,0.75,0.81,72,2.86
"cwnu2563",135,0.349,0.192,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.64,0.51,135,7.58
"kronberger76",25,0.209,0.096,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.49,20,11.41
"hsc606",97,2.547,0.627,44.0,2.586,0.703,12.65,0.921,"nan","nan","nan","nan",6.66581289,0.35,0.58,97,10.29
"cwnu2098",25,0.581,0.181,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.35,0,2.15
"teutsch313",85,0.213,0.42,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.66,0.41,85,8.88
"teutschj20155p3931",63,0.27,0.193,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.46,63,4.63
"cwnu167",185,0.586,0.269,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.57,185,3.03
"oc0113",188,0.585,0.275,91.0,0.545,0.208,1.86,0.138,"nan","nan","nan","nan",14.4592492,1.0,0.54,188,2.98
"ngc6913",121,0.588,0.127,70.0,0.562,0.124,1.64,0.847,71.0,0.55,0.161,3.35,9.64752909,0.95,0.87,121,3.51
"turner11",25,0.396,0.488,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.22,0,1.76
"hsc613",43,2.208,0.727,12.0,2.216,0.581,11.45,0.969,"nan","nan","nan","nan",3.04714161,0.51,0.34,43,9.2
"cwwdl2501",25,0.583,0.187,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.33,0.34,0,1.95
"hsc607",32,0.506,0.122,18.0,0.477,0.116,1.39,0.868,"nan","nan","nan","nan",3.28786442,0.3,0.57,32,3.33
"vdb130",142,0.592,0.159,162.0,0.571,0.293,3.13,0.711,"nan","nan","nan","nan",11.43036888,0.99,0.71,142,3.78
"cwnu1120",30,1.997,0.235,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.4,0.5,30,6.12
"ruprecht175",25,0.194,0.151,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.43,25,5.7
"cwnu1223",30,1.022,0.224,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.49,0.45,30,0.77
"teutsch305",47,0.171,0.229,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.75,0.4,47,7.65
"cwnu2254",28,0.701,0.137,27.0,0.673,0.147,3.29,0.279,"nan","nan","nan","nan",5.66840868,0.29,0.53,28,2.78
"ubc374",101,0.66,0.106,125.0,0.629,0.163,4.99,0.062,44.0,0.617,0.129,3.17,15.40225534,0.99,0.79,101,4.94
"dolidze5",386,0.471,0.208,183.0,0.448,0.139,2.57,0.959,137.0,0.448,0.18,3.39,19.90820536,1.0,0.68,386,3.83
"cwnu1740",25,0.362,0.17,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.38,0,3.21
"cwwdl13927",98,0.66,0.121,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,0.76,98,4.54
"dolidze38",25,0.114,0.104,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.47,19,15.57
"hsc608",120,0.301,0.197,53.0,0.279,0.126,2.1,0.184,"nan","nan","nan","nan",9.0548907,0.65,0.57,120,5.32
"teutsch307",26,0.35,0.181,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.38,0.38,26,6.57
"cwnu1806",28,0.43,0.123,14.0,0.398,0.109,2.2,0.421,"nan","nan","nan","nan",3.07307993,0.34,0.53,28,5.95
"oc0114",37,0.598,0.095,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.62,0.68,37,4.67
"kronberger78",25,0.247,0.316,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.34,0,3.89
"oc0115",49,1.059,0.231,69.0,0.993,0.308,1.72,0.202,"nan","nan","nan","nan",8.44171296,0.91,0.54,49,1.51
"cwnu1035",26,0.994,0.179,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.14,0.38,26,6.26
"dolidze47",25,0.207,0.337,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.19,0.29,0,4.22
"cwnu180",29,0.993,0.129,67.0,0.957,0.289,4.75,0.817,"nan","nan","nan","nan",7.11977403,0.11,0.64,29,4.66
"cwnu471",25,0.806,0.386,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.48,0.32,0,1.91
"hsc609",39,0.212,0.087,52.0,0.188,0.144,9.54,0.998,"nan","nan","nan","nan",7.87160408,1.0,0.53,39,9.33
"ubc375",68,0.597,0.07,69.0,0.567,0.121,4.35,0.979,32.0,0.558,0.148,4.1,9.48128678,0.96,0.84,68,8.19
"ubc1103",239,0.628,0.128,107.0,0.596,0.113,5.45,0.297,"nan","nan","nan","nan",16.38750959,1.0,1.0,239,7.97
"oc0116",25,0.602,0.07,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.6,0.74,0,0.77
"oc0117",243,0.627,0.174,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.78,243,6.5
"cwwdl11640",26,0.598,0.073,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.44,0.75,26,1.85
"fsr0213",25,0.997,0.343,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.15,0.29,0,3.03
"dolidze36",25,0.244,0.388,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.23,0,2.86
"qc1",122,0.807,0.153,153.0,0.778,0.182,2.53,0.346,"nan","nan","nan","nan",16.12694923,1.0,0.87,122,2.16
"ubc1104",136,0.806,0.131,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.93,136,4.29
"cwwdl11620",134,0.807,0.166,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.85,134,2.31
"teutsch295",25,0.244,0.457,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,0.23,0,2.98
"bdsb19",25,0.189,0.362,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.52,0.36,0,4.16
"trumpler36",1287,0.164,0.218,812.0,0.136,0.168,3.52,0.797,449.0,0.124,0.208,5.49,99.0,1.0,0.82,1287,4.97
"cwwdl14065",27,0.544,0.081,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.75,27,2.25
"hsc611",29,0.533,0.083,44.0,0.496,0.121,2.72,0.991,"nan","nan","nan","nan",7.63502575,0.43,0.66,29,1.75
"cwnu1005",25,0.891,0.58,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.26,0,2.32
"lk3",58,0.398,0.295,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.85,0.44,58,5.92
"hsc612",25,0.674,0.186,29.0,0.663,0.159,2.21,0.986,"nan","nan","nan","nan",3.15046261,0.21,0.32,0,2.29
"ubc1105",90,0.61,0.129,91.0,0.576,0.189,4.3,0.573,"nan","nan","nan","nan",13.72120837,1.0,0.88,90,3.62
"ruprecht174",178,0.419,0.117,198.0,0.382,0.163,2.7,0.999,79.0,0.406,0.116,2.89,17.30496164,1.0,0.86,178,2.85
"db20017",25,0.611,0.119,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.72,24,1.95
"ubc1106",32,0.574,0.058,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.57,0.78,32,6.08
"bica131",38,0.309,0.158,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.38,0.47,38,7.06
"dolidzedzimselejsvili11",41,0.198,0.165,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.45,41,10.28
"collinder419",485,0.994,0.319,514.0,0.973,0.41,5.92,0.229,48.0,0.955,0.386,1.06,29.512332,1.0,0.71,485,3.86
"ubc1107",25,0.342,0.049,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.55,14,15.4
"oc0118",50,0.595,0.171,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.76,0.48,50,1.27
"fsr0219",61,0.581,0.162,45.0,0.554,0.176,2.38,0.911,"nan","nan","nan","nan",8.34133757,0.98,0.62,61,4.01
"hsc614",31,0.36,0.085,28.0,0.32,0.115,4.84,0.983,"nan","nan","nan","nan",6.64715576,0.41,0.59,31,6.87
"hsc615",47,0.717,0.148,28.0,0.684,0.176,1.94,0.253,"nan","nan","nan","nan",4.53055687,0.55,0.72,47,4.87
"oc0119",78,0.599,0.199,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.73,0.61,78,6.94
"cwnu1243",25,1.093,0.115,28.0,1.055,0.17,3.04,0.998,"nan","nan","nan","nan",5.84056848,0.41,0.75,25,2.79
"ubc141",105,0.745,0.171,77.0,0.713,0.224,3.1,0.996,39.0,0.709,0.149,2.14,14.26499621,1.0,0.71,105,5.54
"oc0120",216,0.529,0.28,76.0,0.5,0.175,1.98,0.176,"nan","nan","nan","nan",11.92199329,0.98,0.62,216,6.6
"mwsc5779",25,0.291,0.67,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,0.39,0,3.5
"fsr0222",239,0.348,0.276,91.0,0.308,0.167,2.76,0.064,"nan","nan","nan","nan",13.91887735,0.99,0.54,239,6.35
"fsr0223",85,0.589,0.171,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.91,0.6,85,3.8
"hsc616",76,1.003,0.336,40.0,0.991,0.32,9.74,0.978,"nan","nan","nan","nan",7.06134683,0.41,0.55,76,8.18
"oc0121",32,0.597,0.126,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.62,0.79,32,1.8
"fsr0224",34,0.597,0.13,22.0,0.578,0.102,0.77,0.327,"nan","nan","nan","nan",6.6732862,0.68,0.74,34,1.9
"oc0122",116,0.593,0.18,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.66,116,5.89
"hsc617",42,2.381,0.472,21.0,2.422,0.578,3.72,0.866,"nan","nan","nan","nan",4.97328006,0.09,0.51,42,5.64
"roslund6",92,2.838,0.222,452.0,2.834,0.577,5.79,0.998,247.0,2.817,0.445,6.24,27.27642407,0.85,1.0,92,3.95
"hsc618",34,1.052,0.194,38.0,1.023,0.292,2.59,0.306,"nan","nan","nan","nan",3.21797983,0.74,0.56,34,2.96
"cwnu2774",37,0.34,0.17,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.08,0.37,37,8.56
"hsc619",325,0.391,0.317,92.0,0.343,0.257,2.79,0.048,"nan","nan","nan","nan",10.2088688,0.71,0.56,325,6.32
"fsr0225",25,0.268,0.327,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.34,0,2.17
"hsc620",29,0.817,0.146,23.0,0.799,0.239,2.49,0.162,"nan","nan","nan","nan",4.43226989,0.19,0.47,29,7.73
"mwsc4316",25,0.09,1.149,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.76,0.37,0,23.92
"ngc6910",210,0.604,0.215,273.0,0.569,0.273,3.42,0.186,127.0,0.543,0.19,2.85,19.74429979,1.0,0.81,210,1.97
"cwwdl14633",29,2.866,0.107,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,1.0,29,2.34
"cwnu478",42,0.798,0.178,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.96,0.64,42,4.37
"cwwdl14634",97,2.865,0.287,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.78,1.0,97,3.34
"cwnu455",66,0.802,0.174,43.0,0.771,0.186,3.34,0.176,"nan","nan","nan","nan",5.71431864,0.93,0.64,66,7.0
"trsg6",900,0.531,1.101,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.5,900,4.71
"hsc629",25,5.678,2.391,25.0,5.728,1.698,9.58,0.6,"nan","nan","nan","nan",3.31446273,0.33,0.36,0,3.06
"oc0123",25,0.591,0.129,39.0,0.55,0.155,2.89,0.915,"nan","nan","nan","nan",7.15254581,0.44,0.56,25,2.12
"cwwdl3023",185,0.586,0.266,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,0.58,185,2.93
"fof503",53,0.517,0.105,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,0.84,53,2.53
"ubc584",52,0.568,0.101,106.0,0.563,0.235,1.74,0.954,15.0,0.54,0.142,1.13,13.03983711,0.88,0.58,52,12.7
"cwwdl10283",223,0.67,0.28,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.9,0.56,223,4.04
"ubc585",100,0.688,0.134,46.0,0.678,0.143,2.39,0.326,18.0,0.663,0.081,1.87,10.14571915,0.75,0.77,100,4.78
"cwnu540",84,3.059,0.82,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.38,0.6,84,4.67
"cwwdl3211",134,0.237,0.175,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.94,0.73,134,3.44
"ubc1108",121,0.241,0.103,129.0,0.201,0.226,2.65,0.081,"nan","nan","nan","nan",8.86341474,0.74,0.95,121,8.69
"oc0125",78,0.369,0.101,72.0,0.341,0.13,2.89,0.147,"nan","nan","nan","nan",11.01849519,0.57,0.81,78,4.1
"oc0124",71,0.519,0.122,49.0,0.496,0.101,2.68,0.654,"nan","nan","nan","nan",11.09733541,0.76,0.79,71,3.03
"fsr0227",25,0.783,0.321,51.0,0.502,0.178,3.11,0.256,"nan","nan","nan","nan",9.34398425,0.39,0.37,0,1.86
"ngc7037",25,0.285,0.496,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.23,0.31,0,3.06
"bica136",221,0.516,0.417,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.98,0.59,221,5.02
"patchick101",25,0.228,0.461,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.34,0.28,0,3.44
"cwnu106",52,0.621,0.16,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.87,0.67,52,3.19
"ngc6811",540,0.906,0.275,435.0,0.878,0.242,2.25,1.0,296.0,0.87,0.21,3.81,29.57232288,1.0,0.95,540,4.27
"oc0126",57,0.614,0.156,47.0,0.592,0.195,1.89,0.127,"nan","nan","nan","nan",5.9650839,0.93,0.68,57,3.55
"cwnu1259",44,2.16,0.595,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.83,0.44,44,5.09
"iras20306p4005",112,1.023,0.319,67.0,1.029,0.303,1.09,0.255,"nan","nan","nan","nan",9.75334759,0.99,0.63,112,1.54
"cwnu1011",100,1.027,0.31,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.7,100,1.44
"iras20264p4042",39,0.573,0.342,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.29,0.42,39,3.25
"kronberger59",151,0.611,0.63,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.47,151,4.52
"upk113",95,1.459,0.291,97.0,1.424,0.331,5.24,0.979,35.0,1.434,0.246,3.1,11.89103529,1.0,0.73,95,3.57
"collinder421",408,0.854,0.256,366.0,0.826,0.239,3.32,0.716,162.0,0.812,0.183,3.07,26.93752217,1.0,1.0,408,4.02
"ubc142",438,0.852,0.228,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,1.0,438,4.78
"cwnu2686",35,0.523,0.135,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.82,0.62,35,6.51
"dolidze11",163,0.506,0.332,107.0,0.456,0.307,1.61,0.072,28.0,0.459,0.233,0.93,9.20222996,0.99,0.59,163,2.76
"hsc622",25,0.812,0.108,71.0,0.779,0.263,6.2,0.176,"nan","nan","nan","nan",3.24372349,0.06,0.59,24,4.84
"ngc6866",377,0.716,0.162,393.0,0.688,0.176,3.58,1.0,72.0,0.685,0.102,2.65,27.93779102,1.0,0.94,377,4.18
"oc0128",303,0.607,0.225,137.0,0.58,0.188,5.34,0.053,"nan","nan","nan","nan",7.51531772,1.0,0.8,303,5.7
"teutschj20556p3712",25,0.156,0.329,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.33,0.29,0,5.41
"fsr0232",25,0.536,0.131,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.77,0.47,22,3.09
"oc0127",118,0.529,0.133,202.0,0.494,0.204,7.64,0.082,"nan","nan","nan","nan",19.12838233,0.9,0.7,118,6.27
"hsc623",78,0.334,0.321,18.0,0.305,0.401,6.34,0.047,"nan","nan","nan","nan",3.42782737,0.34,0.39,78,12.19
"hsc624",149,0.612,0.289,51.0,0.605,0.381,2.55,0.252,"nan","nan","nan","nan",9.06348723,1.0,0.7,149,4.56
"hsc625",255,0.6,0.267,32.0,0.571,0.128,1.67,0.253,"nan","nan","nan","nan",5.67878821,1.0,0.76,255,4.61
"hsc626",95,0.563,0.169,23.0,0.53,0.145,1.14,0.992,"nan","nan","nan","nan",4.71844494,0.93,0.69,95,7.03
"roslund7",91,0.809,0.093,266.0,0.779,0.239,9.35,0.989,128.0,0.777,0.141,10.29,22.33517405,1.0,0.8,91,5.72
"teutsch155",40,0.214,0.189,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.26,0.45,40,6.39
"teutsch310",25,0.316,0.386,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.14,0.26,0,2.3
"fsr0233",839,0.55,0.501,156.0,0.625,0.225,1.94,0.566,"nan","nan","nan","nan",17.38858717,1.0,0.75,839,5.5
"iras20286p4105",43,0.616,0.109,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.95,0.82,43,4.63
"cwnu96",32,1.101,0.091,67.0,1.071,0.244,6.29,1.0,"nan","nan","nan","nan",7.1701982,0.47,0.55,32,6.18
"dolidze9",38,0.568,0.26,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.42,38,4.76
"hsc627",65,1.076,0.224,29.0,1.059,0.22,1.63,0.896,"nan","nan","nan","nan",7.99062612,0.98,0.54,65,3.08
"cwnu1596",56,0.435,0.112,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.55,56,8.29
"hsc628",197,0.621,0.331,13.0,0.699,0.124,1.76,0.817,"nan","nan","nan","nan",4.99799189,0.99,0.58,197,7.78
"patchick64",25,0.174,0.304,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.19,0.35,0,3.68
"hsc630",33,0.789,0.12,22.0,0.752,0.125,0.39,0.993,"nan","nan","nan","nan",5.84551897,0.72,0.75,33,1.25
"dolidze8",209,1.034,0.373,102.0,1.016,0.316,2.31,0.46,39.0,0.982,0.295,1.46,9.98202157,1.0,0.66,209,3.18
"dolidze44",83,0.508,0.481,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.99,0.42,83,3.89
"teutsch306",76,0.452,0.349,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.43,76,4.12
"ubc1109",25,0.345,0.045,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.15,0.81,18,8.09
"fsr0237",25,0.816,0.356,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.23,0.24,0,2.28
"bica2",285,0.609,0.21,115.0,0.577,0.151,2.2,0.16,"nan","nan","nan","nan",15.32481012,1.0,0.84,285,2.29
"oc0129",57,0.611,0.186,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.89,0.57,57,2.95
"cwnu2605",85,0.637,0.185,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.99,0.66,85,6.99
"fsr0236",194,0.59,0.253,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.62,194,2.56
"ubc143",112,0.774,0.128,93.0,0.746,0.279,6.4,0.997,26.0,0.727,0.147,3.41,11.23241898,1.0,0.78,112,8.23
"cwnu1614",97,0.521,0.25,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.9,0.41,97,4.41
"g8035p072",25,0.601,0.209,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.59,0.68,0,1.11
"cwnu2234",32,0.817,0.163,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.7,0.43,32,6.23
"cwnu2494",81,0.476,0.189,42.0,0.442,0.15,3.24,0.773,"nan","nan","nan","nan",7.69240498,0.81,0.5,81,3.79
"fsr0238",75,0.625,0.151,48.0,0.74,0.312,5.43,0.42,29.0,0.593,0.233,1.14,8.42912053,0.99,0.83,75,1.72
"cwnu2844",45,0.743,0.171,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,0.64,45,4.54
"fsr0239",276,0.287,0.408,29.0,0.201,0.192,4.07,0.121,"nan","nan","nan","nan",5.53420553,0.98,0.47,276,7.7
"oc0130",129,0.529,0.163,63.0,0.513,0.201,3.29,0.968,"nan","nan","nan","nan",9.12622934,0.74,0.63,129,6.49
"cwnu411",37,0.534,0.083,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.72,37,4.58
"hsc632",27,0.539,0.244,59.0,0.493,0.337,10.56,0.214,"nan","nan","nan","nan",4.98674464,0.34,0.32,27,4.26
"cwnu2618",117,0.38,0.208,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.34,0.55,117,10.33
"cwnu1572",51,0.748,0.138,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.39,0.53,51,5.99
"cwnu2176",25,0.532,0.349,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.06,0.32,0,2.52
"upk116",66,2.37,0.314,76.0,2.335,0.406,6.03,0.859,"nan","nan","nan","nan",13.82016731,0.98,0.91,66,4.75
"cwnu1840",25,0.461,0.462,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.06,0.23,0,2.46
"ocsn22",25,3.341,2.208,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.08,0.36,0,2.41
"hsc635",34,0.932,0.186,31.0,0.91,0.255,1.49,0.987,"nan","nan","nan","nan",6.51180933,0.91,0.51,34,3.0
"hsc636",27,0.454,0.161,13.0,0.433,0.096,4.96,0.888,"nan","nan","nan","nan",4.01879158,0.28,0.4,27,5.25
"fsr0241",136,0.475,0.108,153.0,0.445,0.146,4.45,0.989,46.0,0.452,0.162,3.49,18.06013278,1.0,0.84,136,4.29
"hsc637",35,0.896,0.187,29.0,0.874,0.318,3.74,0.95,"nan","nan","nan","nan",4.86092435,0.89,0.41,35,5.39
"hsc590",45,8.156,1.272,71.0,8.209,2.015,12.27,0.989,"nan","nan","nan","nan",7.67273367,0.2,0.79,45,10.09
"db200115",209,0.679,0.599,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.55,209,3.86
"cwnu439",77,0.594,0.151,65.0,0.564,0.226,2.97,0.156,"nan","nan","nan","nan",9.64829929,0.91,0.7,77,3.82
"hsc638",37,0.997,0.227,35.0,0.985,0.3,5.17,0.329,"nan","nan","nan","nan",7.41185272,0.48,0.6,37,6.39
"db200116",87,0.739,0.389,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.71,87,2.05
"hsc639",46,0.248,0.217,889.0,0.197,0.596,10.47,0.066,"nan","nan","nan","nan",4.46548822,0.28,0.38,46,8.21
