"name","N_ucc","ucc_plx","ucc_pm_disp","N_h23","h23_plx","h23_pm_disp","h23_r50","CMDCl50","N_cg20","cg20_plx","cg20_pm_disp","cg20_r50","CST","C_lkl","C_dens","N_50","r_50_pc"
"cwwdl2679",25,0.276,0.259,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.35,0,1.79
"hsc1776",25,0.295,0.092,17.0,0.266,0.074,1.96,0.997,"nan","nan","nan","nan",4.88688275,0.82,0.63,20,2.86
"mwsc5058",655,"nan",0.683,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,655,"nan"
"cma08",25,0.859,0.276,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.96,0.32,0,2.03
"cwwdl12561",25,0.261,0.318,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.5,0.34,0,2.34
"cwwdl14345",25,0.927,0.275,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,0.32,0,1.44
"ngc2204",718,0.22,0.157,974.0,0.202,0.175,6.02,0.999,531.0,0.21,0.192,8.18,99.0,1.0,1.0,718,7.14
"teutschj071881116",25,0.269,0.283,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.35,0,3.03
"oc0378",25,0.285,0.036,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.73,0.58,20,3.88
"oc0379",30,0.879,0.136,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.45,30,2.61
"fsr1202",29,0.363,0.083,26.0,0.343,0.104,3.8,1.0,"nan","nan","nan","nan",5.86616893,0.16,0.54,29,5.37
"fsr1203",25,0.189,0.451,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.25,0.29,0,4.77
"ruprecht8",93,0.476,0.107,126.0,0.443,0.134,5.43,0.999,46.0,0.451,0.146,5.78,16.30413736,0.97,0.59,93,4.89
"ngc2318",275,0.744,0.233,231.0,0.716,0.194,4.64,0.99,128.0,0.712,0.178,4.19,20.02757295,1.0,0.52,275,4.85
"ubc219",100,0.477,0.107,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,0.64,100,5.37
"cwnu1181",58,5.839,1.075,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.9,0.64,58,3.01
"teutsch207",25,0.345,0.394,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.61,0.23,0,2.95
"fsr1204",31,0.357,0.107,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.32,0.47,31,3.91
"fsr1205",25,0.166,0.417,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.53,0,5.96
"czernik30",290,0.169,0.218,170.0,0.139,0.161,3.45,0.967,85.0,0.1,0.247,4.76,18.13842177,1.0,0.61,290,5.51
"oc0380",72,0.352,0.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,0.63,72,9.09
"cwnu2770",62,0.13,0.091,111.0,0.089,0.127,18.77,0.185,"nan","nan","nan","nan",6.9739524,0.97,0.64,62,15.89
"hsc1782",25,0.237,0.224,15.0,0.206,0.089,4.55,0.998,"nan","nan","nan","nan",4.01545742,0.13,0.37,0,4.05
"teutschj071921137",61,0.208,0.126,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.76,0.47,61,13.29
"xdocc3",73,0.899,0.171,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.49,73,5.37
"cwnu1784",25,0.484,0.246,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.14,0.23,0,2.28
"hsc1783",66,0.316,0.08,68.0,0.28,0.17,5.99,0.996,"nan","nan","nan","nan",6.48761285,1.0,0.59,66,8.75
"mwsc1458",25,0.223,0.511,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.47,0.36,0,6.0
"cwnu280",40,0.339,0.055,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,0.75,40,4.12
"cwwdl14381",40,0.946,0.145,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.48,40,3.97
"h21oc17",57,0.931,0.171,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.47,57,4.25
"hxhwl17",36,0.939,0.111,37.0,0.898,0.184,3.19,0.999,"nan","nan","nan","nan",6.60827443,0.41,0.53,36,3.62
"ocsn76",116,2.191,0.399,119.0,2.167,0.404,11.08,0.975,"nan","nan","nan","nan",13.44445553,1.0,0.77,116,7.09
"ubc1364",25,0.332,0.036,87.0,0.305,0.149,6.08,0.999,"nan","nan","nan","nan",4.39002315,0.92,0.55,19,16.38
"ngc2345",697,0.385,0.141,620.0,0.358,0.123,3.29,0.828,418.0,0.348,0.157,4.56,34.88688508,1.0,0.94,697,4.08
"cwnu1511",25,0.269,0.242,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.71,0.36,0,3.03
"cwnu2889",29,0.291,0.092,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.82,0.4,29,10.2
