DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE,distmod,extin,logage,FeH
1234,Berkeley_11,65.1308,44.91881,157.0703,-3.65029,0.322,-0.325,-4.206,12.12,2.51,7.84,-0.06
1234,Berkeley_12,71.10431,42.6905,161.64219,-2.01188,0.202,-2.367,-1.526,12.9,2.16,9.3,-0.09
1234,Berkeley_13,73.942,52.812,155.06631,5.92019,0.208,0.076,1.034,12.57,2.09,8.87,-0.24
1234,Berkeley_14,74.946,43.4865,162.81081,0.65979,0.187,-0.148,-1.277,13.3,1.4,9.43,-0.27
123,Berkeley_15,75.51955,44.506,162.26031,1.61199,0.339,-0.254,-2.551,11.61,2.64,7.27,-0.09
1234,Berkeley_17,80.13803,30.57506,175.66089,-3.6706,0.281,3.259,-1.33,12.48,1.63,9.86,-0.08
1234,Berkeley_19,81.01603,29.57368,176.91891,-3.60926,0.135,1.654,-1.265,13.83,0.85,9.34,-0.4
1234,Berkeley_2,6.316,60.393,119.70181,-2.31449,0.117,-0.015,-1.492,14.2,2.34,8.83,-0.16
1234,Berkeley_23,98.3161,20.5347,192.59458,5.38961,0.151,-0.708,-1.84,13.43,0.83,9.02,0.06
1234,Berkeley_24,99.45035,-0.8698,212.15117,-3.43059,0.156,1.226,1.314,13.37,1.74,9.15,-0.32
1234,Berkeley_27,102.84,5.77284,207.78174,2.61153,0.19,-2.646,-0.686,13.1,1.23,9.3,-0.21
1234,Berkeley_28,103.0283,2.92023,210.40931,1.48122,0.209,-0.738,-1.203,13.27,1.6,8.2,-0.06
1234,Berkeley_30,104.4356,3.229,210.77391,2.87312,0.164,0.509,-0.54,13.09,1.27,8.49,-0.21
1234,Berkeley_31,104.3961,8.2886,206.23216,5.12626,0.141,-0.446,-3.028,13.95,0.35,9.45,-0.26
1234,Berkeley_32,104.5283,6.434,207.95285,4.40765,0.28,0.108,-1.964,12.44,0.34,9.69,-0.29
123,Berkeley_33,104.45675,-13.2255,225.44637,-4.59847,0.144,-0.25,1.686,13.21,1.75,8.48,-0.23
1234,Berkeley_35,107.484,2.73415,212.60206,5.36069,0.16,-4.18,1.022,13.33,0.43,9.06,-0.3
1234,Berkeley_36,109.09549,-13.19456,227.49129,-0.57068,0.206,0.792,1.745,13.2,1.42,9.53,-0.03
1234,Berkeley_37,110.078,-1.00101,217.13154,5.96077,0.197,2.883,-1.959,13.11,0.27,8.97,-0.34
1234,Berkeley_39,116.6955,-4.66561,223.52985,10.081,0.201,-2.115,-1.328,12.99,0.29,9.75,-0.18
1234,Berkeley_4,11.273,64.39015,122.24601,1.52685,0.296,-1.326,0.387,12.13,2.16,7.3,-0.1
1234,Berkeley_43,288.87152,11.265,45.68182,-0.13431,0.186,-0.522,-3.997,10.46,3.11,8.55,0.07
1234,Berkeley_44,289.3109,19.54585,53.2131,3.34323,0.303,0.884,-5.367,12.24,2.75,9.15,0.07
1234,Berkeley_45,289.781,15.71517,50.0304,1.16103,0.225,-0.608,-4.252,12.61,2.88,8.79,0.27
1234,Berkeley_47,292.12289,17.361,52.5423,-0.03876,0.402,-1.692,-4.977,11.48,3.63,7.34,0.14
123,Berkeley_50,302.50305,34.967,72.40794,0.92532,0.246,-2.229,-3.731,12.64,2.12,7.88,-0.16
1234,Berkeley_54,315.75,40.4365,83.08104,-4.13432,0.12,-2.876,-2.037,14.12,2.24,9.28,0.03
123,Berkeley_55,319.23835,51.7631,93.02832,1.8022,0.309,-3.535,-6.224,12.06,4.16,8.3,0.34
1234,Berkeley_58,0.068,60.93765,116.75623,-1.31911,0.282,-1.469,-0.111,12.15,1.83,7.87,-0.1
123,Berkeley_59,4.60635,67.441,119.76409,4.77253,0.916,-2.408,-1.437,8.57,2.53,6.45,0.0
123,Berkeley_6,27.8089,61.06,130.10381,-0.97634,0.31,-1.074,-1.852,11.92,1.8,8.35,-0.18
1234,Berkeley_60,4.425,60.9352,118.84405,-1.66849,0.236,-0.591,-2.256,12.32,2.07,8.57,-0.05
1234,Berkeley_61,12.05717,67.196,122.62009,4.3262,0.309,-2.228,0.483,12.11,2.07,8.29,-0.11
123,Berkeley_62,15.2938,63.918,124.00212,1.06649,0.36,-2.4,0.674,11.99,2.09,7.17,-0.1
1234,Berkeley_63,34.87466,63.71895,132.49495,2.49426,0.172,-1.779,1.592,13.3,2.52,7.26,-0.19
1234,Berkeley_64,35.4199,65.8913,131.97764,4.61707,0.159,-1.35,1.689,13.29,2.28,9.0,-0.41
123,Berkeley_65,39.7568,60.403,135.84294,0.25657,0.444,-0.29,-1.454,11.72,2.49,7.2,-0.16
1234,Berkeley_67,69.45819,50.75878,154.84282,2.47747,0.415,1.203,-1.432,11.7,2.03,9.1,-0.2
1234,Berkeley_68,71.0652,42.12395,162.05261,-2.40383,0.281,-1.775,-0.506,12.41,1.38,9.28,-0.29
1234,Berkeley_69,81.09125,32.6075,174.44237,-1.85161,0.259,1.748,-3.879,12.46,1.61,8.94,-0.18
123,Berkeley_7,28.54675,62.3669,130.13637,0.37611,0.337,-2.646,-1.04,11.89,1.92,7.53,0.09
1234,Berkeley_70,81.4595,41.95015,166.867,3.62943,0.177,0.068,-3.632,13.31,1.23,9.35,-0.16
1234,Berkeley_71,85.2234,32.2753,176.62445,0.88878,0.226,1.465,-3.972,12.6,2.53,8.94,-0.19
1234,Berkeley_72,87.5641,22.24856,186.26837,-2.55903,0.154,0.606,-2.576,12.75,1.65,8.73,-0.31
1234,Berkeley_73,95.516,-6.32,215.25804,-9.39616,0.128,1.848,-0.305,13.83,0.69,9.15,-0.22
1234,Berkeley_77,110.36001,-3.2335,219.25166,5.17915,0.257,-1.886,-3.137,12.79,0.29,8.84,-0.09
1234,Berkeley_78,110.9165,5.36935,211.78988,9.60537,0.187,-1.566,-0.415,13.08,0.21,9.59,-0.2
1234,Berkeley_79,281.2418,-1.15315,31.16781,0.91349,0.402,-0.139,-4.287,11.7,2.68,6.97,0.02
1234,Berkeley_8,30.3075,75.48641,127.35886,13.21791,0.25,2.19,-0.706,12.53,1.75,9.54,-0.08
1234,Berkeley_80,283.58479,-1.21513,32.18102,-1.19948,0.39,-0.918,-3.888,11.32,3.34,8.35,0.05
1234,Berkeley_81,285.41223,-0.45523,33.69111,-2.47944,0.254,-1.097,-5.222,12.6,2.75,9.0,0.03
1234,Berkeley_82,287.83978,13.10543,46.84495,1.61257,0.708,-0.361,-3.854,10.59,2.43,8.06,0.3
1234,Berkeley_85,304.6944,37.74062,75.69494,0.99343,0.22,-3.23,-3.728,12.39,2.77,8.62,0.42
1234,Berkeley_86,305.08653,38.689,76.65173,1.27493,0.558,-3.924,-3.786,11.05,2.59,6.8,0.18
123,Berkeley_87,305.3989,37.433,75.75761,0.3591,0.573,-4.427,-4.332,11.08,3.68,6.92,-0.23
1234,Berkeley_89,306.1198,46.04555,83.14386,4.83648,0.239,-2.892,-1.218,12.48,1.91,9.32,-0.14
1234,Berkeley_9,53.1625,52.6495,146.06716,-2.82595,0.513,-0.448,-1.197,11.26,2.69,9.18,-0.19
1234,Berkeley_94,335.72373,55.866,103.12632,-1.18579,0.217,-2.066,-2.54,12.69,1.62,7.19,-0.1
1234,Berkeley_95,337.07699,59.12972,105.46964,1.19938,0.248,-3.33,-2.814,12.71,3.57,8.06,-0.11
1234,Berkeley_96,337.47,55.4065,103.72249,-2.09545,0.252,-3.996,-3.297,12.37,1.43,7.26,-0.09
1234,Berkeley_97,339.849,59.00743,106.63983,0.37733,0.314,-1.958,-2.579,11.98,2.54,7.55,-0.1
1234,Berkeley_98,340.654,52.40845,103.86369,-5.62824,0.253,-3.592,-1.778,12.69,0.61,9.39,-0.06
1,Bica_2,308.3153,41.3068,80.21931,0.78151,0.555,-2.66,-4.378,10.95,4.13,6.75,0.1
123,Biurakan_2,302.30585,35.488,72.75738,1.34405,0.542,-3.234,-6.222,11.07,0.93,6.97,0.14
1234,Blanco_1,1.02749,-29.94935,14.96518,-79.23564,4.21,19.224,2.441,6.86,0.01,8.01,-0.1
13,Bochum_10,160.5585,-59.1237,287.01558,-0.30416,0.378,-5.57,2.99,10.37,0.75,7.05,0.18
123,Bochum_11,161.78615,-60.096,288.01917,-0.87328,0.389,-6.642,0.291,11.88,1.27,6.72,0.21
123,Bochum_13,259.32705,-35.5349,351.20299,1.38371,0.567,-0.443,-1.737,11.04,2.5,6.96,0.3
1234,Bochum_3,105.8634,-5.01599,218.76446,0.37771,0.448,-0.337,0.975,11.71,0.69,8.1,-0.11
123,Bochum_4,112.8933,-17.2159,232.76788,0.7538,0.761,-1.722,1.119,10.5,0.39,8.41,-0.03
12,Bochum_6,113.0097,-19.4183,234.751,-0.21067,0.249,-2.28,2.308,12.74,1.77,6.95,-0.1
12,COIN-Gaia_1,11.9994,66.7755,122.59199,3.90602,1.546,-5.034,-3.048,9.05,1.38,8.32,0.04
12,COIN-Gaia_10,68.3261,40.52945,161.87414,-5.00008,0.943,2.025,-3.355,10.04,1.26,7.83,-0.08
12,COIN-Gaia_11,68.0803,39.48135,162.5202,-5.84878,1.485,3.574,-5.62,9.07,1.51,8.85,0.05
12,COIN-Gaia_12,79.2116,41.7126,166.11046,2.1159,1.03,2.616,-4.681,9.86,0.32,8.74,-0.04
12,COIN-Gaia_13,83.1349,42.12145,167.40905,4.76323,1.927,-3.828,-1.676,8.61,0.41,8.39,-0.08
12,COIN-Gaia_14,77.686,39.19975,167.46777,-0.2965,1.043,1.331,-6.598,9.84,0.83,8.44,-0.08
12,COIN-Gaia_15,76.0776,35.82905,169.40282,-3.33757,0.824,0.44,-3.781,10.25,1.43,7.94,-0.01
12,COIN-Gaia_16,80.1716,37.4297,170.04175,0.26037,0.622,1.262,-3.749,10.94,0.82,7.33,-0.05
12,COIN-Gaia_17,81.2199,37.5482,170.41505,1.01309,0.885,0.358,-4.297,10.13,1.11,8.27,-0.12
12,COIN-Gaia_18,78.4601,35.4961,170.82412,-1.9804,0.953,0.767,-4.955,9.94,0.97,8.23,-0.1
12,COIN-Gaia_19,82.1881,34.298,173.55016,-0.14885,0.774,-1.477,-4.641,10.4,0.86,8.16,-0.02
12,COIN-Gaia_2,15.0524,55.40485,124.18739,-7.44551,0.787,-4.457,-1.933,10.33,0.72,8.79,-0.05
12,COIN-Gaia_20,78.6246,31.69795,173.99356,-4.08481,0.911,0.548,-1.455,10.05,0.82,7.89,-0.02
12,COIN-Gaia_21,84.7587,28.3946,179.69909,-1.51305,0.697,-0.115,-3.849,10.59,1.3,7.4,0.0
12,COIN-Gaia_22,91.0537,31.60185,179.71896,4.81027,0.49,-0.708,-3.309,11.39,1.08,8.4,-0.06
12,COIN-Gaia_23,87.4833,27.01405,182.13758,-0.1791,1.032,-0.318,-0.928,9.83,0.67,7.93,-0.01
12,COIN-Gaia_24,90.6661,23.2075,186.87669,0.39651,0.965,2.536,-2.954,9.97,0.86,8.16,0.01
12,COIN-Gaia_25,91.6769,20.26445,189.902,-0.22837,1.201,-0.499,-2.595,9.51,0.49,8.77,0.01
12,COIN-Gaia_26,83.8073,15.7177,190.03037,-8.98234,0.688,0.267,-2.376,10.7,1.53,8.21,-0.02
12,COIN-Gaia_27,85.7474,13.74645,192.71877,-8.3962,0.912,0.697,-3.594,10.24,1.53,8.55,-0.22
12,COIN-Gaia_28,96.3528,11.1543,200.05378,-0.61517,0.59,-1.12,-0.942,10.97,0.94,7.73,-0.05
12,COIN-Gaia_3,18.7454,60.50275,125.82839,-2.23652,0.775,-2.431,-1.791,10.31,1.8,7.84,0.08
12,COIN-Gaia_30,21.0513,70.5699,125.6746,7.87284,1.346,-6.145,2.067,9.36,1.34,8.59,0.01
12,COIN-Gaia_32,28.1647,63.0631,129.80067,1.01069,0.775,0.053,-2.195,10.43,1.24,8.45,-0.03
12,COIN-Gaia_34,31.2349,61.7802,131.50463,0.13796,1.006,-2.231,0.866,9.97,1.56,8.27,-0.08
12,COIN-Gaia_35,33.4732,60.0417,133.06002,-1.19865,0.341,-0.526,-0.396,11.86,2.73,7.01,-0.14
12,COIN-Gaia_37,44.9965,58.38595,139.12348,-0.3856,0.976,0.849,-2.042,9.9,1.94,7.41,0.06
12,COIN-Gaia_38,51.4478,51.0786,146.08494,-4.7202,0.793,2.032,-6.785,10.4,1.85,8.31,0.24
12,COIN-Gaia_39,69.5821,42.96355,160.69929,-2.67013,0.991,0.238,-2.467,10.0,0.98,8.45,-0.13
12,COIN-Gaia_4,26.108,58.74695,129.77281,-3.41915,0.45,-0.948,-1.0,11.54,1.71,7.98,-0.1
12,COIN-Gaia_40,81.868,33.5122,174.05639,-0.80597,0.47,0.393,-2.762,11.41,1.17,8.16,-0.13
12,COIN-Gaia_41,89.8335,19.03,190.12194,-2.34717,0.52,-0.314,-3.685,11.37,1.84,7.7,-0.07
12,COIN-Gaia_5,27.3494,58.07475,130.55335,-3.93676,1.063,-2.774,-0.511,9.72,0.65,8.17,-0.17
12,COIN-Gaia_6,28.0818,58.6306,130.80085,-3.30778,0.277,-2.355,-0.49,12.44,1.37,8.72,-0.13
12,COIN-Gaia_7,33.7124,58.45425,133.67692,-2.66659,0.648,-1.043,-1.548,10.75,1.52,7.85,0.1
12,COIN-Gaia_8,39.1447,50.01155,139.69784,-9.40634,1.359,2.51,-2.499,9.28,0.52,8.11,-0.02
12,COIN-Gaia_9,47.8121,48.02245,145.7308,-8.56367,1.119,-1.934,-2.81,9.64,0.9,8.14,0.05
13,Collinder_104,99.13455,4.79425,206.9668,-1.11774,0.514,-1.99,-1.74,9.53,1.47,7.85,-0.1
123,Collinder_106,99.25495,6.002,205.94897,-0.45649,0.635,-1.736,0.516,10.66,0.63,7.21,-0.06
123,Collinder_107,99.4286,4.9717,206.94367,-0.77599,0.617,-1.912,0.2,10.83,0.95,7.18,-0.1
1234,Collinder_110,99.6746,2.052,209.6519,-1.89609,0.425,0.594,-2.3,11.5,1.14,9.22,0.02
1234,Collinder_115,101.6544,1.77744,210.80057,-0.26156,0.475,-0.722,-1.808,11.36,0.76,7.87,-0.1
