DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE
1_2,MWSC 5329,250.75806,-9.8381,7.84074,22.83573,nan,nan,nan
1,Ryu 617,267.79268,-20.45698,7.92001,3.29,nan,nan,nan
1_2_3_6,"Teutsch 14a,DSH J1803.5-2207,Teutsch J1803.5-2207,MWSC 2791",270.87519,-22.1195,7.91858,-0.02848,0.322,-0.36,-1.624
1_2_3_4_6,"ESO_589_26,MW",270.5606,-21.9204,7.94807,0.32342,0.329,-0.203,-2.695
1,Ryu 618,268.31609,-20.62976,8.02001,2.78,nan,nan,nan
1,Ryu 619,271.47337,-22.28027,8.05001,-0.59,nan,nan,nan
1,Ryu 620,265.78649,-19.15163,8.07001,5.58,nan,nan,nan
1,Ryu 621,272.62294,-22.77808,8.13001,-1.76,nan,nan,nan
1,Ryu 179,271.30244,-22.031,8.19001,-0.33,nan,nan,nan
1_2,MWSC 4330,259.25919,-15.07772,8.18849,13.0281,nan,nan,nan
1,Ryu 623,270.05045,-21.32557,8.23001,1.03,nan,nan,nan
1,Ryu 625,270.44621,-21.4667,8.29001,0.64,nan,nan,nan
1,Ryu 624,269.50605,-20.96475,8.29,1.64999,nan,nan,nan
1_2_6,"ASCC 93,MWSC 2814",272.04,-22.28336,8.30267,-1.04945,0.453,1.398,3.461
1,Ryu 626,271.47562,-21.94908,8.34001,-0.43,nan,nan,nan
1,Ryu 627,274.94687,-23.55691,8.46,-4.01,nan,nan,nan
1,Ryu 629,274.77359,-23.28053,8.63,-3.74,nan,nan,nan
1,Ryu 631,274.37834,-22.81501,8.87001,-3.20001,nan,nan,nan
1,Ryu 632,271.51648,-21.32856,8.90001,-0.16,nan,nan,nan
1,Ryu 633,266.43305,-18.54428,8.91001,5.37,nan,nan,nan
1,"VVV 162,VVV-CL 162",272.42387,-21.78628,8.91,-1.12,nan,nan,nan
1,Ryu 634,275.30567,-23.21198,8.92001,-4.14,nan,nan,nan
1_2,MWSC 4290,251.6536,-9.19414,8.96009,22.47837,nan,nan,nan
1,Ryu 180,266.53417,-18.52051,8.98001,5.3,nan,nan,nan
1,Ryu 635,269.50124,-20.13154,9.01001,2.06999,nan,nan,nan
1,Ryu 181,271.77612,-21.32622,9.02001,-0.37001,nan,nan,nan
1_2,"NGC 6573,MWSC 2845",273.42236,-22.14578,9.03974,-2.10484,nan,nan,nan
1_2,"NGC 6698,ESO_523_8,MWSC 2995",282.0038,-25.89465,9.23473,-10.78824,nan,nan,nan
1,Ryu 182,267.12701,-18.55434,9.24001,4.79999,nan,nan,nan
1,Ryu 637,273.09686,-21.70765,9.28,-1.63,nan,nan,nan
1_2_3_4_6,"NGC 6583,Collinder 370,OCL 27,ESO_590_11,FSR_32,MWSC 2860",273.9587,-22.143,9.27894,-2.54035,0.413,1.307,0.11
1,Ryu 638,272.33592,-21.2727,9.32001,-0.80001,nan,nan,nan
1,Ryu 183,270.25686,-20.18089,9.32001,1.43,nan,nan,nan
1,Ryu 639,271.77465,-20.95907,9.34001,-0.19001,nan,nan,nan
1_2,"FSR_33,MWSC 2609",262.43177,-15.6517,9.37866,10.14215,nan,nan,nan
1,Ryu 640,268.9802,-19.42115,9.38001,2.85,nan,nan,nan
1_2_3_4_6_7,"NGC 6568,Collinder 369,OCL 28,ESO_590_6,MWSC 2841",273.19297,-21.61343,9.40556,-1.66322,0.929,0.571,-1.39
1,Ryu 641,266.98639,-18.28955,9.4,5.05,nan,nan,nan
1_2,"FSR_34,MWSC 3031",284.68614,-26.7927,9.41762,-13.34797,nan,nan,nan
1,Ryu 642,273.4979,-21.6717,9.49001,-1.94,nan,nan,nan
1,Ryu 643,269.81094,-19.66495,9.56001,2.05,nan,nan,nan
