filename,ra_min,ra_max,dec_min,dec_max
GaiaSource_054883-055358_p.csv.gz,52.117,90.000,60.437,72.375
GaiaSource_055359-055654_p.csv.gz,50.014,67.484,61.950,67.187
GaiaSource_055655-055982_p.csv.gz,45.009,66.761,63.454,69.416
GaiaSource_055983-056374_p.csv.gz,46.083,71.976,66.449,72.378
GaiaSource_056375-056973_p.csv.gz,61.216,90.000,67.943,75.331
GaiaSource_056974-057430_p.csv.gz,27.395,89.999,54.355,78.259
GaiaSource_057431-057578_p.csv.gz,24.552,32.396,55.883,59.672
GaiaSource_057579-057731_p.csv.gz,25.875,35.991,57.405,61.937
GaiaSource_057732-057872_p.csv.gz,23.029,33.142,57.404,63.441
GaiaSource_057873-057993_p.csv.gz,20.186,26.997,58.165,61.936
GaiaSource_057994-058131_p.csv.gz,18.005,28.036,59.496,63.446
GaiaSource_058132-058261_p.csv.gz,21.894,29.995,61.195,64.943
GaiaSource_058262-058417_p.csv.gz,20.008,37.882,60.439,66.438
GaiaSource_058418-058547_p.csv.gz,30.009,39.985,61.948,64.940
GaiaSource_058548-058704_p.csv.gz,30.866,43.961,63.450,66.437
GaiaSource_058705-058908_p.csv.gz,28.292,44.990,63.453,69.415
GaiaSource_058909-059070_p.csv.gz,22.506,33.746,64.203,67.925
GaiaSource_059071-059307_p.csv.gz,23.803,38.549,66.447,70.897
GaiaSource_059308-059485_p.csv.gz,14.221,34.600,60.439,72.380
GaiaSource_059486-059612_p.csv.gz,10.004,18.501,61.947,65.321
GaiaSource_059613-059764_p.csv.gz,10.592,22.489,63.455,67.187
GaiaSource_059765-059930_p.csv.gz,7.723,20.308,63.455,69.418
GaiaSource_059931-060160_p.csv.gz,0.000,11.334,64.205,69.417
GaiaSource_060161-060361_p.csv.gz,0.000,12.847,66.635,70.904
GaiaSource_060362-060555_p.csv.gz,0.000,25.708,66.450,72.378
GaiaSource_060556-060768_p.csv.gz,12.874,29.993,68.682,73.124
GaiaSource_060769-061006_p.csv.gz,6.936,27.385,69.426,75.335
GaiaSource_061007-061279_p.csv.gz,0.000,360.000,70.912,76.075
GaiaSource_061280-061679_p.csv.gz,0.000,360.000,66.457,78.280
GaiaSource_061680-062087_p.csv.gz,33.532,59.972,69.427,75.332
GaiaSource_062088-062587_p.csv.gz,30.020,71.987,71.284,78.278
GaiaSource_062588-063327_p.csv.gz,45.045,90.000,73.870,81.945
GaiaSource_063328-063878_p.csv.gz,18.034,90.000,72.393,84.131
GaiaSource_063879-064444_p.csv.gz,0.000,360.000,75.357,82.675
GaiaSource_064445-065281_p.csv.gz,0.000,90.000,78.299,87.069
GaiaSource_065282-066955_p.csv.gz,0.002,146.220,0.013,89.989
GaiaSource_066956-068628_p.csv.gz,123.764,144.836,4.787,14.457
GaiaSource_068629-071195_p.csv.gz,129.384,157.484,9.605,22.007
GaiaSource_071196-073887_p.csv.gz,121.655,154.668,9.606,29.979
GaiaSource_073888-075228_p.csv.gz,118.144,134.969,11.419,21.048
GaiaSource_075229-076419_p.csv.gz,113.560,133.228,14.480,24.586
GaiaSource_076420-077686_p.csv.gz,112.511,129.357,18.527,28.111
GaiaSource_077687-080127_p.csv.gz,120.946,146.243,19.486,35.661
GaiaSource_080128-082787_p.csv.gz,123.758,163.116,19.492,41.782
GaiaSource_082788-086703_p.csv.gz,146.254,174.336,24.634,41.779
GaiaSource_086704-090620_p.csv.gz,143.443,180.000,30.002,54.328
GaiaSource_090621-093880_p.csv.gz,135.021,157.488,32.817,51.238
GaiaSource_093881-097402_p.csv.gz,142.386,180.000,41.846,60.406
GaiaSource_097403-098884_p.csv.gz,108.291,180.000,19.482,66.385
GaiaSource_098885-099873_p.csv.gz,106.880,123.724,23.323,32.783
GaiaSource_099874-100751_p.csv.gz,104.064,120.914,24.627,35.675
GaiaSource_100752-101392_p.csv.gz,101.258,113.369,27.289,35.680
GaiaSource_101393-102417_p.csv.gz,106.887,124.800,30.015,41.801
GaiaSource_102418-104416_p.csv.gz,118.132,134.990,30.708,47.344
GaiaSource_104417-106070_p.csv.gz,112.521,129.454,35.694,51.242
GaiaSource_106071-106913_p.csv.gz,98.441,124.598,30.017,54.317
GaiaSource_106914-107444_p.csv.gz,95.634,105.461,32.808,40.217
GaiaSource_107445-108275_p.csv.gz,99.149,112.491,35.698,44.970
GaiaSource_108276-108847_p.csv.gz,92.816,107.988,35.689,48.123
GaiaSource_108848-109292_p.csv.gz,90.000,101.244,38.688,44.990
GaiaSource_109293-109810_p.csv.gz,90.000,101.992,41.815,48.129
GaiaSource_109811-110424_p.csv.gz,90.000,102.844,44.996,51.633
GaiaSource_110425-111409_p.csv.gz,90.000,115.701,41.832,54.337
GaiaSource_111410-112700_p.csv.gz,100.006,119.962,48.143,60.423
GaiaSource_112701-113459_p.csv.gz,90.000,104.986,49.722,57.392
GaiaSource_113460-114328_p.csv.gz,90.000,107.984,54.349,63.441
GaiaSource_114329-116223_p.csv.gz,90.000,149.966,41.815,66.439
